=== Soft Spaces Phase 2 v25.18 PERTURBATIVE PATH-ORGANIZATION ANALYSIS ===
Targets: [155, 165, 175, 183] | local radius=+/-10 | step=2
Geometry: 8Q source -> 9Q target | branches=2
Seed blocks: 4 x 25 = 100 | base_seed=18301000 | stride=1000000
Perturb reps/seed=3 | dH_terms=5 | resolvent regularizer=0.001

Theory-derived method change:
  Keep the Q-space path distribution instead of collapsing immediately to one susceptibility scalar.
  X-path weights: w_m ~ ||<m|V|P>||^2 / [(Eref-E_m)^2 + reg^2].
  PR measures effective number of contributing Q states; entropy measures spread; top1/top5 measure concentration.
  Sigma cancellation ratios measure destructive/constructive organization of signed virtual paths.
  Cancellation near 0 = strong cancellation; near 1 = coherent reinforcement.
  v25.18 is exploratory/structural: NO success gate, no continuation score, no fitted weights.

Target summary against immediate REAL background:
target | units | PR T | PR bg | dPR | H T | H bg | dH | top1 T | top1 bg | dtop1 | Cmat T | Cmat bg | dCmat | NULL-REAL PR | NULL-REAL H | NULL-REAL Cmat | controls
   155 |     4 |  44.319 |  43.907 |  +0.428 |  3.9424 |  3.9407 | +0.0047 |  0.04810 |  0.04897 | -0.00090 |  0.5269 |  0.5263 | +0.0011 |      -1.2088 |    -0.02133 |       -0.168053 | [145, 147, 149, 151, 153, 157, 159, 161, 163]
   165 |     4 |  44.262 |  43.940 |  +0.307 |  3.9433 |  3.9422 | -0.0005 |  0.04929 |  0.04938 | +0.00033 |  0.5295 |  0.5304 | +0.0012 |      -0.8406 |    -0.01889 |       -0.176217 | [157, 159, 161, 163, 167, 169, 171, 173]
   175 |     4 |  43.586 |  43.997 |  -0.411 |  3.9426 |  3.9436 | +0.0005 |  0.04947 |  0.04865 | +0.00082 |  0.5298 |  0.5285 | +0.0013 |      -0.3702 |    -0.02345 |       -0.185773 | [167, 169, 171, 173, 177, 179, 181, 185]
   183 |     4 |  44.170 |  44.264 |  -0.214 |  3.9448 |  3.9443 | +0.0015 |  0.04832 |  0.04845 | -0.00025 |  0.5268 |  0.5288 | +0.0002 |      -1.0837 |    -0.02340 |       -0.173442 | [173, 177, 179, 181, 185, 187, 189, 191, 193]

Detailed candidate x batch units:
k | batch | model | n | PR | entropy | top1 | top5 | cancel_trace | cancel_matrix | Sigma signed trace | Sigma abs trace mass
 157 |     4 | NULL |  150 |   43.981 |  3.92802 |  0.04638 |  0.19699 |     0.449779 |      0.324148 |     +6.238784e-04 |        4.980642e-03
 157 |     4 | REAL |  150 |   45.359 |  4.03019 |  0.04574 |  0.19299 |     0.787155 |      0.556603 |     +1.385258e-03 |        4.023249e-03
 159 |     1 | NULL |  150 |   43.343 |  3.92504 |  0.04940 |  0.20171 |     0.520202 |      0.374919 |     +1.684054e-04 |        4.670310e-03
 159 |     1 | REAL |  150 |   43.769 |  3.94222 |  0.05114 |  0.19733 |     0.726398 |      0.514170 |     +1.006752e-03 |        3.725914e-03
 159 |     2 | NULL |  144 |   43.703 |  3.93225 |  0.04766 |  0.19778 |     0.500344 |      0.355021 |     -5.486431e-04 |        4.882742e-03
 159 |     2 | REAL |  144 |   44.084 |  3.94378 |  0.04931 |  0.19759 |     0.743850 |      0.527917 |     +2.489149e-04 |        3.838027e-03
 159 |     3 | NULL |  144 |   43.225 |  3.92102 |  0.04952 |  0.20043 |     0.514867 |      0.365859 |     -5.189358e-04 |        4.533361e-03
 159 |     3 | REAL |  144 |   43.311 |  3.92985 |  0.05037 |  0.20327 |     0.733306 |      0.518873 |     +2.714400e-04 |        3.872557e-03
 159 |     4 | NULL |  138 |   44.289 |  3.93493 |  0.04566 |  0.19238 |     0.478951 |      0.342900 |     +6.898479e-04 |        4.621214e-03
 159 |     4 | REAL |  138 |   46.685 |  3.98068 |  0.04441 |  0.18412 |     0.816572 |      0.577418 |     +1.390689e-03 |        3.804254e-03
 161 |     1 | NULL |  150 |   43.034 |  3.91989 |  0.04780 |  0.20161 |     0.521620 |      0.369518 |     +2.469846e-04 |        4.752707e-03
 161 |     1 | REAL |  150 |   43.954 |  3.94174 |  0.04941 |  0.19692 |     0.713237 |      0.504700 |     +1.011433e-03 |        3.741544e-03
 161 |     2 | NULL |  150 |   43.869 |  3.93172 |  0.04984 |  0.19953 |     0.481544 |      0.342617 |     -5.370408e-04 |        4.831042e-03
 161 |     2 | REAL |  150 |   44.778 |  3.94705 |  0.04790 |  0.19667 |     0.759018 |      0.541191 |     +4.580827e-04 |        3.770520e-03
 161 |     3 | NULL |  150 |   42.137 |  3.91216 |  0.05154 |  0.20754 |     0.508691 |      0.363460 |     -5.093705e-04 |        4.791527e-03
 161 |     3 | REAL |  150 |   43.856 |  3.93542 |  0.04754 |  0.19930 |     0.739143 |      0.523021 |     +3.164868e-04 |        3.852780e-03
 161 |     4 | NULL |  150 |   43.801 |  3.92772 |  0.04658 |  0.19805 |     0.466342 |      0.336296 |     +8.219784e-04 |        4.926199e-03
 161 |     4 | REAL |  150 |   44.509 |  3.96184 |  0.04652 |  0.19566 |     0.782519 |      0.553325 |     +1.466128e-03 |        4.009463e-03
