fold,repeat,fold_within_repeat,model,chosen_k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
39,8,4,linear_svm,,77,19,10,3,0.5333333333333333,0.8958333333333334,0.6354166666666666,0.3333333333333333,0.9375
39,8,4,univariate_logistic,8.0,77,19,10,3,0.33134920634920634,0.75,0.6770833333333333,0.6666666666666666,0.6875
40,8,5,logistic_l2,,77,19,10,3,0.6464646464646464,0.8125,0.7708333333333333,0.6666666666666666,0.875
40,8,5,logistic_l1,,77,19,10,3,0.5277777777777778,0.7291666666666666,0.5729166666666666,0.3333333333333333,0.8125
40,8,5,linear_svm,,77,19,10,3,0.6464646464646464,0.8125,0.6666666666666666,0.3333333333333333,1.0
40,8,5,univariate_logistic,32.0,77,19,10,3,0.5575757575757576,0.7708333333333333,0.6770833333333333,0.6666666666666666,0.6875
41,9,1,logistic_l2,,76,20,10,3,0.5555555555555556,0.9019607843137254,0.803921568627451,0.6666666666666666,0.9411764705882353
41,9,1,logistic_l1,,76,20,10,3,0.33134920634920634,0.7647058823529411,0.47058823529411764,0.0,0.9411764705882353
41,9,1,linear_svm,,76,20,10,3,0.5317460317460317,0.8823529411764706,0.47058823529411764,0.0,0.9411764705882353
41,9,1,univariate_logistic,16.0,76,20,10,3,0.2777777777777778,0.7058823529411765,0.38235294117647056,0.0,0.7647058823529411
42,9,2,logistic_l2,,77,19,11,2,1.0,1.0,0.9411764705882353,1.0,0.8823529411764706
42,9,2,logistic_l1,,77,19,11,2,0.5,0.9117647058823529,0.9411764705882353,1.0,0.8823529411764706
42,9,2,linear_svm,,77,19,11,2,1.0,1.0,1.0,1.0,1.0
42,9,2,univariate_logistic,32.0,77,19,11,2,1.0,1.0,0.8823529411764706,1.0,0.7647058823529411
43,9,3,logistic_l2,,77,19,11,2,0.15555555555555556,0.4117647058823529,0.47058823529411764,0.0,0.9411764705882353
43,9,3,logistic_l1,,77,19,11,2,0.11513157894736842,0.29411764705882354,0.47058823529411764,0.0,0.9411764705882353
43,9,3,linear_svm,,77,19,11,2,0.15555555555555556,0.4117647058823529,0.5,0.0,1.0
43,9,3,univariate_logistic,8.0,77,19,11,2,0.1736111111111111,0.5882352941176471,0.4117647058823529,0.0,0.8235294117647058
44,9,4,logistic_l2,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.7708333333333333,0.6666666666666666,0.875
44,9,4,logistic_l1,,77,19,10,3,0.9166666666666665,0.9791666666666666,0.96875,1.0,0.9375
44,9,4,linear_svm,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.8020833333333333,0.6666666666666666,0.9375
44,9,4,univariate_logistic,16.0,77,19,10,3,0.7222222222222222,0.9166666666666666,0.7395833333333333,0.6666666666666666,0.8125
45,9,5,logistic_l2,,77,19,10,3,0.7222222222222222,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
45,9,5,logistic_l1,,77,19,10,3,0.6984126984126984,0.8958333333333334,0.7708333333333333,0.6666666666666666,0.875
45,9,5,linear_svm,,77,19,10,3,0.8095238095238095,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
45,9,5,univariate_logistic,8.0,77,19,10,3,0.3625,0.6458333333333333,0.6770833333333333,0.6666666666666666,0.6875
46,10,1,logistic_l2,,76,20,10,3,0.5888888888888889,0.9215686274509803,0.803921568627451,0.6666666666666666,0.9411764705882353
46,10,1,logistic_l1,,76,20,10,3,0.6666666666666667,0.9019607843137254,0.6078431372549019,0.3333333333333333,0.8823529411764706
46,10,1,linear_svm,,76,20,10,3,0.5333333333333333,0.9019607843137255,0.7745098039215685,0.6666666666666666,0.8823529411764706
46,10,1,univariate_logistic,8.0,76,20,10,3,0.7192982456140351,0.6862745098039216,0.6568627450980392,0.6666666666666666,0.6470588235294118
47,10,2,logistic_l2,,77,19,11,2,0.2777777777777778,0.7352941176470589,0.4411764705882353,0.0,0.8823529411764706
47,10,2,logistic_l1,,77,19,11,2,0.35,0.7352941176470589,0.6617647058823529,0.5,0.8235294117647058
47,10,2,linear_svm,,77,19,11,2,0.3333333333333333,0.8235294117647058,0.47058823529411764,0.0,0.9411764705882353
47,10,2,univariate_logistic,8.0,77,19,11,2,0.25,0.7352941176470588,0.6029411764705883,0.5,0.7058823529411765
48,10,3,logistic_l2,,77,19,11,2,0.375,0.7941176470588235,0.47058823529411764,0.0,0.9411764705882353
48,10,3,logistic_l1,,77,19,11,2,0.5833333333333333,0.9411764705882353,0.47058823529411764,0.0,0.9411764705882353
48,10,3,linear_svm,,77,19,11,2,0.225,0.7058823529411764,0.5,0.0,1.0
