null_rep,external_roc_auc,external_balanced_accuracy,external_accuracy,external_f1,training_spectral_topP_abs_fraction
133,0.7621545003543585,0.6598866052445074,0.6607142857142857,0.632258064516129,0.3224093862608987
134,0.7321048901488305,0.6545712260807937,0.6547619047619048,0.6463414634146342,0.30366986083514624
135,0.7733522324592488,0.7253012048192771,0.7261904761904762,0.7012987012987013,0.31315905622671164
136,0.8201275690999291,0.7202693125442948,0.7202380952380952,0.718562874251497,0.32257673943504356
137,0.9253012048192771,0.8334514528703048,0.8333333333333334,0.8333333333333334,0.3108691629761895
138,0.8206945428773919,0.7430900070871722,0.7440476190476191,0.7189542483660131,0.3168922276988399
139,0.726718639262934,0.6607370659107017,0.6607142857142857,0.6586826347305389,0.314767873580067
140,0.7946137491141035,0.6834160170092134,0.6845238095238095,0.6490066225165563,0.3071184957791242
141,0.848901488306166,0.7737774627923459,0.7738095238095238,0.7710843373493976,0.3098959589882625
142,0.8673281360737065,0.7912827781715095,0.7916666666666666,0.782608695652174,0.3200175457982857
143,0.8847625797306874,0.7911410347271439,0.7916666666666666,0.779874213836478,0.31773842670985475
144,0.8209780297661234,0.7386250885896527,0.7380952380952381,0.7471264367816092,0.30879177190698526
145,0.7282778171509567,0.6892983699503898,0.6904761904761905,0.6533333333333333,0.3195122772503907
146,0.854429482636428,0.7618710134656272,0.7619047619047619,0.7590361445783133,0.3109854550041551
147,0.8072289156626505,0.7247342310418143,0.7261904761904762,0.684931506849315,0.31733658506509627
148,0.6936924167257263,0.6894401133947555,0.6904761904761905,0.6578947368421053,0.3032728310696299
149,0.7845499645641388,0.7194188518781006,0.7202380952380952,0.6967741935483871,0.31621773442935963
150,0.7316796598157335,0.6834160170092134,0.6845238095238095,0.6490066225165563,0.3207375611110382
151,0.8158752657689583,0.7327427356484763,0.7321428571428571,0.7428571428571429,0.31662431090348137
152,0.752090715804394,0.6654854712969525,0.6666666666666666,0.6266666666666667,0.3126205803910335
153,0.7893692416725727,0.701913536498937,0.7023809523809523,0.6875,0.3174307588544435
154,0.8542877391920624,0.7729270021261516,0.7738095238095238,0.7532467532467533,0.3174511551590347
155,0.8711552090715804,0.7973068745570517,0.7976190476190477,0.7901234567901234,0.31686722173539567
156,0.7431608788093551,0.6907158043940467,0.6904761904761905,0.6941176470588235,0.30853691365491975
157,0.7991495393338057,0.721119773210489,0.7202380952380952,0.7374301675977654,0.3090320587242325
158,0.7543586109142452,0.678384124734231,0.6785714285714286,0.6707317073170732,0.3259177224080109
159,0.8827781715095677,0.8275690999291283,0.8273809523809523,0.8284023668639053,0.3134265986547801
160,0.6459248759744861,0.6369241672572643,0.6369047619047619,0.6347305389221557,0.31943564416750886
161,0.7584691708008504,0.6660524450744153,0.6666666666666666,0.6455696202531646,0.31499715227567765
162,0.7781715095676824,0.6947554925584691,0.6964285714285714,0.6433566433566433,0.3118247652656293
163,0.8130403968816443,0.7428065201984408,0.7440476190476191,0.7114093959731543,0.3084560420950813
164,0.8209780297661232,0.7547129695251594,0.7559523809523809,0.7248322147651006,0.3153374167187429
165,0.8527285613040396,0.7669029057406095,0.7678571428571429,0.7450980392156863,0.31421454446650565
166,0.784975194897236,0.6846917080085047,0.6845238095238095,0.6863905325443787,0.3115771001494492
167,0.7858256555634301,0.7080793763288448,0.7083333333333334,0.6993865030674846,0.3145963275733978
168,0.9301204819277108,0.8744861800141743,0.875,0.8679245283018868,0.3186370323173774
169,0.8399716513111269,0.7865343727852587,0.7857142857142857,0.797752808988764,0.3172019969993884
