fold,repeat,fold_within_repeat,r,k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
50,10,5,4,32,77,19,10,3,0.2619047619047619,0.6666666666666666,0.34375,0.0,0.6875
50,10,5,8,8,77,19,10,3,0.2754901960784314,0.5833333333333333,0.4895833333333333,0.6666666666666666,0.3125
50,10,5,8,16,77,19,10,3,0.18803418803418806,0.47916666666666663,0.47916666666666663,0.3333333333333333,0.625
50,10,5,8,32,77,19,10,3,0.21581196581196582,0.5208333333333333,0.5416666666666666,0.3333333333333333,0.75
50,10,5,16,8,77,19,10,3,0.1325854700854701,0.20833333333333334,0.21875,0.0,0.4375
50,10,5,16,16,77,19,10,3,0.2777777777777778,0.6875,0.5416666666666666,0.3333333333333333,0.75
50,10,5,16,32,77,19,10,3,0.2611111111111111,0.6666666666666666,0.5104166666666666,0.3333333333333333,0.6875
51,11,1,4,8,76,20,10,3,0.18759018759018758,0.5098039215686274,0.4607843137254902,0.3333333333333333,0.5882352941176471
51,11,1,4,16,76,20,10,3,0.2785714285714286,0.7058823529411764,0.7941176470588236,1.0,0.5882352941176471
51,11,1,4,32,76,20,10,3,0.373015873015873,0.7647058823529411,0.8235294117647058,1.0,0.6470588235294118
51,11,1,8,8,76,20,10,3,0.23095238095238094,0.6274509803921569,0.6568627450980392,0.6666666666666666,0.6470588235294118
51,11,1,8,16,76,20,10,3,0.20238095238095238,0.5490196078431372,0.38235294117647056,0.0,0.7647058823529411
51,11,1,8,32,76,20,10,3,0.19345238095238093,0.4509803921568627,0.5784313725490196,0.3333333333333333,0.8235294117647058
51,11,1,16,8,76,20,10,3,0.16278166278166278,0.4117647058823529,0.29411764705882354,0.0,0.5882352941176471
51,11,1,16,16,76,20,10,3,0.20787545787545786,0.5686274509803921,0.4901960784313726,0.3333333333333333,0.6470588235294118
51,11,1,16,32,76,20,10,3,0.27136752136752135,0.6666666666666666,0.5784313725490196,0.3333333333333333,0.8235294117647058
52,11,2,4,8,77,19,11,2,0.10416666666666666,0.2647058823529412,0.2647058823529412,0.0,0.5294117647058824
52,11,2,4,16,77,19,11,2,0.09728506787330317,0.20588235294117646,0.2647058823529412,0.0,0.5294117647058824
52,11,2,4,32,77,19,11,2,0.09401709401709402,0.1764705882352941,0.29411764705882354,0.0,0.5882352941176471
52,11,2,8,8,77,19,11,2,0.10427807486631016,0.2647058823529412,0.3235294117647059,0.0,0.6470588235294118
52,11,2,8,16,77,19,11,2,0.09583333333333333,0.17647058823529416,0.2647058823529412,0.0,0.5294117647058824
52,11,2,8,32,77,19,11,2,0.09821428571428571,0.20588235294117652,0.35294117647058826,0.0,0.7058823529411765
52,11,2,16,8,77,19,11,2,0.11513157894736842,0.29411764705882354,0.5147058823529411,0.5,0.5294117647058824
52,11,2,16,16,77,19,11,2,0.17142857142857143,0.5882352941176471,0.3235294117647059,0.0,0.6470588235294118
52,11,2,16,32,77,19,11,2,0.14583333333333331,0.5,0.38235294117647056,0.0,0.7647058823529411
53,11,3,4,8,77,19,11,2,0.325,0.8235294117647058,0.8529411764705883,1.0,0.7058823529411765
53,11,3,4,16,77,19,11,2,0.26666666666666666,0.7647058823529411,0.8529411764705883,1.0,0.7058823529411765
53,11,3,4,32,77,19,11,2,0.325,0.8235294117647058,0.8823529411764706,1.0,0.7647058823529411
53,11,3,8,8,77,19,11,2,0.625,0.8235294117647058,0.6323529411764706,0.5,0.7647058823529411
53,11,3,8,16,77,19,11,2,0.22619047619047616,0.7058823529411764,0.47058823529411764,0.0,0.9411764705882353
53,11,3,8,32,77,19,11,2,0.2159090909090909,0.6470588235294117,0.4117647058823529,0.0,0.8235294117647058
53,11,3,16,8,77,19,11,2,0.08596491228070174,0.08823529411764708,0.2647058823529412,0.0,0.5294117647058824
53,11,3,16,16,77,19,11,2,0.16233766233766234,0.5588235294117647,0.35294117647058826,0.0,0.7058823529411765
53,11,3,16,32,77,19,11,2,0.24285714285714285,0.7352941176470588,0.6323529411764706,0.5,0.7647058823529411
54,11,4,4,8,77,19,10,3,0.6984126984126984,0.8958333333333334,0.875,1.0,0.75
54,11,4,4,16,77,19,10,3,0.5888888888888889,0.9166666666666666,0.7708333333333333,0.6666666666666666,0.875
