fold,repeat,fold_within_repeat,real_pr_auc,real_roc_auc,real_panel
33,7,3,0.13392857142857142,0.4411764705882353,VWF|ESAM|RBPMS2|TNFSF10|PHACTR1|ITGA2B|GIMAP4|SERPINE2|CLEC1B|GJB6|FGL2|CX3CR1|GP9|MAFB|TSPAN33|GIMAP8|C1orf186|PRAGMIN|MS4A2|ITGB3|ADM|MGC13057|CXCL2|SNORD3C|MX1|HES4|CD83|HIST2H3A|SIK1|HBEGF|SLC45A3|RNU1A3
34,7,4,0.6143790849673203,0.6875,VWF|MPL|RBPMS2|ESAM|CLEC1B|TNFSF10|MAFB|VCAN|HIST1H4E|HIST2H2BF|HIST1H1E|PROS1|IL8RB|SERPINE2|TGFBI|FGL2|TSPAN33|ITGA2B|RRM2|HIST1H1B|HOXA5|SNORD3C|GP9|CKAP2L|SPRYD5|MGC13057|LTF|IRF8|SNORD3A|DEFA4|ITGB3|MX1
35,7,5,0.3032679738562092,0.6041666666666666,TNFRSF21|IL8RB|CDC20|IFIT2|DLGAP5|KIAA0367|PRG3|EMP1|NEU4|PRSSL1|HIST1H4E|HIST1H2AM|RGS1|SPTA1|HIST2H3A|CFC1B|RHAG|PI3|DEFA4|RNU1A3|LTF|EBI2|HIST1H2BG|CLEC11A|HIST2H3C|PRTN3|SERPINE2|TCN1|RNU1F1|HBM|IFIT3|CEACAM8
36,8,1,0.4512820512820513,0.5490196078431373,VWF|MPL|TNFSF10|ESAM|MS4A2|RBPMS2|C1orf186|FGL2|CLEC1B|ITGA2B|TSPAN33|GIMAP4|PROS1|HIST1H1B|ITGB3|SERPINE2|HIST2H3A|HIST1H2AH|GP9|GIMAP8|CX3CR1|SLC45A3|HIST1H1E|PRAGMIN|HIST1H2AM|SPRYD5|MGC13057|HIST1H4E|RNU1A3|F13A1|TSPAN9|HIST1H1D
37,8,2,0.6111111111111112,0.7941176470588236,VCAN|VWF|MAFB|MPL|SERPINE2|TGFBI|RBPMS2|ESAM|IFIT3|HIST1H4E|IL8RB|HOXA5|HIST2H3A|HIST1H2AM|PROS1|ITGA2B|IFIT2|CLEC1B|HIST1H2BG|IRF8|HIST1H1B|HIST1H1E|LY86|HIST1H2AE|LTF|TNFSF10|HIST2H2BF|KIAA0367|LOC728835|DEFA4|CEACAM8|SNORD3C
38,8,3,0.11212121212121212,0.3235294117647059,TNFSF10|VWF|MPL|ESAM|GIMAP4|MS4A2|RBPMS2|CLEC1B|SLC45A3|SERPINE2|RRM2|FGL2|ITGA2B|MAFB|PROS1|GP9|GIMAP8|SNORD3C|PRAGMIN|TSPAN33|CX3CR1|RNU1F1|GJB6|TGFBI|HIST1H4E|SNORD3A|PPBP|VCAN|HIST2H3A|RNU1A3|HIST2H2BF|HIST1H2AM
39,8,4,0.4555555555555555,0.7083333333333333,VWF|RBPMS2|GJB6|ESAM|ITGA2B|SERPINE2|PHACTR1|HBEGF|ADM|TSPAN33|CLEC1B|KLHL15|GP9|HES4|XIST|C15orf48|TNFSF10|RNU5A|MAFB|LOC653610|HIST1H4E|HIST2H2AB|RNU4-1|GIMAP4|CX3CR1|ITGB3|SIK1|CYorf15A|FGL2|MGC13057|PRAGMIN|GIMAP8
40,8,5,0.3366013071895425,0.6041666666666666,IL8RB|HIST1H4E|EMP1|HIST2H3A|LOC653610|TMCC2|HIST1H1E|HIST2H2BF|HIST1H2BG|ADM|IFI27|FGFBP2|PRG3|HIST1H1B|GYPB|GADD45B|IFIT1L|SNORD3C|EPB42|C16orf75|HIST1H2AH|EOMES|RPS4Y2|HIST1H2AE|SNORD3A|MX1|CEP55|HIST1H1D|GTSF1|KIAA0367|EPDR1|SLC4A1
41,9,1,0.2569444444444444,0.588235294117647,VWF|MPL|ESAM|RBPMS2|CLEC1B|TSPAN33|VCAN|PROS1|SERPINE2|TGFBI|MAFB|TNFSF10|MS4A2|HIST1H4E|ITGA2B|HBM|HIST2H2BF|GP9|ITGB3|CAMP|DEFA4|HIST2H3A|HIST1H2AM|SNORD3C|HIST2H3C|LAMA5|TCN1|IRF8|FGL2|CA1|LTF|CEACAM8
42,9,2,1.0,1.0,VWF|MPL|ESAM|RBPMS2|TNFSF10|ITGA2B|FGL2|SERPINE2|MAFB|CLEC1B|GJB6|GP9|MGC13057|IL8RB|TSPAN33|PROS1|MS4A2|XIST|C1orf186|SLC45A3|RNU11|RNU4-1|RNU12|SNORD3A|GIMAP4|SPRYD5|GIMAP8|SNORD3D|HIST1H4E|SNORD3C|HIST1H1E|RNU1-3
