resample	observed_min_pairwise_cosine	null_mean_min_pairwise_cosine	z_spectrum	observed_max_pairwise_w1	null_mean_max_pairwise_w1	z_distance
77	0.9696287578806132	0.9737923913612023	-0.7222490883484993	0.09507748176847527	0.0829235496749369	-1.465967664262061
78	0.9781019901313844	0.9756629328802632	0.29947488171301107	0.06532830139377953	0.06676909687768222	0.16956955724806025
79	0.9873087823273665	0.973801194062243	1.7759731180704252	0.07485795392519164	0.08158335633904464	0.799488452151562
80	0.9784077736067309	0.9737907698651623	0.5105405504921371	0.07040029033295186	0.0663687807836854	-0.5078251899806138
81	0.9633019906580699	0.9756648343742699	-1.6631243444062005	0.08332228691625665	0.07570172627138123	-0.9495033495322633
82	0.9809332650900195	0.9716217754680727	0.9059206805878482	0.0892654660369296	0.07858662089668852	-1.1375824594818402
83	0.9775812296234557	0.964845157426112	1.3933980621385218	0.08805875554716003	0.09254786111624934	0.4771760044765383
84	0.9730337765961248	0.9739253881635097	-0.0844422767388217	0.10761416117915865	0.0909412367662937	-2.8039604990276947
85	0.9846727358141939	0.9815324731625304	0.3706062753645055	0.08675914660935809	0.08060392535476356	-0.7043774520219558
86	0.9835043015963119	0.971859245982109	1.5765934502304233	0.08840219270963968	0.07971194056553929	-1.4599788558082105
87	0.955267891852435	0.9798792107636993	-2.304883810805303	0.10211169411160442	0.07487732591896766	-3.3386271029316577
88	0.9805322756094946	0.9713009984494553	1.0670094369869072	0.06433294362508742	0.068435568322469	0.5391451454916069
89	0.9733278283576676	0.9753400127232228	-0.22285822562550153	0.08343160462378559	0.08906166096977665	0.6895461907757111
90	0.9692705995894889	0.976773357084371	-0.7429692582206261	0.07699761137787683	0.07018152072479933	-1.1388235872468317
91	0.9674285047672817	0.9731883660297699	-0.6173177203804925	0.08153722515935483	0.06206177493215348	-3.0118994925415508
92	0.9636229009798483	0.9782817499351483	-1.4345895072278534	0.06063282286822524	0.06805834207898347	0.8079926977459397
93	0.982643543517496	0.9676172135576367	2.1584591491595644	0.09574426501395372	0.09176847804493737	-0.43243283058174914
94	0.978128423308403	0.9585746288804712	1.5068056367780955	0.09140605685788256	0.08782244086715588	-0.37338528906003043
95	0.9797085611423959	0.9778284567294937	0.22207802517706082	0.09960570680292925	0.08357352604296797	-1.4127600945814207
96	0.9855991901813818	0.9679838639193322	1.634408289951327	0.08948213813129766	0.07334072234475177	-2.0417312403512984
97	0.967222202078138	0.9682302944160156	-0.10644417248260594	0.08662130522378357	0.0866187254614804	-0.00024202201567028893
98	0.9737888922523418	0.9732414313926954	0.07556038200124612	0.10375094084415465	0.09931007378019516	-0.6090138708390098
99	0.9623717428299803	0.9857657711875859	-4.096486221663832	0.08709859390733253	0.0740372020516841	-1.2785748473341978
100	0.9814935817013212	0.9716487994931295	0.7301316826078665	0.09391608257683665	0.08911946304945453	-0.7330919876419674
