development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
SUMO1P1,391257,UNRESOLVED,,0,0
SUMO1P3,474338,UNRESOLVED,,0,0
SUMO2,6613,EXACT_SYMBOL,6613,1,1
SUMO3,6612,EXACT_SYMBOL,6612,1,1
SUMO4,387082,EXACT_SYMBOL,387082,1,1
SUNC1,256979,ENTREZ_ID_MATCH,256979,0,0
SUOX,6821,EXACT_SYMBOL,6821,1,1
SUPT16H,11198,EXACT_SYMBOL,11198,1,1
SUPT3H,8464,EXACT_SYMBOL,8464,1,1
SUPT4H1,6827,EXACT_SYMBOL,6827,1,1
SUPT5H,6829,EXACT_SYMBOL,6829,1,1
SUPT6H,6830,EXACT_SYMBOL,6830,1,1
SUPT7L,9913,EXACT_SYMBOL,9913,1,1
SUPV3L1,6832,EXACT_SYMBOL,6832,1,1
SURF1,6834,EXACT_SYMBOL,6834,1,1
SURF2,6835,EXACT_SYMBOL,6835,1,1
SURF4,6836,EXACT_SYMBOL,6836,1,1
SURF6,6838,EXACT_SYMBOL,6838,1,1
SUSD1,64420,EXACT_SYMBOL,64420,1,1
SUSD2,56241,EXACT_SYMBOL,56241,1,1
SUSD3,203328,EXACT_SYMBOL,203328,1,1
SUSD4,55061,EXACT_SYMBOL,55061,1,1
SUSD5,26032,EXACT_SYMBOL,26032,1,1
SUV39H1,6839,EXACT_SYMBOL,6839,1,1
SUV39H2,79723,EXACT_SYMBOL,79723,1,1
SUV420H1,51111,EXACT_SYMBOL,51111,0,0
SUV420H2,84787,EXACT_SYMBOL,84787,0,0
SUZ12,23512,EXACT_SYMBOL,23512,1,1
SUZ12P,440423,EXACT_SYMBOL,440423,0,0
SV2A,9900,EXACT_SYMBOL,9900,1,1
SV2B,9899,EXACT_SYMBOL,9899,1,1
SV2C,22987,EXACT_SYMBOL,22987,1,1
SVEP1,79987,EXACT_SYMBOL,79987,1,1
SVIL,6840,EXACT_SYMBOL,6840,1,1
SVIP,258010,EXACT_SYMBOL,258010,1,1
SVOP,55530,EXACT_SYMBOL,55530,1,1
SVOPL,136306,EXACT_SYMBOL,136306,1,1
SWAP70,23075,EXACT_SYMBOL,23075,1,1
SYAP1,94056,EXACT_SYMBOL,94056,1,1
SYCE1,93426,EXACT_SYMBOL,93426,1,1
SYCE1L,100130958,EXACT_SYMBOL,100130958,1,1
SYCE2,256126,EXACT_SYMBOL,256126,1,1
SYCN,342898,EXACT_SYMBOL,342898,1,1
SYCP1,6847,EXACT_SYMBOL,6847,1,1
SYCP2,10388,EXACT_SYMBOL,10388,1,1
SYCP2L,221711,EXACT_SYMBOL,221711,1,1
SYCP3,50511,EXACT_SYMBOL,50511,1,1
SYDE1,85360,EXACT_SYMBOL,85360,1,1
SYDE2,84144,EXACT_SYMBOL,84144,1,1
SYF2,25949,EXACT_SYMBOL,25949,1,1
SYK,6850,EXACT_SYMBOL,6850,1,1
SYMPK,8189,EXACT_SYMBOL,8189,1,1
SYN1,6853,EXACT_SYMBOL,6853,1,1
SYN2,6854,EXACT_SYMBOL,6854,1,1
SYN3,8224,EXACT_SYMBOL,8224,1,1
SYNC,81493,EXACT_SYMBOL,81493,1,1
SYNC1,81493,ENTREZ_ID_MATCH,81493,0,0
SYNCRIP,10492,EXACT_SYMBOL,10492,1,1
SYNE1,23345,EXACT_SYMBOL,23345,1,1
SYNE2,23224,EXACT_SYMBOL,23224,1,1
SYNGAP1,8831,EXACT_SYMBOL,8831,1,1
SYNGR1,9145,EXACT_SYMBOL,9145,1,1
SYNGR2,9144,EXACT_SYMBOL,9144,1,1
SYNGR3,9143,EXACT_SYMBOL,9143,1,1
SYNGR4,23546,EXACT_SYMBOL,23546,1,1
SYNJ1,8867,EXACT_SYMBOL,8867,1,1
SYNJ2,8871,EXACT_SYMBOL,8871,1,1
SYNJ2BP,55333,EXACT_SYMBOL,55333,1,1
SYNM,23336,EXACT_SYMBOL,23336,1,1
SYNPO,11346,EXACT_SYMBOL,11346,1,1
SYNPO2,171024,EXACT_SYMBOL,171024,1,1
SYNPO2L,79933,EXACT_SYMBOL,79933,1,1
SYNPR,132204,EXACT_SYMBOL,132204,1,1
SYP,6855,EXACT_SYMBOL,6855,1,1
SYPL1,6856,EXACT_SYMBOL,6856,1,1
SYPL2,284612,EXACT_SYMBOL,284612,1,1
SYS1,90196,EXACT_SYMBOL,90196,1,1
SYT1,6857,EXACT_SYMBOL,6857,1,1
SYT10,341359,UNRESOLVED,,1,0
SYT11,23208,EXACT_SYMBOL,23208,1,1
SYT12,91683,EXACT_SYMBOL,91683,1,1
SYT13,57586,EXACT_SYMBOL,57586,1,1
SYT14,255928,EXACT_SYMBOL,255928,1,1
SYT14L,401135,UNRESOLVED,,0,0
SYT15,83849,EXACT_SYMBOL,83849,1,1
SYT16,83851,EXACT_SYMBOL,83851,1,1
SYT17,51760,EXACT_SYMBOL,51760,1,1
SYT2,127833,EXACT_SYMBOL,127833,1,1
SYT3,84258,EXACT_SYMBOL,84258,1,1
SYT4,6860,EXACT_SYMBOL,6860,1,1
SYT5,6861,EXACT_SYMBOL,6861,1,1
SYT6,148281,EXACT_SYMBOL,148281,1,1
SYT7,9066,EXACT_SYMBOL,9066,1,1
SYT8,90019,EXACT_SYMBOL,90019,1,1
SYT9,143425,EXACT_SYMBOL,143425,1,1
SYTL1,84958,EXACT_SYMBOL,84958,1,1
SYTL2,54843,EXACT_SYMBOL,54843,1,1
SYTL3,94120,EXACT_SYMBOL,94120,1,1
SYTL4,94121,EXACT_SYMBOL,94121,1,1
SYTL5,94122,EXACT_SYMBOL,94122,1,1
SYVN1,84447,EXACT_SYMBOL,84447,1,1
Selenoprotein 15,9403,ENTREZ_ID_MATCH,9403,0,0
Septin 1,1731,ENTREZ_ID_MATCH,1731,0,0
Septin 10,151011,ENTREZ_ID_MATCH,151011,0,0
Septin 11,55752,ENTREZ_ID_MATCH,55752,0,0
Septin 12,124404,ENTREZ_ID_MATCH,124404,0,0
Septin 13,641977,ENTREZ_ID_MATCH,641977,0,0
Septin 14,346288,UNRESOLVED,,0,0
Septin 2,4735,ENTREZ_ID_MATCH,4735,0,0
Septin 3,55964,ENTREZ_ID_MATCH,55964,0,0
Septin 4,5414,ENTREZ_ID_MATCH,5414,0,0
Septin 5,5413,ENTREZ_ID_MATCH,5413,0,0
Septin 6,23157,ENTREZ_ID_MATCH,23157,0,0
Septin 7,989,ENTREZ_ID_MATCH,989,0,0
Septin 8,23176,ENTREZ_ID_MATCH,23176,0,0
Septin 9,10801,ENTREZ_ID_MATCH,10801,0,0
T,6862,EXACT_SYMBOL,6862,0,0
T-SP1,203074,ENTREZ_ID_MATCH,203074,0,0
T1560,387335,UNRESOLVED,,0,0
TAAR1,134864,EXACT_SYMBOL,134864,1,1
TAAR2,9287,EXACT_SYMBOL,9287,1,1
TAAR3,9288,EXACT_SYMBOL,9288,0,0
TAAR5,9038,EXACT_SYMBOL,9038,1,1
TAAR6,319100,UNRESOLVED,,1,0
TAAR8,83551,EXACT_SYMBOL,83551,1,1
TAAR9,134860,EXACT_SYMBOL,134860,1,1
TAC1,6863,EXACT_SYMBOL,6863,1,1
TAC3,6866,EXACT_SYMBOL,6866,1,1
TAC4,255061,EXACT_SYMBOL,255061,1,1
TACC1,6867,EXACT_SYMBOL,6867,1,1
TACC2,10579,EXACT_SYMBOL,10579,1,1
TACC3,10460,EXACT_SYMBOL,10460,1,1
TACO1,51204,EXACT_SYMBOL,51204,1,1
TACR1,6869,EXACT_SYMBOL,6869,1,1
TACR2,6865,EXACT_SYMBOL,6865,1,1
TACR3,6870,EXACT_SYMBOL,6870,1,1
TACSTD1,4072,ENTREZ_ID_MATCH,4072,0,0
TACSTD2,4070,EXACT_SYMBOL,4070,1,1
TADA1L,117143,ENTREZ_ID_MATCH,117143,0,0
TADA2A,6871,EXACT_SYMBOL,6871,1,1
TADA2B,93624,EXACT_SYMBOL,93624,1,1
TADA3,10474,EXACT_SYMBOL,10474,1,1
TAF1,6872,EXACT_SYMBOL,6872,1,1
TAF10,6881,EXACT_SYMBOL,6881,1,1
TAF11,6882,EXACT_SYMBOL,6882,1,1
TAF12,6883,EXACT_SYMBOL,6883,1,1
TAF13,6884,EXACT_SYMBOL,6884,1,1
TAF15,8148,EXACT_SYMBOL,8148,1,1
TAF1A,9015,EXACT_SYMBOL,9015,1,1
TAF1B,9014,EXACT_SYMBOL,9014,1,1
TAF1C,9013,EXACT_SYMBOL,9013,1,1
TAF1D,79101,EXACT_SYMBOL,79101,1,1
TAF1L,138474,EXACT_SYMBOL,138474,1,1
TAF2,6873,EXACT_SYMBOL,6873,1,1
TAF3,83860,EXACT_SYMBOL,83860,1,1
TAF4,6874,EXACT_SYMBOL,6874,1,1
TAF4B,6875,EXACT_SYMBOL,6875,1,1
TAF5,6877,EXACT_SYMBOL,6877,1,1
TAF5L,27097,EXACT_SYMBOL,27097,1,1
TAF6,6878,EXACT_SYMBOL,6878,1,1
TAF6L,10629,EXACT_SYMBOL,10629,1,1
TAF7,6879,EXACT_SYMBOL,6879,1,1
TAF7L,54457,EXACT_SYMBOL,54457,1,1
TAF8,129685,EXACT_SYMBOL,129685,1,1
TAF9,6880,EXACT_SYMBOL,6880,1,1
TAF9B,51616,EXACT_SYMBOL,51616,1,1
