fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
28,6,3,16,77,19,11,2,63.43966860770628,0.6666666666666666,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411
29,6,4,4,77,19,10,3,54.62252495336781,0.7291666666666666,0.7291666666666666,0.6145833333333333,0.6666666666666666,0.5625
29,6,4,8,77,19,10,3,54.62252495336781,0.5111111111111111,0.6666666666666666,0.5729166666666666,0.3333333333333333,0.8125
29,6,4,16,77,19,10,3,54.62252495336781,0.5916666666666666,0.8333333333333333,0.6041666666666666,0.3333333333333333,0.875
30,6,5,4,77,19,10,3,53.02128190609104,0.3492063492063492,0.6666666666666666,0.5416666666666666,0.3333333333333333,0.75
30,6,5,8,77,19,10,3,53.02128190609104,0.2518518518518519,0.5625,0.5729166666666666,0.3333333333333333,0.8125
30,6,5,16,77,19,10,3,53.02128190609104,0.38888888888888884,0.7708333333333333,0.5729166666666666,0.3333333333333333,0.8125
31,7,1,4,76,20,10,3,58.588200042958555,0.3333333333333333,0.7647058823529411,0.7941176470588236,1.0,0.5882352941176471
31,7,1,8,76,20,10,3,58.588200042958555,0.42499999999999993,0.8235294117647058,0.8235294117647058,1.0,0.6470588235294118
31,7,1,16,76,20,10,3,58.588200042958555,0.5916666666666666,0.8431372549019607,0.6862745098039216,0.6666666666666666,0.7058823529411765
32,7,2,4,77,19,11,2,64.39369107571946,0.225,0.7058823529411764,0.8235294117647058,1.0,0.6470588235294118
32,7,2,8,77,19,11,2,64.39369107571946,0.22619047619047616,0.7058823529411764,0.8235294117647058,1.0,0.6470588235294118
32,7,2,16,77,19,11,2,64.39369107571946,0.45,0.8823529411764706,0.7205882352941176,0.5,0.9411764705882353
33,7,3,4,77,19,11,2,57.18295580173366,0.10049019607843138,0.23529411764705882,0.4117647058823529,0.0,0.8235294117647058
33,7,3,8,77,19,11,2,57.18295580173366,0.09126984126984126,0.1470588235294118,0.4411764705882353,0.0,0.8823529411764706
33,7,3,16,77,19,11,2,57.18295580173366,0.22619047619047616,0.7058823529411764,0.47058823529411764,0.0,0.9411764705882353
34,7,4,4,77,19,10,3,70.10843565204175,0.8666666666666667,0.9583333333333334,0.78125,1.0,0.5625
34,7,4,8,77,19,10,3,70.10843565204175,0.35470085470085466,0.6875,0.6458333333333333,0.6666666666666666,0.625
34,7,4,16,77,19,10,3,70.10843565204175,0.4797979797979798,0.7916666666666666,0.7083333333333333,0.6666666666666666,0.75
35,7,5,4,77,19,10,3,58.889705448573466,0.5666666666666667,0.7083333333333333,0.7395833333333333,0.6666666666666666,0.8125
35,7,5,8,77,19,10,3,58.889705448573466,0.4769230769230769,0.625,0.6041666666666666,0.3333333333333333,0.875
35,7,5,16,77,19,10,3,58.889705448573466,0.3958333333333333,0.6666666666666666,0.6354166666666666,0.3333333333333333,0.9375
36,8,1,4,76,20,10,3,62.91525711659658,0.5444444444444444,0.7843137254901961,0.5784313725490196,0.3333333333333333,0.8235294117647058
36,8,1,8,76,20,10,3,62.91525711659658,0.425,0.39215686274509803,0.5784313725490196,0.3333333333333333,0.8235294117647058
36,8,1,16,76,20,10,3,62.91525711659658,0.2685185185185185,0.6470588235294118,0.4411764705882353,0.0,0.8823529411764706
37,8,2,4,77,19,11,2,63.24513841143762,0.5769230769230769,0.6764705882352942,0.45588235294117646,0.5,0.4117647058823529
37,8,2,8,77,19,11,2,63.24513841143762,0.31666666666666665,0.5882352941176471,0.6323529411764706,0.5,0.7647058823529411
37,8,2,16,77,19,11,2,63.24513841143762,0.3611111111111111,0.7647058823529411,0.6029411764705883,0.5,0.7058823529411765
38,8,3,4,77,19,11,2,68.20690943660479,0.39285714285714285,0.8235294117647058,0.6029411764705883,0.5,0.7058823529411765
38,8,3,8,77,19,11,2,68.20690943660479,0.6,0.7647058823529411,0.6323529411764706,0.5,0.7647058823529411
38,8,3,16,77,19,11,2,68.20690943660479,0.29166666666666663,0.7647058823529411,0.6911764705882353,0.5,0.8823529411764706
39,8,4,4,77,19,10,3,66.93693531553632,0.2216931216931217,0.5833333333333334,0.75,1.0,0.5
39,8,4,8,77,19,10,3,66.93693531553632,0.34444444444444444,0.75,0.6770833333333333,0.6666666666666666,0.6875
