null_rep	AB_cosine	AC_cosine	BC_cosine	AB_w1	AC_w1	BC_w1	minimum_pairwise_cosine	maximum_pairwise_w1
120	0.9719209767779061	0.9961857881182765	0.966386094140052	0.018052488012706994	0.07356265398918581	0.058952603473802545	0.966386094140052	0.07356265398918581
121	0.965962795292999	0.9892765034980598	0.9884985700099026	0.029228504908797755	0.08426046936487404	0.06339390587436794	0.965962795292999	0.08426046936487404
122	0.9802786737343675	0.9947762186976306	0.9935396327874799	0.021510534496300485	0.08112431279046806	0.06947757719913354	0.9802786737343675	0.08112431279046806
123	0.9739100633213662	0.9962431034968267	0.9751313732757775	0.033952968427794765	0.08430398991143642	0.06259155847588971	0.9739100633213662	0.08430398991143642
124	0.9675288809253708	0.9905230122994787	0.981695358946074	0.01704230356913528	0.0831480493706275	0.06929001760546767	0.9675288809253708	0.0831480493706275
125	0.9791096970354431	0.998332639214923	0.9796145300905615	0.023849930506377154	0.09590608336367677	0.07643624225018371	0.9791096970354431	0.09590608336367677
126	0.9757000640934829	0.9894361886896891	0.9897225803819328	0.016485678918708183	0.07838756269580896	0.07272386424761393	0.9757000640934829	0.07838756269580896
127	0.9674703129865729	0.9860362359355238	0.9950228124204409	0.02959831268959086	0.08814787488627193	0.07301853324987857	0.9674703129865729	0.08814787488627193
128	0.9842932284990229	0.9958689738154317	0.983996522851269	0.02456762443133228	0.08824139428990696	0.07160353742474804	0.983996522851269	0.08824139428990696
129	0.9767860001448063	0.9963920094903932	0.979491665564776	0.016205185110991033	0.0828367578415459	0.07629915078933237	0.9767860001448063	0.0828367578415459
130	0.9732118109834473	0.9895139600289173	0.9927280016829477	0.031050326661667557	0.086657084026965	0.06456093333973191	0.9732118109834473	0.086657084026965
131	0.9763755530234912	0.9942672829509587	0.9799687746162219	0.023762022763905672	0.07299428824173111	0.054388025477998016	0.9763755530234912	0.07299428824173111
132	0.9827384510133257	0.9963575939292744	0.9799042193006062	0.023195393130371892	0.09159528359277791	0.07295419133720948	0.9799042193006062	0.09159528359277791
133	0.960525958220181	0.9833683365489895	0.9868361863457968	0.02035702909926329	0.07919046989547913	0.0706450467669044	0.960525958220181	0.07919046989547913
134	0.9803909679997341	0.9916493897459141	0.9861624758682814	0.03305332388192076	0.09712117046334348	0.07618713260578171	0.9803909679997341	0.09712117046334348
135	0.9712830276271096	0.9966731520115698	0.9765812218682234	0.032905437962398275	0.08200123568874745	0.06537238946767447	0.9712830276271096	0.08200123568874745
136	0.9784565170481969	0.9981407856381208	0.9836597613612275	0.03661391140011206	0.09716771384561834	0.07088012918909888	0.9784565170481969	0.09716771384561834
137	0.9660054105957353	0.9944629212891685	0.9699202717168101	0.015788511916695374	0.08769283164380584	0.07788738202851536	0.9660054105957353	0.08769283164380584
138	0.9623857388946536	0.9933358168596375	0.9737409654449786	0.01615239894021106	0.07106261202155975	0.060877505920286686	0.9623857388946536	0.07106261202155975
139	0.9711657690038085	0.9922896957317016	0.9868943908168091	0.02543620652648163	0.08113287843451274	0.060146903410977476	0.9711657690038085	0.08113287843451274
140	0.9648702725780873	0.9907549731066901	0.9809476731148726	0.014552331623457072	0.07992044378693945	0.07357919802700423	0.9648702725780873	0.07992044378693945
141	0.9705510790407752	0.9974030407094586	0.9740379998720151	0.017081564804968523	0.06963536092268731	0.06243968384150035	0.9705510790407752	0.06963536092268731
142	0.9844094295647601	0.9925130797618718	0.9794776114245217	0.028036187636837004	0.07380050653090565	0.059256237995929745	0.9794776114245217	0.07380050653090565
143	0.9807649929851994	0.990575782160982	0.9893047501724583	0.016001068176156076	0.07468521357279943	0.06482295135861944	0.9807649929851994	0.07468521357279943
144	0.9770133331711569	0.9950178077147536	0.9724153320990809	0.01966844227236248	0.07638999967165588	0.06806163237821002	0.9724153320990809	0.07638999967165588
145	0.9781567494806129	0.9952850095697837	0.9848762016159678	0.019411970689997754	0.07314025485035112	0.05919952858649186	0.9781567494806129	0.07314025485035112
146	0.9549475459528344	0.992737633432683	0.9731358802700752	0.01891953631661296	0.07038700880056231	0.06386910711723269	0.9549475459528344	0.07038700880056231
147	0.984983865296859	0.9900343434908372	0.980925615725971	0.02412395579740554	0.07859154589935524	0.05995694945850879	0.980925615725971	0.07859154589935524
148	0.9659133215354576	0.9882978641847534	0.9904501124018945	0.011707789230941856	0.08558742104488734	0.07779677850880036	0.9659133215354576	0.08558742104488734
149	0.9659271381414356	0.9811603130120929	0.9952276774699043	0.013030224907301612	0.10142790795846257	0.08896078818077209	0.9659271381414356	0.10142790795846257
150	0.9695006951677428	0.9875899372065128	0.9925062965819325	0.0189983404810689	0.07716552756758943	0.06194290672579048	0.9695006951677428	0.07716552756758943
151	0.9898325894005351	0.995007610712307	0.9898383036299918	0.030748707112770626	0.09106267649995654	0.07024223884689404	0.9898325894005351	0.09106267649995654
152	0.9454939636577552	0.9953741303052822	0.9554326967790802	0.017504331514683495	0.07983401494681698	0.06708299315163689	0.9454939636577552	0.07983401494681698
153	0.9783865562020845	0.9922056185609703	0.9901497715690968	0.023823912875406607	0.08396655973984503	0.06486596152599382	0.9783865562020845	0.08396655973984503
154	0.9659338296978534	0.9857119687811973	0.9808158228602846	0.046551699686971086	0.08837673302848596	0.05666565507910376	0.9659338296978534	0.08837673302848596
155	0.9795033621919762	0.9929343890206261	0.9755983646431121	0.030987489897905732	0.0781956679093115	0.05158996172645517	0.9755983646431121	0.0781956679093115
156	0.9890181014945802	0.989668571629043	0.9929661523820621	0.03471961537415202	0.08696117864430751	0.06735117660762499	0.9890181014945802	0.08696117864430751
157	0.9739340026427367	0.9920247521296397	0.9868450565413261	0.021879753959272906	0.08193276230325175	0.06190734602273508	0.9739340026427367	0.08193276230325175
158	0.986665227154608	0.991171143704371	0.9821466640912193	0.03177146957769428	0.08535555889161188	0.06124589342234117	0.9821466640912193	0.08535555889161188
159	0.9781953895655447	0.9889161101417594	0.9934533056413333	0.031083145218724413	0.07983966476999227	0.06125607881855252	0.9781953895655447	0.07983966476999227
160	0.9680796655143623	0.9982654867544526	0.975651913206251	0.02633857214900101	0.08264587239427965	0.0670179885243632	0.9680796655143623	0.08264587239427965
161	0.9581582281638825	0.9934827226224656	0.9731864221447705	0.013021371713748951	0.0881732196654793	0.08173471120425552	0.9581582281638825	0.0881732196654793
162	0.9838342634387578	0.9936664416759075	0.9914994880001756	0.023765161390257566	0.0722623137680359	0.05440244436963668	0.9838342634387578	0.0722623137680359
163	0.9861165610550571	0.9944700461814103	0.9728173284440179	0.03240542288827611	0.08847772989677614	0.07292343202918004	0.9728173284440179	0.08847772989677614
164	0.9680681275929113	0.993608780306129	0.9822762881556224	0.009578400308334258	0.07056037455932472	0.06695897698626803	0.9680681275929113	0.07056037455932472
165	0.9823537322696133	0.9955665272447455	0.9897432829194966	0.02795912699573909	0.07273751025944897	0.060834479631964915	0.9823537322696133	0.07273751025944897
166	0.9910483619265107	0.995435558243939	0.9919801557013476	0.0441304332952126	0.09155959387023163	0.06184503608737615	0.9910483619265107	0.09155959387023163
167	0.9689106274167255	0.9909837371900688	0.9813300335051093	0.012186473473520204	0.06922946422831244	0.06892399744460599	0.9689106274167255	0.06922946422831244
168	0.9680602635984732	0.9947297622337516	0.9830355059053858	0.024194176287405597	0.07943794849449415	0.06372485132859224	0.9680602635984732	0.07943794849449415
169	0.9755933014544071	0.996674148843596	0.9784997226094029	0.02855039871042785	0.08523165277099232	0.06568227366744935	0.9755933014544071	0.08523165277099232
170	0.9874108973732753	0.997322162049412	0.9845084592191832	0.031045010410124616	0.08176035766251896	0.05751408682465305	0.9845084592191832	0.08176035766251896
171	0.9749241584139559	0.9910508002064576	0.9906523180240494	0.0282486293519015	0.0773392171665637	0.06356714547091558	0.9749241584139559	0.0773392171665637
172	0.9560863659735719	0.9855558400890898	0.9827827577195968	0.009365269740657435	0.06497714565478722	0.06018012859233712	0.9560863659735719	0.06497714565478722
173	0.9852307247779363	0.9942100711149148	0.9861737581521901	0.03106057933019605	0.07328933221853177	0.06075071697575182	0.9852307247779363	0.07328933221853177
174	0.9739399937386032	0.991078576489293	0.9809576695000308	0.041038224636643826	0.08312138390141618	0.053744410841361355	0.9739399937386032	0.08312138390141618
175	0.9728807146987386	0.9915925036742267	0.9889516280730992	0.02229314389134505	0.08116198703593029	0.06776947524362738	0.9728807146987386	0.08116198703593029
176	0.9787755250192592	0.9883770943059506	0.9898602778896964	0.03031195474879736	0.08529454245576597	0.057853428253541055	0.9787755250192592	0.08529454245576597
177	0.9806242326778115	0.9943152795693219	0.9849065317373651	0.02530530293430797	0.07966036900717882	0.0599624795750752	0.9806242326778115	0.07966036900717882
178	0.9704284599465028	0.9894565926376322	0.9921549248899626	0.010531745276809718	0.07778213095854015	0.07050635512846433	0.9704284599465028	0.07778213095854015
179	0.9831555862515168	0.9904440703562198	0.9895279747306381	0.019834317786053303	0.08394420932145559	0.06616765049135181	0.9831555862515168	0.08394420932145559
180	0.9875373170654785	0.991416286643308	0.9901798088657137	0.02380258614228108	0.07287457710634437	0.0564094978214375	0.9875373170654785	0.07287457710634437
181	0.9696237632707588	0.9873764983119411	0.9879145811387874	0.02872727445206	0.08451987157155925	0.07127749306038858	0.9696237632707588	0.08451987157155925
182	0.9712568501484015	0.9942143788588801	0.9833277830579056	0.01715079482208228	0.08168900652988446	0.07308562585599795	0.9712568501484015	0.08168900652988446
183	0.9725764002466474	0.9928611237659122	0.9927476808210755	0.026074746251510867	0.09371517950918365	0.07762839391303393	0.9725764002466474	0.09371517950918365
184	0.9531443958214204	0.9818359321654663	0.9897099128996663	0.011181308336131046	0.07367679712221864	0.06698309167355979	0.9531443958214204	0.07367679712221864
185	0.9730857612319348	0.9933602268152878	0.9815669929196194	0.03127648357181949	0.08381438257220873	0.06513985946425907	0.9730857612319348	0.08381438257220873
