fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
2,59,1,12,0,0.7071625960606345
2,60,1,12,0,0.6629139023839463
2,61,1,13,0,0.6518993369713821
2,62,1,13,0,0.6737933862131886
2,63,1,13,0,0.6399571434405318
2,64,1,13,0,0.7271182987201439
2,65,1,13,0,0.704036912198975
2,66,1,14,0,0.6978553222044144
2,67,1,14,0,0.714900914251686
2,68,1,14,0,0.6946602556062336
2,69,1,14,0,0.6178108005358971
2,70,1,14,0,0.6691500351989598
2,71,1,15,0,0.6374458254168824
2,72,1,15,0,0.6988452394917619
2,73,1,15,0,0.7214953738667262
2,74,1,15,0,0.6837421416417251
2,75,1,15,0,0.6681792216190385
2,76,1,16,0,0.718761924643385
2,77,1,16,0,0.6338474825414118
2,78,1,16,0,0.6865853014152254
2,79,1,16,0,0.6408699768672954
2,80,1,16,0,0.6433938599269147
2,81,1,17,0,0.6916431896955502
2,82,1,17,0,0.7165114619117697
2,83,1,17,0,0.7189608988813935
2,84,1,17,0,0.6566245429303015
2,85,1,17,0,0.7114576809462019
2,86,1,18,0,0.6614016522598507
2,87,1,18,0,0.6701623113054278
2,88,1,18,0,0.7012571210285825
2,89,1,18,0,0.732927741471466
2,90,1,18,0,0.693868379695902
2,91,1,19,0,0.7073065752623493
2,92,1,19,0,0.6840336753124272
2,93,1,19,0,0.6820846279824415
2,94,1,19,0,0.6505889035619289
2,95,1,19,0,0.6398183478639553
2,96,1,20,0,0.644900888841645
2,97,1,20,0,0.7224118094950331
2,98,1,20,0,0.7263172909479698
2,99,1,20,0,0.6691919121656316
2,100,1,20,0,0.6418530141866372
3,4,1,1,1,0.7199934544097439
3,5,1,1,1,0.6025558580250301
3,6,1,2,0,0.7066898804993439
3,7,1,2,0,0.6976484887003502
3,8,1,2,0,0.7190081318780404
3,9,1,2,0,0.6163350477402809
3,10,1,2,0,0.7450037056337319
3,11,1,3,0,0.6916073605263859
3,12,1,3,0,0.6940466633192766
3,13,1,3,0,0.7025566197164759
3,14,1,3,0,0.7444317312255546
3,15,1,3,0,0.7121563292848552
3,16,1,4,0,0.7046899992011353
3,17,1,4,0,0.606118056906958
3,18,1,4,0,0.7149319401955763
3,19,1,4,0,0.7922182175354404
3,20,1,4,0,0.6990306953835093
3,21,1,5,0,0.6901087035208346
3,22,1,5,0,0.6982021598163362
3,23,1,5,0,0.807201255081647
3,24,1,5,0,0.7045062415968191
3,25,1,5,0,0.6258020368055106
3,26,1,6,0,0.6613353705908365
3,27,1,6,0,0.7448318356676196
3,28,1,6,0,0.7915290878083604
3,29,1,6,0,0.7105828563202748
3,30,1,6,0,0.6413396361995504
3,31,1,7,0,0.7087414248487162
3,32,1,7,0,0.722192279710415
3,33,1,7,0,0.6829795472785289
3,34,1,7,0,0.7343175864635907
3,35,1,7,0,0.6765656458925808
3,36,1,8,0,0.7036742451964515
3,37,1,8,0,0.7248333493457084
3,38,1,8,0,0.7472964525123957
3,39,1,8,0,0.7151231937514613
3,40,1,8,0,0.6935830456424724
3,41,1,9,0,0.731024047345538
3,42,1,9,0,0.7675181370981341
3,43,1,9,0,0.7255661871631531
3,44,1,9,0,0.6277191210267625
3,45,1,9,0,0.7338675296464063
3,46,1,10,0,0.7320010877416087
3,47,1,10,0,0.7006906315991628
3,48,1,10,0,0.6860003673476611
3,49,1,10,0,0.6736213417489305
3,50,1,10,0,0.7130746703391513
3,51,1,11,0,0.7591133204795932
3,52,1,11,0,0.6582288082530188
3,53,1,11,0,0.7171425208448386
3,54,1,11,0,0.7576399601129269
3,55,1,11,0,0.6469213071996222
3,56,1,12,0,0.775037905860314
3,57,1,12,0,0.7357425468637526
3,58,1,12,0,0.593175481148079
3,59,1,12,0,0.7531341571760902
3,60,1,12,0,0.6997190562458203
3,61,1,13,0,0.6807950027868035
3,62,1,13,0,0.6839747017829574
3,63,1,13,0,0.6724175914843618
3,64,1,13,0,0.7383803355336929
3,65,1,13,0,0.7136385260709506
3,66,1,14,0,0.8184141023787866
3,67,1,14,0,0.7193993431414687
3,68,1,14,0,0.7090584425647648
3,69,1,14,0,0.7051343055882515
3,70,1,14,0,0.6444111142031226
3,71,1,15,0,0.7170962966451169
3,72,1,15,0,0.7522810974847322
3,73,1,15,0,0.695716301721835
3,74,1,15,0,0.6865521296798911
