null_rep	spectrum_cosine	distance_wasserstein	anisotropy_wasserstein
155	0.5756570093491492	0.17711395766589325	0.0921816547690058
156	0.5805626894531806	0.1838285100435274	0.09124274985186921
157	0.5801659692393044	0.18237206340914372	0.09010387037252766
158	0.5771111142126802	0.17591242485428993	0.08759844765832617
159	0.5808502507915476	0.18278038334697075	0.08666950709040193
160	0.5764108259970147	0.17367366462601835	0.08879873801615219
161	0.5824510942433607	0.1820396363899662	0.09123490766809551
162	0.5799736640042716	0.1738223374461447	0.08031397898592717
163	0.591090107416946	0.17222766699615674	0.0800781389436467
164	0.5776512034932371	0.1766270737926603	0.08965333321114817
165	0.5781340695141517	0.17622807305501703	0.0912600981147475
166	0.5850256534528407	0.18539633975828473	0.08858506245622205
167	0.579403467161322	0.17311756129592387	0.0917507115224008
168	0.5857590537885049	0.17965234181916645	0.08819701851483669
169	0.5809065692457807	0.18269727781406236	0.09105960654483322
170	0.5710876347786825	0.1851883677193915	0.08661726370315032
171	0.5770001662972316	0.187332400152133	0.09003056384978755
172	0.5768490249237781	0.1836045005957318	0.0938652170168513
173	0.5804793046465714	0.17807574803647094	0.08400546440565895
174	0.5759499465840616	0.1841599272833751	0.08370210860327641
175	0.5822687997081242	0.18410996562178955	0.09071062051438751
176	0.571520747443616	0.1777516960515219	0.09301787427162815
177	0.581872790881005	0.1828907601203493	0.09018801909462429
178	0.5865359702855207	0.18387155735267358	0.0941390981309451
179	0.5832858189303819	0.18167331326980785	0.08630332307812333
180	0.5795110577092996	0.17462426880617446	0.0932979569086372
181	0.5801340460696486	0.1805610847647032	0.08685679490228895
182	0.5798379383436947	0.18144339642498467	0.08163266261349313
183	0.5946257217135884	0.1732327798389231	0.07925210378954413
184	0.5781128173670897	0.17608883657024182	0.08275538647965075
185	0.5816538509116161	0.17259061648830237	0.08965392456093157
186	0.569856450734032	0.17650912459043233	0.07977777476870351
187	0.5775635766678993	0.18217219975519908	0.09161929271381543
188	0.5827258204516674	0.17834131952405888	0.0890166758429645
189	0.5754516183123626	0.1858547231849983	0.08160393277956134
190	0.5836933515921902	0.18152813936897	0.08630077038303048
191	0.5788424858253193	0.1736293741537906	0.083723922719879
192	0.5825060004882334	0.17416863114826373	0.08473440338170694
193	0.5797064219029812	0.17480397476737952	0.09125439456379086
194	0.5737978970976718	0.1878778036745348	0.08653787879993437
195	0.5914323081265495	0.17833249399798548	0.08086702739992169
196	0.5770624271093063	0.18659375003881998	0.08605499454667045
197	0.5780829728600332	0.1776262929078698	0.08875793971211177
198	0.5863162019101651	0.18120428057499355	0.08618865189616316
199	0.5824316705623489	0.18039458623537505	0.09061640631861291
200	0.5770692796624731	0.18009778053460082	0.08559702285209508
201	0.5770631417871493	0.17540305212951232	0.08412004304062697
202	0.5842893382730786	0.1846710063794845	0.08884482220693134
203	0.5702981240562248	0.17697498307664036	0.08963604291341072
204	0.5807932520189372	0.17910160372634748	0.09042908429863432
205	0.5773883615365759	0.1787027831427775	0.08357825945722326
206	0.582443289985596	0.18005500825586274	0.09491506715269615
207	0.5772655035336093	0.17122627399935153	0.07881407887870846
208	0.5799887947769179	0.1752506705129863	0.08925700296660863
209	0.5799272883438166	0.1864191805840968	0.09291235084406242
210	0.5836861195970782	0.18313067949327858	0.08850066061895452
211	0.5804386492281339	0.17700674452427154	0.08889957435314984
212	0.5794876649164582	0.1829560871613938	0.08786986753760317
213	0.5834411778468794	0.17264565793272488	0.07263717148147138
214	0.5770878534598562	0.1816436645576834	0.08686766000859802
215	0.599040937082876	0.17714388147418333	0.08381429422951273
216	0.5805995154246935	0.18313874641700553	0.08832246177464402
217	0.5729200237187475	0.17334174206174188	0.08841776078996288
218	0.5860893938000122	0.18011980224057023	0.08589204446340894
219	0.5835090947015621	0.17438373453069217	0.0783114841953641
220	0.5765915524146588	0.17767872740987775	0.08516750309365682
221	0.5765709105208718	0.17589674340985562	0.08618813945065402
222	0.5961560476736536	0.17684981626640525	0.08985796366265988
223	0.5844265712967203	0.17778084243229308	0.08617463844302904
224	0.5848334756720671	0.1794547381273819	0.0833793070195722
225	0.5798665492335935	0.1742523575139453	0.09004629302223276
226	0.5818689832302142	0.17818179161531414	0.08174188919874605
227	0.5817015921072025	0.18002108728368618	0.08856455043211374
228	0.5848853832335186	0.17858060322594582	0.08504981812830348
229	0.5813128401928787	0.1868919005537524	0.09027198968012756
230	0.5894998202567607	0.18194100772549862	0.08612302821642177
231	0.5758067109097846	0.18299972753243138	0.08957515834477033
232	0.5869764011962225	0.1836365241273596	0.08240476421510327
233	0.5814550562761966	0.17637889462237724	0.0897837662449889
234	0.5722348747468469	0.17444247345319897	0.08404246835045613
235	0.5756884265461416	0.18773513914980297	0.09100009425866123
236	0.5697869491590544	0.18008194999691077	0.09144015426564799
237	0.5831457035979546	0.17839688262275402	0.08622136349307391
238	0.5827563014533836	0.17809178276873266	0.0923489512685752
239	0.5799863402828503	0.18276339415629048	0.09914940210741616
240	0.587095714040482	0.17311909472314865	0.08042865617564857
241	0.5792944276304024	0.18060414723503385	0.09058345374939288
242	0.588796495332982	0.17200213268698544	0.09205552230451597
243	0.5826593558584857	0.17638141470698804	0.08615269256959296
244	0.5843572392971882	0.18318842284091424	0.09416429387746278
245	0.5790148594695131	0.17977965275588992	0.08946880357191617
246	0.5849312339833509	0.1697479367013044	0.08969308701793462
247	0.5810489697671078	0.17614826234830244	0.0804381863185491
248	0.5832102125706863	0.18331787793546386	0.09003470955538537
249	0.5853679440137672	0.1843946067010172	0.0842384167369269
250	0.5821699282762016	0.17426866948826952	0.08411874244439511
251	0.5826488708593927	0.18334684206438748	0.0904404533776638
252	0.5780834441238233	0.18691519967546089	0.08989320683440556
253	0.5870388947118905	0.17953982432191276	0.08894380704972095
254	0.5770086498141901	0.1758871770108812	0.08806871788096168
255	0.5888929473046693	0.19034858867573148	0.09212629138244596
256	0.5785757505715337	0.1755562995020082	0.08200187734069839
257	0.5789634403065781	0.18038422758109102	0.08937401459794789
258	0.5875756595754414	0.18279346870553537	0.09074872081586476
259	0.5864934400368572	0.18109115065821152	0.09242808225529706
260	0.576615053740256	0.18248319282376407	0.08524764105216247
261	0.5891324135803979	0.17444015878433594	0.0870567365291592
262	0.5813455058808795	0.18321098831529486	0.08582741679553027
263	0.5707316597439358	0.18014368847682788	0.0886231644284546
264	0.5878887565126022	0.17697366447040683	0.08309912279066907
265	0.5759215226158635	0.17845376895400292	0.08720381458291417
266	0.5781565416882146	0.17355789471237984	0.08655037150706543
267	0.5731891211062513	0.17859104968701817	0.08677275752844164
268	0.5806224146957969	0.1813454382041633	0.08531291464614273
269	0.5825606601712939	0.18554976358990144	0.0926731898445367
270	0.5740119568595224	0.18089334312179772	0.09200285346924811
271	0.5906605151334055	0.17996002692120114	0.08755271340480038
272	0.5779355172928373	0.1822740410861501	0.08683347630835127
273	0.5808498967241245	0.1834249181279694	0.09176857236050556
274	0.5727103021747777	0.17988420229748958	0.08932058876316595
275	0.5877772128608538	0.18110608016533955	0.09066668602085551
276	0.5831513332682504	0.18190004685640748	0.08498178300666234
277	0.5765514573417474	0.1762635719754242	0.08938298684160832
278	0.5974415727122687	0.1790763774634856	0.08626977971415373
279	0.5746920383629873	0.1764555283181707	0.09216341954419374
280	0.5847602817459143	0.17634330916352703	0.0883968403906791
281	0.5839370243265765	0.1815175289232513	0.08265094306529834
282	0.5850058606799913	0.17547346041304088	0.08685636903210323
283	0.574363768132866	0.17976760689346644	0.0846035711653514
284	0.5767396366017454	0.17391836331957472	0.0966288705407967
285	0.5724732586056469	0.1795310955266833	0.08853737683520416
286	0.5846076828694443	0.1763512563628008	0.07810375442249466
287	0.5778123719628916	0.17808055004190915	0.0844156680449244
288	0.5889270575411358	0.17708291518961178	0.07692468415315275
289	0.5892868508105231	0.18457353705597496	0.08721880028180778
290	0.5772149175604792	0.1843228318910453	0.09013713735709364
291	0.5816652608325055	0.18033515509713657	0.08883832479300327
292	0.5821758706161296	0.18714685467199182	0.08553275638599024
