resample	observed_spectrum_cosine	null_spectrum_mean	null_spectrum_sd	z_spectrum	empirical_p_spectrum	observed_distance_w1	null_distance_mean	null_distance_sd	z_distance	empirical_p_distance	observed_anisotropy_w1	observed_effective_dimension_abs_diff	dev_pca16_cumulative_variance	ext_pca16_cumulative_variance	dev_effective_dimension	ext_effective_dimension
118	0.9935064307608819	0.5804655433734992	0.00607649800123458	67.97350831078425	0.0196078431372549	0.03886492450611884	0.1797369204326127	0.0037804044388083423	37.26373677915252	0.0196078431372549	0.013256174664459141	0.702855290659699	0.8840710881090547	0.8751541653983766	4.2018520689747225	3.4989967783150235
119	0.9960039125656388	0.5810929579056424	0.005237172199531011	79.2242337758441	0.0196078431372549	0.045973292074657786	0.19201996529243925	0.0036634568199654925	39.86580991533487	0.0196078431372549	0.010378588155359645	0.6957793400978369	0.8805728066549355	0.8769196112322082	4.210574281587712	3.5147949414898747
120	0.992587310572935	0.6053535962233638	0.005580924738648247	69.3852242206303	0.0196078431372549	0.03983810908701604	0.17173999023935477	0.004602387235153627	28.659448762775796	0.0196078431372549	0.011971946501938299	1.1277835057603176	0.8759857245946006	0.8742940008956572	4.630100964979637	3.5023174592193196
121	0.9943212142575987	0.5839505080770951	0.005370102590161086	76.41766601114296	0.0196078431372549	0.05469949728181431	0.19388257546054408	0.004806457151327715	28.957519810674363	0.0196078431372549	0.023523135791205768	0.6926089343597188	0.8816574683940317	0.8760524944107079	4.251613704287226	3.559004769927507
122	0.9922022317347342	0.5663760417134014	0.006593332046225937	64.58436903160039	0.0196078431372549	0.032121276218513406	0.16861895099746463	0.0048536332068055445	28.12278327656906	0.0196078431372549	0.01223426877116216	0.40053497048792464	0.8821525681712009	0.8735061794042758	3.9965339578608243	3.5959989873728997
123	0.9963110150191087	0.5818885590120758	0.005919580619551239	70.00875275492912	0.0196078431372549	0.04061430271967147	0.1804135952587063	0.0035194499661058954	39.721915039387845	0.0196078431372549	0.018931724027600988	0.6927147740547275	0.8803846271418898	0.8773676700671622	4.229596564495475	3.5368817904407477
124	0.9972567527681665	0.5731905341833511	0.006288182805247764	67.43859581036887	0.0196078431372549	0.04590229820909126	0.19287483085304302	0.004514711010667227	32.5541396330107	0.0196078431372549	0.023709905633656513	0.4762858520535662	0.8795006142057828	0.875032930310202	4.10820062472388	3.6319147726703136
125	0.9956657461043577	0.5813845212748585	0.005481842827334368	75.57334967061612	0.0196078431372549	0.05000225320074245	0.1929350014719021	0.004517413900653468	31.640392360435172	0.0196078431372549	0.00864929290818123	0.7607944947095833	0.8822755601729388	0.8757334300007524	4.246013032460442	3.4852185377508587
126	0.9917435210824489	0.613633751212887	0.006261104150539529	60.39026995533681	0.0196078431372549	0.04063214429849381	0.1708261365487609	0.003770086488949058	34.53342320710517	0.0196078431372549	0.010889192305851154	1.217249298373058	0.8774789916655803	0.8760620863751925	4.740265215607036	3.523015917233978
127	0.9938881764203343	0.6021818262099479	0.006760960254070395	57.936496516831625	0.0196078431372549	0.04571491708798297	0.1824122341291094	0.0036586090692334924	37.363193075385226	0.0196078431372549	0.009956505494571364	1.0394969567538013	0.8775883052116207	0.8783929226752566	4.549398345694245	3.5099013889404436
128	0.9930302513151639	0.6029254453295894	0.005678738822108308	68.69567666447863	0.0196078431372549	0.03579312438038149	0.1713507211016019	0.0044626699974663385	30.3758953268296	0.0196078431372549	0.023707606829704294	1.0205410266126531	0.8821266774024861	0.8739295545950955	4.563548540439868	3.543007513827215
129	0.9941000776120319	0.6006781021583303	0.007577011354316106	51.923107549468824	0.0196078431372549	0.04069352872005522	0.17465813174603947	0.004442870372265356	30.15271475446573	0.0196078431372549	0.018593892084667545	0.9660909830016169	0.882100087654984	0.8769798908050371	4.542912950433818	3.5768219674322013
130	0.9958335002590025	0.5862639736588937	0.006982934974702434	58.65292002344071	0.0196078431372549	0.06211646498010621	0.2025152309223537	0.004019670299826363	34.92793076793196	0.0196078431372549	0.019261365224771173	0.7221928212334179	0.8790918882837092	0.875773906851506	4.283348905452772	3.5611560842193537
131	0.9939577271458708	0.5927331152476676	0.005531163521569803	72.53891705308531	0.0196078431372549	0.05021982373575251	0.1912175673166145	0.004874881632336375	28.923316341793157	0.0196078431372549	0.01485529667687903	0.7856196428665676	0.8806359162871173	0.8748735830813892	4.408928668401755	3.623309025535187
132	0.9933794462474194	0.6004539072597251	0.005173172076200035	75.9544691728713	0.0196078431372549	0.04433342457396004	0.183476487842364	0.0039817858269834295	34.94488888012786	0.0196078431372549	0.015230146118526109	0.9625344771250752	0.8801640600572156	0.8747097286020016	4.525650704438704	3.563116227313629
133	0.99323998139538	0.5531623481105539	0.005497158147883302	80.05547983993863	0.0196078431372549	0.04000914101368859	0.18348683540207802	0.004482107950589542	32.01120900479817	0.0196078431372549	0.012270728076026128	0.2658129474658506	0.8810455102780561	0.8727848986404301	3.830301253697587	3.5644883062317363
134	0.9958861311953376	0.5835911046662541	0.006742312234050923	61.15039058067592	0.0196078431372549	0.051446465762181766	0.19278543573391815	0.004167353514639456	33.91576199984668	0.0196078431372549	0.01266315323532031	0.7246921429122835	0.8795607252141816	0.8753961708554843	4.252924561958659	3.528232419046376
135	0.9953141378033389	0.5791359661190981	0.0073584829397263215	56.557605024456215	0.0196078431372549	0.049203390273662016	0.19262737516204514	0.004384328508634143	32.71287372876724	0.0196078431372549	0.025353865718816215	0.6038437536643895	0.8830441417131795	0.8751305138233387	4.188776397543805	3.5849326438794153
136	0.9952002345163365	0.5728970615379656	0.005221950260787242	80.87077660420037	0.0196078431372549	0.034889921455888644	0.17913691075889868	0.0038918677301056134	37.06369262942438	0.0196078431372549	0.011950492617004203	0.6321465075425228	0.8827815777419622	0.8754888682085135	4.117435825682451	3.485289318139928
137	0.9955080533417384	0.5882963428575347	0.005980085886263838	68.0946257677607	0.0196078431372549	0.037728803933329655	0.17872947521883364	0.004532244588954411	31.110560897163065	0.0196078431372549	0.008975855839835071	0.8350753928648551	0.8824372127043176	0.8791575437704664	4.340253340661033	3.505177947796178
138	0.9919675786329142	0.5901048970176532	0.006483640762768188	61.98102213233755	0.0196078431372549	0.051951882397498476	0.18571152409847191	0.0037367497220298336	35.79571864618058	0.0196078431372549	0.02163205754492196	0.9159126887867632	0.8783382366337182	0.8747249292423143	4.364569393163339	3.4486567043765755
139	0.9961442260574596	0.5822717020211456	0.0050053707809477556	82.68568746428573	0.0196078431372549	0.04746516676345702	0.1816947182509879	0.005366730480027283	25.01142026548136	0.0196078431372549	0.00996571730022869	0.5913744398635807	0.8829790991990857	0.8721192772817656	4.228946144044933	3.6375717041813522
140	0.9942138794596616	0.5897763873962717	0.007063933387404687	57.253865499994696	0.0196078431372549	0.041349503372392855	0.17646227735731923	0.005007499298833734	26.98208545259201	0.0196078431372549	0.010172360838183415	0.8930678634966109	0.88261046971668	0.8786601427172807	4.361152908987883	3.468085045491272
141	0.9958996164138693	0.5755759832755384	0.00621926320577694	67.58415253239343	0.0196078431372549	0.028161550701214906	0.1608395343307769	0.00438714003682933	30.242477449033274	0.0196078431372549	0.017480952733160936	0.5781288014416472	0.8757526507388166	0.8763520609942406	4.122256939187414	3.544128137745767
142	0.9922915712357834	0.5844028657555816	0.004817689126817443	84.66480396373194	0.0196078431372549	0.03245570010020806	0.17223355205473864	0.004604184463343278	30.358873122349323	0.0196078431372549	0.02049074507703003	0.7468397332456136	0.874378258733965	0.8747235697919635	4.318532141007738	3.5716924077621246
143	0.9925788489725865	0.5954396070355668	0.0062991713931513284	63.046267064395636	0.0196078431372549	0.04302094878907486	0.18396399373079256	0.004683340204037838	30.094556193077914	0.0196078431372549	0.012520011032194689	1.0004492457696683	0.8818379654362749	0.8761020941058077	4.45549344255009	3.4550441967804213
