resample	cohort	z_concentration	z_coherence	observed_concentration	observed_coherence
79	B	9.604608073955774	1.884228207300645	0.39389120893426893	0.45007827673793355
79	C	1.2764199072789137	1.2909698929829039	0.40802708854185743	0.5709039141318104
80	A	-2.1413522861956333	-0.4441272692052337	0.35937174502777824	0.4241431439956006
80	B	3.229661320667862	1.3857369032048872	0.37295396904308875	0.46270959707733245
80	C	-0.7848716194292699	-0.6452661237771722	0.3854730031447464	0.4879346113257571
81	A	0.5703026584785693	2.6284975044996095	0.3652137307188591	0.46351924022555946
81	B	3.0368506764431196	2.120634631276956	0.37234643137152046	0.42428679132026326
81	C	0.9614422421435442	1.7590447741408644	0.39506173601871325	0.5671300525057332
82	A	-1.6696699609130203	0.2820154945589055	0.36002119711191	0.42964460754641565
82	B	3.683735636002414	1.6377697906705966	0.3690554086020147	0.4217227518416526
82	C	-0.7328333264136501	3.064182588704019	0.3985084297585364	0.6227654989605607
83	A	-3.421743150978908	1.8028184969921033	0.34734644791126923	0.47470783483755435
83	B	1.6026665001821956	3.4247325681212475	0.3663973989232252	0.45281939060063847
83	C	0.711009035483498	3.1796039385648514	0.4144992077335777	0.6028544897469859
84	A	-1.367861263681324	-0.22201276287253735	0.3667249325977408	0.4102525994557856
84	B	3.1125576131282293	4.237497263630783	0.3722822170978475	0.43804062036215285
84	C	0.654605175920282	3.3730999274199625	0.4057497820809488	0.6160992493767319
85	A	-1.3441721769234458	-0.883763209748044	0.35969349728546307	0.3897638063708495
85	B	8.101258702254977	3.704072579127926	0.3838173250033514	0.4819629748729764
85	C	0.5324013088201419	1.4819518538908534	0.3889736849397347	0.5567770141635686
86	A	-1.0208202512297322	-0.2620880778361527	0.3552837033070253	0.4052897894560167
86	B	4.094396168886092	7.6889973650469265	0.38155158865144057	0.47694538993483715
86	C	1.427299849402772	3.2078958995623092	0.4047085580255714	0.6036068877619852
87	A	-2.4682332685832327	-0.034672587830856416	0.3540013353553888	0.4366726096192637
87	B	2.3896123468593307	3.1825462778895464	0.378619532840419	0.4541715345389398
87	C	-1.6508599188156645	-0.031162096967433096	0.3943804107613953	0.5905882864615688
88	A	-1.0433242559216749	0.5621551009661975	0.35784101427006376	0.413936466755009
88	B	1.6500656831369904	1.5854017428462588	0.37030012721326616	0.4486030668925254
88	C	-0.5335733705381513	2.597389861668432	0.3892688504823944	0.688979315251814
89	A	-3.404964388372584	0.22818067198996572	0.3593049965846831	0.431656142564802
89	B	4.904049605856035	1.9646941047203383	0.37420356727356907	0.4533658066053038
89	C	0.27797993159499934	3.489102090150822	0.41020401682274416	0.6676108520210211
