i,j,overlap,same_repeat
7,85,0.6324229521435687,0
7,86,0.6957606676209188,0
7,87,0.6396386150695275,0
7,88,0.7197875946307182,0
7,89,0.7101121122422805,0
7,90,0.6905384690952072,0
7,91,0.6811975677977354,0
7,92,0.6762235333641096,0
7,93,0.6974809402341908,0
7,94,0.6871686559113737,0
7,95,0.6889030562244279,0
7,96,0.6956115627203485,0
7,97,0.6799893921765561,0
7,98,0.6756527259403458,0
7,99,0.6561937899449419,0
8,9,0.5902820290681452,1
8,10,0.6380801191271275,0
8,11,0.6927233222451287,0
8,12,0.6731761399335003,0
8,13,0.6369750784708434,0
8,14,0.6143613186304695,0
8,15,0.6197680891671877,0
8,16,0.6385304972275486,0
8,17,0.7077887718102925,0
8,18,0.5840645085503158,0
8,19,0.6617749695131383,0
8,20,0.6473383948567658,0
8,21,0.6214423778019964,0
8,22,0.6174842425366879,0
8,23,0.6795197604423803,0
8,24,0.6228357196691845,0
8,25,0.7198118310802853,0
8,26,0.7011990624078346,0
8,27,0.5978430768246147,0
8,28,0.6021531836929129,0
8,29,0.6054646553803493,0
8,30,0.6361920630145094,0
8,31,0.6719877572860592,0
8,32,0.7147899815752554,0
8,33,0.6033690790285304,0
8,34,0.6333831956646567,0
8,35,0.6317178384018325,0
8,36,0.6284856177257045,0
8,37,0.5890754812087549,0
8,38,0.695238642948439,0
8,39,0.6341919068208846,0
8,40,0.6089983762982693,0
8,41,0.6006246877257908,0
8,42,0.7143617579984824,0
8,43,0.6287617200440394,0
8,44,0.6690856527677027,0
8,45,0.5812017793353049,0
8,46,0.7250792702510926,0
8,47,0.6275984549548694,0
8,48,0.6698755112569987,0
8,49,0.6922322981843088,0
8,50,0.6701366384149076,0
8,51,0.669502145902967,0
8,52,0.6810864027243786,0
8,53,0.5815443274093963,0
8,54,0.6163854922255361,0
8,55,0.6056263955663947,0
8,56,0.6144445723749983,0
8,57,0.6817266213402436,0
8,58,0.6100906427478681,0
8,59,0.633737173599648,0
8,60,0.607109752814647,0
8,61,0.6230913384896295,0
8,62,0.6925245389162317,0
8,63,0.6657845672784788,0
8,64,0.6471017214004804,0
8,65,0.64951156406144,0
8,66,0.7041511867485264,0
8,67,0.6343941976465233,0
8,68,0.6600581839140944,0
8,69,0.605324200663095,0
8,70,0.6293451557938456,0
8,71,0.6741355116423975,0
8,72,0.6086169715903905,0
8,73,0.6807230287535075,0
8,74,0.6521078096137476,0
8,75,0.6953301299631364,0
8,76,0.6230534014885669,0
8,77,0.6668900058258221,0
8,78,0.6316027974608254,0
8,79,0.6223492249997339,0
8,80,0.707339762220863,0
8,81,0.6131931068553047,0
8,82,0.6208019878230894,0
8,83,0.6844575917322047,0
8,84,0.6403971210511936,0
8,85,0.6313845331544743,0
8,86,0.584510657769174,0
8,87,0.7112147011002281,0
8,88,0.648348872987271,0
8,89,0.6245847408439287,0
8,90,0.650797555489999,0
8,91,0.6816037010195346,0
8,92,0.6575653695167633,0
8,93,0.642699955975051,0
8,94,0.6065532512527283,0
8,95,0.6297118151014178,0
8,96,0.7084078176370718,0
8,97,0.6089334603797943,0
8,98,0.6254157137129067,0
8,99,0.6526850630606279,0
9,10,0.6577536729234605,0
9,11,0.65392733953995,0
9,12,0.7181772239069681,0
9,13,0.6869783380237469,0
9,14,0.7828533565316602,0
9,15,0.7011689694479296,0
9,16,0.6287672631210018,0
9,17,0.730267698899829,0
9,18,0.7812116979519068,0
9,19,0.7060033512306003,0
9,20,0.7161129286008734,0
9,21,0.7122251542294746,0
9,22,0.795654977102926,0
9,23,0.6864149469640466,0
9,24,0.6884718975692241,0
9,25,0.7284933725490685,0
9,26,0.7280548377619303,0
9,27,0.7705262116213698,0
9,28,0.697312509003817,0
9,29,0.6081148919859218,0
9,30,0.6425204702318876,0
9,31,0.7235823780634744,0
9,32,0.6776540794259509,0
9,33,0.8330518053473586,0
9,34,0.638201560414627,0
9,35,0.6754320968032149,0
9,36,0.7765711585504447,0
9,37,0.7842031595479104,0
9,38,0.6814055240713845,0
9,39,0.6456373124511046,0
9,40,0.7229487300140609,0
9,41,0.749110402308956,0
9,42,0.7151440200812749,0
9,43,0.6555427926808336,0
9,44,0.6803641995715171,0
9,45,0.7336797673618505,0
9,46,0.7158979490871655,0
9,47,0.7062143077543531,0
9,48,0.7356755485372195,0
9,49,0.6854171577089135,0
9,50,0.6701528987749835,0
9,51,0.6643458317484425,0
