resample	n_good	n_poor	observed_centroid_distance	null_mean	null_sd	z_null	empirical_p	top256_overlap_with_v47_2	top256_jaccard_with_v47_2	pca16_cumulative_variance
120	66	10	9.234423933829424	5.069747793096907	1.5865625078005168	2.624968206582728	0.01996007984031936	241	0.8892988929889298	0.8815765611164464
121	66	10	6.7155971315404805	4.769951207627219	1.3661182104160141	1.4242149098654997	0.08383233532934131	234	0.841726618705036	0.8800664033386675
122	66	10	8.275305361816272	4.88073539530765	1.4637828975785245	2.3190392319271655	0.03592814371257485	232	0.8285714285714286	0.8707879326858468
123	66	10	7.703545482391558	4.871341348250175	1.4741439827124279	1.9212533967883667	0.05389221556886228	240	0.8823529411764706	0.8768289440271402
124	66	10	8.011856643447341	5.0513273513935975	1.5593663839269232	1.8985463086605077	0.05588822355289421	245	0.9176029962546817	0.8891076980779988
125	66	10	7.238447583469262	4.866359639614186	1.402996391750053	1.6907298962445723	0.06387225548902195	243	0.9033457249070632	0.8838250020870464
126	66	10	6.685156901841828	4.905892438286821	1.4942400562321048	1.1907487395577012	0.1217564870259481	236	0.855072463768116	0.8816076310147785
127	66	10	7.1301042699159005	4.9354192025989	1.6319290277902267	1.3448410010138703	0.0998003992015968	234	0.841726618705036	0.884818057893427
128	66	10	8.167513994703622	4.813731009156832	1.4578365456175373	2.3005205869126657	0.033932135728542916	230	0.8156028368794326	0.8787695856368369
129	66	10	7.933889108394359	4.824529716214486	1.588743158370736	1.9571189816285575	0.059880239520958084	237	0.8618181818181818	0.8842677487071554
130	66	10	9.473687337984671	4.891150062959281	1.5296214792928011	2.995863576094696	0.00998003992015968	240	0.8823529411764706	0.885190347935683
131	66	10	7.619059568636837	5.0550468863899365	1.44704569105594	1.771894763306255	0.06387225548902195	216	0.7297297297297297	0.856103661937153
132	66	10	8.318366928983773	4.839215849496146	1.3704360753559617	2.5387182533004617	0.01996007984031936	231	0.8220640569395018	0.873958502258694
133	66	10	7.898434950972834	4.922467655706863	1.556945989114234	1.911413315601934	0.04590818363273453	240	0.8823529411764706	0.8806921953846986
134	66	10	9.17883936104993	4.9597954367057415	1.609580350641246	2.621207398974117	0.017964071856287425	239	0.8754578754578755	0.8885562233297636
135	66	10	8.379177047266776	4.942104081939711	1.4970058021685015	2.2959650258858457	0.029940119760479042	233	0.8351254480286738	0.8838297443426062
136	66	10	9.464871278165896	4.827136108242876	1.5330447445434465	3.025179262660188	0.017964071856287425	237	0.8618181818181818	0.8733185551999109
137	66	10	7.527706723176977	4.959597353227202	1.5148853402375182	1.6952499979616429	0.0658682634730539	244	0.9104477611940298	0.8800355448898601
138	66	10	7.3633100630207515	4.858778339344652	1.397178830443904	1.7925634636765673	0.059880239520958084	232	0.8285714285714286	0.8684545423386831
139	66	10	7.763241363305505	4.840897475316523	1.4239772081242597	2.052240633709617	0.03792415169660679	238	0.8686131386861314	0.8770219647713962
140	66	10	8.097599275131532	4.897093739946657	1.3961554169469774	2.29237053148677	0.031936127744510975	237	0.8618181818181818	0.8819847459675252
141	66	10	7.81847000116699	4.936591089980616	1.672139849455136	1.7234676346750717	0.05389221556886228	239	0.8754578754578755	0.8925191011654555
