gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
SERPINB10	0.08814428209216559	0.012816442692073425	0.006537879526404684	-0.04069650286674111	0.07082573008124118	-0.010444798090619946	0.005677703037883589	-0.002534371778809071	0.04000605869471221	-0.02501762391952293	-0.03638963989002589	-0.02031040607099365	0.013525039989933344	-0.035092575616732784	0.037528916298522695	0.024050677562639636
OLFM4	0.0634312887589218	0.048293020580610274	-0.01649778361694844	-0.03410169468514333	0.11349491576863782	-0.05993345835230633	-0.030648182095356396	-0.07094915431279142	-0.004622164106647292	0.04559746084302807	-0.06410534870168022	-0.06452797218437677	0.02690205270474864	0.05768668755132097	0.015553249007278475	0.028216287252057385
OLR1	0.08415746886815716	0.02113097121110849	0.00803448854095419	-0.03624819975982609	0.10674785034267609	-0.06667856401547004	-0.0052926115190383835	0.005265337777971111	0.030362586445631345	0.009888473214377932	-0.03757294862751182	-0.024689394080928753	0.0063416885821435155	0.028356380113196647	0.034483169232358765	-0.03901000704062055
CRISP3	0.082011764456333	0.02347465498551194	0.005437123218034612	-0.024132477506509882	0.11141747792448532	-0.07385298748675445	-0.0032763400175186423	-0.02788445960867586	0.05681666412972497	0.029510746382658458	-0.021365731331257878	-0.04167473585570394	0.014207729792847507	0.022302476178953742	0.04725208001450839	-0.04491644131558195
EPX	0.0642846816608096	-0.035069993416306545	0.023992469064797173	0.08752431670389815	-0.11056040594843217	-0.01696042256476573	-0.009610675675270847	-0.08473062072442894	0.01117818929383286	-0.045994155470994454	-0.024538396180195047	0.05247832886061877	-0.005113623433324778	-0.012078521467265964	0.09096307140529665	-0.02760658334491799
IFI44L	-0.011187199046868835	0.12378170695265947	0.12490949573741779	0.05799523801266309	0.01944666748749843	-0.029383949771558483	-0.005001439326439285	0.01829867533997295	-0.00613724035235506	-0.015110572529807532	-0.03373231543014779	0.005994656564251955	0.008880610211369303	0.03447205613703724	-0.04323961227448024	-0.007197670205578383
RSAD2	-0.01879243149531384	0.10295117575786182	0.14590140568249374	0.07491864467723611	0.00514479695037712	-0.030295805353968145	-0.009705151533054209	0.03275620402683194	0.005120183975503824	0.03174119079655755	-0.024260078185105415	0.014095990330888904	0.009440562773379253	-0.01879720659465647	-0.015296561829853055	0.05551990036134236
AZU1	0.0835461752129314	-0.010724664515806928	-0.001073134005629902	0.008527415087533808	0.0897678569616603	0.03459359533072367	0.08153372367551635	-0.006348764270016795	0.09947288477333587	-0.065693020757641	-0.025279843432790137	-0.02999414224387388	-0.03345307543123693	-0.06996123686702398	-0.06658294462364922	-0.029060738420277923
ELANE	0.08281630400693718	-0.004917153438457535	-0.0002255089348522741	0.011756945504600934	0.09646492042886895	0.019189170878755157	0.07799296288794362	-0.007772063379421171	0.09648715241155141	-0.06005153722382237	-0.01663155559430205	-0.030451925178330678	-0.03619126588282962	-0.0690064148204012	-0.07454888465000586	-0.03089459546741656
RNASE3	0.08321188166999595	-0.00502472601766848	0.00828751379957052	-0.003855382412387229	0.0949057786051371	-0.007458054765626187	0.05070988675630658	0.009546193768491086	0.10723722153915671	-0.03987298443854806	-0.009299665078836674	-0.04074489914540616	-0.020242310154466394	-0.040368817539163576	-0.07484256429771184	-0.022007435891136077
