gene	subspace_leverage	projector_mass_fraction	effective_gene_beta	abs_effective_gene_beta	classifier_weight_share	leverage_rank_desc	abs_beta_rank_desc	weight_share_rank_desc
ORM2	0.06511968389010908	0.004069980243131818	0.23295224485351712	0.23295224485351712	0.011930052026026284	102	21	21
GNG11	0.06505407726545817	0.004065879829091136	-0.23775141605997535	0.23775141605997535	0.01242666991234439	103	19	19
IFNG	0.06488354080573017	0.004055221300358135	-0.20510813736311234	0.20510813736311234	0.009248564276511445	104	29	29
HBM	0.06448920472585266	0.0040305752953657915	-0.08563005857256123	0.08563005857256123	0.001611985088058918	105	126	126
HIST1H4B	0.06448209024148349	0.004030130640092718	0.017754540392363488	0.017754540392363488	6.929907000424834e-05	106	226	226
FCRLA	0.06447354192617817	0.004029596370386136	0.14393552859653422	0.14393552859653422	0.004554540328556644	107	67	67
GYPB	0.06443096851631197	0.004026935532269498	0.008815661649141701	0.008815661649141701	1.7085133019972902e-05	108	238	238
IFIT2	0.06341308570931752	0.003963317856832345	-0.06160915935555358	0.06160915935555358	0.0008344476650306762	109	159	159
AHSP	0.06320591158803776	0.00395036947425236	-0.005892806548540229	0.005892806548540229	7.634013191375562e-06	110	245	245
TSPAN33	0.06311138755645121	0.003944461722278201	0.10429077779904578	0.10429077779904578	0.0023911143766013744	111	110	110
EMP1	0.06297402135730779	0.003935876334831737	0.005111940863792547	0.005111940863792547	5.744869663574527e-06	112	247	247
RHAG	0.06292602800672288	0.00393287675042018	-0.1562243860879365	0.1562243860879365	0.005365450483325739	113	59	59
PPBP	0.06282942904617846	0.0039268393153861535	-0.2397496417750699	0.2397496417750699	0.012636432204184955	114	16	16
