fold,model,rank,gene,coupling_score,global_gene_column
4,NULL,36,LOC283887,0.07686396259196153,11447
4,NULL,37,DISC1FP1,0.07669264723618953,4463
4,NULL,38,BTN3A1,0.07545477787734473,1748
4,NULL,39,C10orf107,0.07535061869111032,1768
4,NULL,40,CPLX3,0.07525053204221345,3680
4,NULL,41,CD79B,0.07517771350366415,2788
4,NULL,42,RAD17,0.07497124685842979,16236
4,NULL,43,ZNF391,0.07462043407326585,21743
4,NULL,44,NAV2-AS2,0.07431147628873641,13440
4,NULL,45,BBS1,0.07383377958045823,1470
4,NULL,46,WFDC10B,0.07372969204952137,21170
4,NULL,47,LOC105377276,0.07372691382870306,11298
4,NULL,48,ASB15,0.07295240199479676,1133
4,NULL,49,AFDN-AS1,0.0727866047353887,414
4,NULL,50,NDUFC2-KCTD14///NDUFC2,0.07269750479664872,13569
4,NULL,51,EGFLAM,0.07145806865194329,4968
4,NULL,52,PKP4,0.07132068756514044,15135
4,NULL,53,CCT6P1///CCT6P3,0.071052415924319,2711
4,NULL,54,KMT2A,0.07087915199619153,8786
4,NULL,55,LOC414300,0.07043545367130152,11617
4,NULL,56,NANS,0.07038287501737343,13407
4,NULL,57,MPL,0.07035931404832627,12933
4,NULL,58,LOC102723701,0.06998897100755644,11063
4,NULL,59,ARHGEF40,0.06969844065702312,1010
4,NULL,60,THBS1,0.06969051419692812,19488
4,NULL,61,RNF212,0.06962826538061974,16766
4,NULL,62,RGS12,0.06949774525161811,16573
4,NULL,63,ELK4,0.0693703575922126,5067
4,NULL,64,DEGS2,0.06928929717274786,4334
5,REAL,1,CD44,0.14134576497487897,2769
5,REAL,2,KMO,0.12219266130615489,8785
5,REAL,3,SYT17,0.11372146400110836,19069
5,REAL,4,ACP5,0.11187311786817118,174
5,REAL,5,ECT2,0.10692627881686743,4899
5,REAL,6,SOGA1,0.10578101407741622,18419
5,REAL,7,PTPN22,0.10160302429641917,16031
5,REAL,8,NLK,0.10088016541426312,13762
5,REAL,9,CASP7,0.09907296234339898,2427
5,REAL,10,LOC100294362,0.09864218903513927,9987
5,REAL,11,FLVCR1,0.097781588265207,6074
