gsm	parsed_label	matched_line	all_coo_lines
GSM2329124	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329125	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329126	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329127	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329128	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329129	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329130	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329131	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329132	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329133	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329134	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329135	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329136	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329137	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329138	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329139	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329140	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
