null_rep	roc_auc
365	0.8844463667820068
366	0.8628611591695503
367	0.9322296712802767
368	0.7536115916955015
369	0.9147015570934256
370	0.8721280276816608
371	0.7216284602076124
372	0.9457980103806227
373	0.9036267301038062
374	0.960707179930796
375	0.847580017301038
376	0.8788689446366783
377	0.8806314878892734
378	0.8692582179930796
379	0.8847815743944635
380	0.9449826989619377
381	0.8238062283737025
382	0.9481531141868511
383	0.9193923010380622
384	0.8346258650519031
385	0.9017452422145328
386	0.8783542387543253
387	0.9058693771626298
388	0.857640570934256
389	0.9554065743944636
390	0.7612197231833909
391	0.885300605536332
392	0.9577270761245674
393	0.8922729238754328
394	0.9038862456747404
395	0.8837435121107267
396	0.8836807958477508
397	0.9242495674740482
398	0.8826340830449828
399	0.8601232698961937
400	0.848940311418685
401	0.9155471453287197
402	0.940655276816609
403	0.784303633217993
404	0.8626102941176471
405	0.9416262975778548
406	0.839121972318339
407	0.8617192906574394
408	0.7195198961937715
409	0.6349459342560554
410	0.8048140138408304
411	0.7662521626297579
412	0.930209775086505
413	0.8681596020761246
414	0.969537197231834
415	0.7906379757785469
416	0.8434039792387543
417	0.9154238754325259
418	0.8827962802768167
419	0.9379152249134947
420	0.8633780276816609
421	0.8085532006920417
422	0.8843209342560553
423	0.8727703287197233
424	0.869997837370242
425	0.8306379757785468
426	0.9620025951557093
427	0.8136375432525952
428	0.8414792387543253
429	0.8472577854671279
430	0.8519961072664359
431	0.7573313148788928
432	0.9049999999999998
433	0.8301643598615916
434	0.8600648788927336
435	0.8170523356401383
436	0.9203784602076124
437	0.8438927335640137
438	0.882753027681661
439	0.8760402249134949
440	0.8298161764705881
441	0.8816500865051903
442	0.9595307093425606
443	0.8839943771626299
444	0.7656012110726642
445	0.7087435121107268
446	0.9141998269896194
447	0.8712608131487889
448	0.7242690311418685
449	0.7748529411764704
450	0.8112153979238755
451	0.7829822664359861
452	0.8022534602076125
453	0.8159104671280275
454	0.9037305363321799
455	0.8058088235294117
456	0.8859904844290657
457	0.901360294117647
458	0.9091803633217992
459	0.7843620242214533
460	0.7291068339100348
461	0.8479887543252594
462	0.8391846885813149
463	0.6503006055363322
464	0.9587737889273356
465	0.8565938581314879
466	0.8854346885813149
467	0.9506898788927336
468	0.8463343425605536
469	0.9406336505190309
470	0.7779541522491351
471	0.8690981833910034
472	0.7040203287197232
473	0.8335618512110726
474	0.7482331314878893
475	0.888628892733564
476	0.9488581314878892
477	0.8708888408304499
478	0.9654519896193773
479	0.9396907439446367
480	0.8949329584775088
481	0.9670977508650519
482	0.9502833044982701
483	0.9422988754325259
484	0.8025086505190312
485	0.8081855536332179
486	0.8885510380622837
487	0.9692365916955016
488	0.9247491349480969
489	0.833538062283737
490	0.7486051038062285
491	0.8156596020761246
492	0.8857266435986157
493	0.8614814013840831
494	0.8547621107266434
495	0.9107417820069205
496	0.866613321799308
497	0.8424632352941177
498	0.8902054498269897
499	0.882874134948097
500	0.8833607266435983
