null_rep,panel,GSE10846_to_GSE87371__corr_structure_similarity,GSE10846_to_GSE87371__top4_eigensubspace_overlap,GSE10846_to_GSE87371__top8_eigensubspace_overlap,GSE10846_to_GSE87371__eigenvalue_profile_cosine,GSE10846_to_GSE31312__corr_structure_similarity,GSE10846_to_GSE31312__top4_eigensubspace_overlap,GSE10846_to_GSE31312__top8_eigensubspace_overlap,GSE10846_to_GSE31312__eigenvalue_profile_cosine,GSE87371_to_GSE31312__corr_structure_similarity,GSE87371_to_GSE31312__top4_eigensubspace_overlap,GSE87371_to_GSE31312__top8_eigensubspace_overlap,GSE87371_to_GSE31312__eigenvalue_profile_cosine
12,LOC100134317///LOC284412|TCL1B|LTF|RASSF6|LEP|S100A8|FAR2P3///FAR2P2|CCL17|LINC00487|SAXO2|MAGEA6|UGT2B17|LHX8|EPYC|SOX8|USP9Y,0.6080022724236942,0.5890597846191398,0.6872305485754101,0.996916724352809,0.3254798370244362,0.3443716361875442,0.5726189486322006,0.9982021963542957,0.3856495039730094,0.4761046135559374,0.6258308282199614,0.9935885923126594
13,ZIC2|GJB2|KRT13|CENPV|PABPC5|AP3D1|IL13RA2|ORM2///ORM1|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|PRAME|HAGLROS|CHIT1|EIF1AY|LOC105372840|PPBP|MGST1,0.46525769506367587,0.5609312619965291,0.6085498809000807,0.9967791618460335,0.3596104756569025,0.5330011410717124,0.6038736770207913,0.9858727017513819,0.328484127270704,0.5063627184993061,0.591447483934576,0.9891974249195374
14,ZNF385B|HSF5|CENPV|UBASH3A|LILRA3|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|CILP|CLIP2|MAGEB2|PRAME|PNMAL1|NME8|ZYG11A|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|HLF|CD1C,0.5567647159961653,0.671509135773383,0.7394187993425076,0.9890623096144331,0.459489973086602,0.6054646029985398,0.6362553424544729,0.9870915966293747,0.5362932581249481,0.6281147909897841,0.6625018485237245,0.9595967736515154
15,STXBP6|HEPACAM2|LOC105372840|CLIP2|LOC101930067|MME|VSIG4|KRT13|TPSB2|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|HIST1H3B|KDM5D|FCER2|SFRP2|MAL2|TCL1B,0.6402758136325503,0.6807731335499083,0.7652881713493114,0.9932021151616411,0.4214557218085177,0.5853889606460112,0.623173061436163,0.9945058390735216,0.6176232136144973,0.7126097104216134,0.733592522409784,0.993378680312127
16,CD163|MAL2|MAGEB1|SYT17|S100Z|FCAMR|FABP4|KLRC2///KLRC1|KRT14|SERPINA9|H2AFB1///H2AFB2///H2AFB3|KRT13|ZPBP2|GJB2|MIS18BP1|CTAG2,0.7407632124222595,0.7017211970771972,0.7836220170831635,0.9935482184624036,0.6858979199601627,0.8202343297128731,0.8053830165270995,0.9967097895385028,0.7205959984780349,0.7683464928388368,0.7394248189695627,0.9887240383437118
17,PNMAL1|PLA2G2A|ZYG11A|LOC105372840|GTSF1|MGST1|AQP9|RSPH1|NMU|SOX2-OT|TNFRSF17|UMODL1|CCR10|JCHAIN|ZBTB32|PTPN20,0.6564357407162369,0.8023258299073585,0.7006164907199005,0.9968973771650305,0.4624463819836701,0.5358363563674673,0.6295715177542659,0.992918992961731,0.5489582864164253,0.5782615053607452,0.684488768637435,0.9918388709157469
18,LOC105372840|IGHD|CD163|ZBTB32|FAM30A|C12orf77|MMP7|CPXM1|S100Z|SPRR1B|EML6|SFRP4|ASMT|LOC440864///MSH6|MUC16|HIST1H3B,0.7460351257851447,0.5925863166625494,0.6736089592540134,0.9991015230412286,0.6834849196833391,0.6545892892906884,0.6988744141461005,0.9740232149107422,0.7150400260121033,0.4954563137161062,0.7539244980201804,0.9710199144308155
19,FAM111B|UMODL1|CD74|EPHA4|PDGFRL|KCNK12|RSPH1|DAPL1|FAR2P3///FAR2P2|KLHL13|LILRA3|LOC101927811|LOC105372840|PRAME|NPY1R|TXLNGY,0.5350953834006249,0.5999503890803556,0.6939893602276335,0.9777596763357194,0.2623066981033336,0.4614198111704715,0.6191332209344249,0.9550871501310658,0.4136130833531441,0.42736480993655085,0.7263505909077586,0.9913510458221875
20,SMC3|SFRP4|TNFRSF17|LEP|SCARA5|SOX2-OT|FAM30A|FAM111B|ABCG5|LOC101930415|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|KCCAT333|DNAH8|KRT13|UBASH3A|CD163,0.5203658388276475,0.4651145977686267,0.7075239779657893,0.985477970280581,0.5587636616411267,0.5598371881733024,0.6660477494922854,0.9592222461332945,0.5142334400504063,0.5826816281523752,0.7094477611805481,0.9901582247903437
21,ICOS|CD163|ZYG11A|KRT6A|CD74|LILRA3|RAB25|LIN28B|XIST|CILP|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|STEAP2|SCARA5|SOX2-OT|SNX29P1///SNX29P2|XK,0.7886319434791433,0.7221376388299041,0.7025380172795656,0.9952821455410762,0.6777164564038142,0.6579037230912238,0.6635930210590434,0.9877547064960865,0.7331681858095179,0.6664871709126514,0.7580993637286237,0.9865682949471513
