resample,real_subspace_capture,null_subspace_capture,delta_subspace_capture,real_corr_neighborhood,null_corr_neighborhood,delta_corr_neighborhood,real_exact_overlap,null_exact_overlap,delta_exact_overlap
126,0.30123090860421176,0.19233757360459666,0.1088933349996151,0.44812512111318287,0.3205853726558426,0.12753974845734029,0.1875,0.0625,0.125
127,0.21652166261642858,0.30258086374790905,-0.08605920113148047,0.33163414630680516,0.41916254002530084,-0.08752839371849569,0.125,0.1875,-0.0625
128,0.25519317799008323,0.14152957763222573,0.1136636003578575,0.3819976065208742,0.2643981473952175,0.11759945912565672,0.1875,0.0,0.1875
129,0.33068605685801294,0.20871946611595935,0.1219665907420536,0.4776701372920971,0.3357338079128068,0.1419363293792903,0.1875,0.125,0.0625
130,0.2166088009624537,0.26943166395004314,-0.05282286298758945,0.341984045617122,0.4396616746660311,-0.09767762904890914,0.125,0.125,0.0
131,0.39485702060099204,0.3137590110042359,0.08109800959675612,0.5308224436722448,0.46352026641624067,0.06730217725600418,0.3125,0.1875,0.125
132,0.3151581868389143,0.25375013100525323,0.061408055833661046,0.42793868023028814,0.3813873258029017,0.04655135442738645,0.1875,0.125,0.0625
133,0.3212592995448611,0.16119487260397847,0.16006442694088263,0.4209313916484772,0.2776725865455172,0.14325880510296002,0.25,0.0625,0.1875
134,0.38297584546201247,0.17044065960552732,0.21253518585648515,0.5158639938040069,0.3268257646672724,0.18903822913673451,0.3125,0.0,0.3125
135,0.21227799044434956,0.117704726613267,0.09457326383108255,0.3256893619487986,0.24331566121121517,0.08237370073758343,0.125,0.0,0.125
136,0.4406585577366009,0.15701083707031058,0.2836477206662903,0.5586235284519379,0.30611694860341965,0.2525065798485182,0.375,0.0,0.375
137,0.1945712705762294,0.20768621208080112,-0.013114941504571737,0.31183383701657835,0.3703757235814522,-0.05854188656487386,0.125,0.0625,0.0625
138,0.47863890684259347,0.14652400203555507,0.3321149048070384,0.5784813726732406,0.27027860040408724,0.3082027722691534,0.4375,0.0,0.4375
139,0.18052870433756535,0.18490255671797778,-0.004373852380412435,0.31156476972059655,0.3743149143518753,-0.06275014463127876,0.0625,0.0,0.0625
140,0.32645695585745316,0.16080898470341645,0.1656479711540367,0.4231660439807836,0.29801016208984843,0.12515588189093518,0.25,0.0,0.25
141,0.3334321136037224,0.2225129395761913,0.11091917402753107,0.48640183592757047,0.3598357950909301,0.12656604083664036,0.25,0.125,0.125
142,0.3854006106426023,0.16178448170895596,0.22361612893364632,0.5244032400842609,0.29714292760688577,0.2272603124773751,0.3125,0.0,0.3125
143,0.3828083587709323,0.272954562531171,0.10985379623976127,0.5007736269926961,0.41767255120773716,0.08310107578495896,0.3125,0.1875,0.125
144,0.36975547508319484,0.24470430239274293,0.1250511726904519,0.45944551131953393,0.37119439058536385,0.08825112073417007,0.3125,0.125,0.1875
145,0.28642375597159453,0.23495447683675127,0.051469279134843254,0.3974707789654074,0.3478676688485727,0.049603110116834714,0.1875,0.125,0.0625
146,0.26170453992789006,0.19957904158250128,0.062125498345388774,0.36605359484668265,0.34098568342201696,0.02506791142466569,0.1875,0.0,0.1875
147,0.27570752873671756,0.17666921649749628,0.09903831223922127,0.3868579491488431,0.31386234949886077,0.07299559964998231,0.1875,0.0625,0.125
148,0.3237529381362662,0.1542041199660448,0.1695488181702214,0.43897788113963443,0.2726426682681863,0.16633521287144815,0.25,0.0,0.25
149,0.3442379851150199,0.19341643729129898,0.15082154782372093,0.4910850588594384,0.32662362719276117,0.1644614316666772,0.1875,0.0625,0.125
150,0.27945672850589715,0.13282039928888928,0.14663632921700787,0.40050544875332816,0.27864420370790854,0.12186124504541962,0.1875,0.0,0.1875
151,0.41982405233466114,0.24460592495222666,0.17521812738243447,0.5370579752749346,0.38091789436772505,0.15614008090720954,0.375,0.125,0.25
152,0.22132748036747496,0.23140706115632773,-0.010079580788852766,0.34671246578623655,0.3888922391049076,-0.042179773318671065,0.125,0.125,0.0
153,0.25768441690533567,0.18951185105479335,0.06817256585054232,0.41498165970558165,0.30866804774625717,0.10631361195932448,0.125,0.0625,0.0625
154,0.3180693297567733,0.15003964108636555,0.16802968867040777,0.4233556915216681,0.307346627336202,0.11600906418546608,0.25,0.0,0.25
155,0.2477775317132041,0.17293024897347403,0.07484728273973007,0.3649110154489812,0.32293738471595645,0.041973630733024736,0.125,0.0,0.125
156,0.32387978161200315,0.1646996078269458,0.15918017378505736,0.47944781097662004,0.29311252807289906,0.18633528290372098,0.25,0.0625,0.1875
157,0.18119226061910354,0.2195627215812988,-0.03837046096219526,0.32074316995948876,0.3785116275710616,-0.05776845761157284,0.0625,0.0625,0.0
158,0.42592443213160724,0.10635585172451423,0.319568580407093,0.5530433227299236,0.21790109384689543,0.3351422288830282,0.375,0.0,0.375
159,0.4277958488972009,0.13980195071996446,0.2879938981772364,0.5240529739597086,0.2706525314619397,0.25340044249776894,0.375,0.0,0.375
160,0.22950412289950303,0.1658194957441182,0.06368462715538484,0.3714777471070079,0.3283481550874422,0.04312959201956573,0.125,0.0,0.125
161,0.3232982522136263,0.19406354968228817,0.12923470253133812,0.4396060759886332,0.34737759487238257,0.09222848111625065,0.25,0.0625,0.1875
162,0.4745278771851473,0.19247032587746365,0.2820575513076836,0.5854165675096439,0.3419834546947665,0.2434331128148774,0.4375,0.0625,0.375
163,0.26961921282558343,0.17532973498439203,0.0942894778411914,0.3905523158681926,0.31562636929012944,0.07492594657806317,0.1875,0.0625,0.125
164,0.42324527452345106,0.18872922107238677,0.2345160534510643,0.5671956894710088,0.3236377304453901,0.24355795902561872,0.375,0.0625,0.3125
165,0.2962940497633001,0.11886595018205265,0.17742809958124744,0.4241730391029823,0.24542198985442487,0.17875104924855745,0.1875,0.0,0.1875
166,0.4319523352077057,0.1593924674568441,0.2725598677508616,0.5689927857762391,0.30312046054245484,0.2658723252337843,0.375,0.0,0.375
