resample,n_samples,n_gcb,n_abc,overlap_fraction_with_frozen16,panel,null_panel,coupling_mean,coupling_median,coupling_max,topP_abs_fraction
30,280,146,134,0.25,BTBD16|KCCAT333|KRT6A|LOC105375172|KRT14|UMODL1|RASSF6|ZNF257|EML6|TCL1A|BIK|LHX8|CCL17|IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1|FAR2P3///FAR2P2|MAGEA12,RGS13|SNX29P1///SNX29P2|JCHAIN|LOC100134317///LOC284412|DNAH8|MAGEB2|MMP20|LOC102723648|KCNK12|CTCFL|ADIRF|FAM111B|ZNF385B|ASMT|IGLJ3///IGLV@///IGLC1|HK3,0.05819470332328092,0.056912985374452725,0.13594926229737997,0.3874489519249203
31,280,146,134,0.25,LECT2|HBB|RGS13|SYBU|KCCAT333|FDCSP|UMODL1|IL13RA2|LOC613266|PROK2|EML6|RASSF6|LINC01405|OLFM4|CLU|FCER2,EPHA4|IL13RA2|FDCSP|LHX8|MAGEA1|SUSD5|EIF1AY|SYBU|LOC101930067|ADIRF|LOC613266|FCRL4|LOC101928605///OR2A1-AS1///OR2A9P///OR2A20P|XK|GJB2|GPM6A,0.05829635547653717,0.05845193724524132,0.12381116547056122,0.4131633529975153
32,280,146,134,0.3125,KCCAT333|BTBD16|TCL1A|OLFM4|RGS13|PPBP|LOC105375172|NMU|P2RY12|UMODL1|RSPH1|RASSF6|CETP|MMP20|FSTL5|JCHAIN,GPAT2|PROK2|C4orf22|ZBTB32|IGLJ3///CKAP2|FAM111B|STAG3|TXLNGY|FOSB|ORM1|SMC3|LGALS2|ORM2///ORM1|KCCAT333|LOC105372840|MT1M,0.05829288400767306,0.05707439121030726,0.11279878702920759,0.38972680048404934
33,280,146,134,0.3125,TCL1B|KRT5|MYOCD|IL12B|LINC01619|BEX2|C17orf99|UMODL1|MMP20|CTCFL|TSIX|EYA2|TCL1A|HK3|KRT14|CHIT1,RPS4Y1|MARCO|LOC101927811|MT1M|MAGEB2|LRRN1|HLA-DQB1|CLGN|LOC100509457///HLA-DQA1|ZYG11A|SAXO2|MMP12|FAR2P3///FAR2P2|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|CTAG2|KLHL13,0.058283561230871604,0.057013134879039175,0.1257477836385495,0.412414247496912
34,280,146,134,0.25,LGSN|RASSF6|OGDHL|UMODL1|CPXM1|KRT13|EPHB1|DNER|JCHAIN|ZNF711|ARL14|RNF183|BIK|RGS13|NME8|ASZ1,HIST1H1B|ADIRF|SFRP2|CYS1|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|LOC101927811|NLRP7|LOC101930067|PITX1|MMP13|UBASH3A|LOC613266|HPDL|VPREB3|LMO2|SEC31B,0.05833488068888737,0.05778721403511827,0.10338232418157076,0.40879843485874057
35,280,146,134,0.125,IL17RB|TUBB2B|H2AFB1///H2AFB2///H2AFB3|HLF|HTR3A|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|NPIPA5///NPIPB6///NPIPB8///NPIPB3|BEX2|NMU|IGHV1-69|KLHL13|CCL21|RNF183|PNMAL1|SUGCT|FDCSP,LRRN1|OVAAL|BIK|NOL4|XIST|TFPI2|UGT2B17|UBASH3A|SACS-AS1|ORM2///ORM1|LOC101929272|ZNF883|PITX1|LHX8|KCNH8|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1,0.058363248064444914,0.05823915815849026,0.0889591339538018,0.395048048570885
36,280,146,134,0.0625,PDZRN4|ZNF883|ZNF385B|FCRL4|ZNF711|DNER|TUBB2B|SACS-AS1|CCDC110|CSRP3|MAGEA4|MYL1|DNAJC12|KCNN3|FSTL5|RASSF6,HMCN1|ABCG5|TFPI2|HEPACAM2|UMODL1|SNX29P1///SNX29P2|NLRP4|KRT6A|LILRA4|DNAJC12|CHRM3-AS2|LRRN1|SOX2-OT|KCNK12|ZPBP2|KCCAT333,0.0582954056753949,0.05727656676357634,0.10767995636615611,0.4150912586970711
37,280,146,134,0.25,BIK|LGSN|DNER|IGK///IGKC|MAGEA4|DNAH8|LIN28B|LINC01095|LOC101930114|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|C3orf67|KRT14|TCL1A|HTR3A|NLRP7|ORM2///ORM1,ORM1|RGS13|NPY1R|EPYC|CTCFL|JCHAIN|MT1M|P2RY12|EIF1AY|ORM2///ORM1|LYPD6B|VSIG4|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|CLGN|RAB25|DAPL1,0.05828739054156822,0.05729197882657994,0.1061333230327734,0.3948467780118647
38,280,146,134,0.1875,EPCAM|DNER|LILRA3|NOL4|TCL1A|SPIC|NMU|MLC1|HTN3|CAMP|RAB25|ASMT|HLF|HEPACAM2|ADIRF|EPHB1,HIST1H3B|LYPD6B|MYOT|NLRP7|EPCAM|GJB2|OVAAL|ZPBP2|LOC101930415|GTSF1|IL13RA2|SPINK2|TNFRSF17|SUGCT|SULF1|LIN28B,0.05831116070262546,0.05802957897863339,0.11085802751908924,0.40065487222192325
39,280,146,134,0.1875,BTBD16|OVAAL|LIPI|LINC00525|KCCAT333|IL17RB|GPAT3|FAR2P3///FAR2P2|RASSF6|GTSF1|MAGEA6///MAGEA3|XK|ASB5|SPIC|TCL1B|SFTA3,GTF2IP20|CENPV|CCL17|ORM1|NMU|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|HEPACAM2|LOC440346|AQP9|CXCL14|MARCO|CILP|EIF1AY|ASB5|SUGCT|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3,0.058313133626054434,0.05773634758751406,0.11214869231657024,0.40446958707813385
