null_rep,panel,corr_structure_similarity,eigenvalue_profile_cosine,top4_eigensubspace_overlap,top8_eigensubspace_overlap
48,C2CD4A|MAGEB2|STXBP6|GPR158|SEC31B|HLA-DQA1|GGT5|ZBTB32|HSF5|ZYG11A|ZNF257|SFTA2,0.6245392066835299,0.9921162108142506,0.6294377140170889,0.7436768451201835
49,CNTN3|CETP|GPM6A|RPS4Y1|CCL17|EYA2|MSTN|CRYBA4|RGS13|VPREB3|LILRA4|KCNN3,0.6710360715616407,0.9960209587764473,0.7564353376599622,0.8035706190423859
50,PLA2G2D|SFRP2|C4orf22|SOST|PITX1|SFTA2|KCNK12|NTS|LMO2|MAGEB2|CTGF|KRT13,0.6555736636609711,0.9957099804328458,0.6839310735365127,0.8083185384641753
51,SPINK2|CLIP2|EPHA4|FOSB|IL12B|TAC1|FCER2|C1QB|FHOD3|S100Z|FABP4|FCAMR,0.7322193172525228,0.9977099620664782,0.7430670339199843,0.8287666729814138
52,PABPC5|TPSB2|TCL1A|PLA2G2D|MMP1|XK|RAB25|DNAH8|NCKAP5|WISP2|LRP1B|CXCL6,0.5075092418527367,0.9979618823212525,0.6327582635855008,0.8294021054208787
53,NLRP7|MAL2|STEAP2|SEC31B|DPEP2|EEF1A2|SDR16C5|ZNF711|IGSF11|FHOD3|TRPM4|CXCL14,0.5608543536073715,0.9986289830633418,0.6278037115304418,0.7991302131356252
54,NMU|GPR158|TFPI2|RASSF6|EEF1A2|RGS13|TAGLN3|ITIH3|UGT2B4|IL17RB|MAGEA6|KRT5,0.22301348812521885,0.969187628246254,0.5228174129405059,0.6755468286090862
55,TSIX|LHX8|C1QB|PLAC8|LIN28B|HBB|GPR158|IL17RB|HLF|TCL1B|CTGF|LRRN1,0.5764786233727298,0.9984311823048886,0.6276662652714822,0.8449427365912736
56,ORM1|MMP20|IYD|HPDL|MMP1|AICDA|MME|IL13RA2|HLF|LEP|CA3|CD74,0.630194520081344,0.9964297861541096,0.684881320461376,0.7861836595348985
57,DAPL1|S100Z|TCL1B|FOXG1|MUC16|TAC1|ICOS|HBB|S100A9|FOSB|MLC1|C15orf48,0.5876126971894907,0.9977062936847509,0.6953432978190781,0.7718902567403046
58,UBASH3A|FHOD3|ZBTB32|CLGN|MMP1|KCNK12|STXBP6|NLRP11|SYT14|CD1C|ASMT|PDGFRL,0.8199907295967339,0.9988515654379362,0.6956122523369048,0.8853936600933612
59,LTF|CYS1|RAB25|CRYBA4|UGT2B4|AQP9|HLA-DQA1|ITIH3|MGST1|FAM129C|TSIX|CD163,0.48699323293028113,0.9966001430388503,0.4655015238725938,0.8040068161623745
60,RPS4Y1|CTCFL|FCER2|CTAG2|EEF1A2|KLHL32|PROK2|EPCAM|SFTA2|VSIG4|XIRP2|CILP,0.5453040124493749,0.9948418880328093,0.5546069392398751,0.7621023596943846
61,TMEM17|EEF1A2|IL13RA2|CCL20|CD163|PXDNL|TUBB2B|MYH1|USP9Y|RNF128|EPCAM|C12orf77,0.5537196128978458,0.9945771898886556,0.7058974768625661,0.8209770233616746
62,PLA2G2D|HBB|C3orf67|NCKAP5|CA3|ABCG5|ASB5|FCRL4|CLIP2|NTS|LIN28B|LYPD6B,0.5519230141751724,0.9954481683643853,0.6308656977372241,0.8401916913897253
63,MYOCD|DNER|AP3D1|NCKAP5|TFPI2|SFRP2|C12orf77|LILRA4|LIPI|GPM6A|EPCAM|SFTA3,0.30019928121887496,0.9806657341139361,0.5274581341637017,0.7577201265079139
64,FSTL5|CCL22|TSIX|MME|KCNN3|FAM129C|DNAH8|CD74|ASB5|XK|HOTAIR|ZBTB32,0.8084558589147933,0.9934440484232125,0.6328456636686535,0.8469464861258026
65,CTAG2|RSPH1|LEP|PPP1R14A|EPYC|ZNF750|MAGEB2|ZYG11A|MYH1|MAGEB1|LTF|DNAH8,0.48149718464479413,0.9974768960141546,0.5478876168013652,0.7752614518036853
66,XIRP2|EYA2|LEP|EPYC|ASPN|LHX8|KLHL13|S100Z|SMPX|STEAP2|GJB6|FABP4,0.7066827783949498,0.9879647024006742,0.7152191930463049,0.8448861982053579
67,LYPD6B|ZIC2|RPS4Y1|ZNF711|PROK2|ASZ1|C15orf48|KRT14|SMC3|DNAJC12|FCER2|HSF5,0.4252600502378848,0.9980954420484119,0.5644092354546358,0.7308801658939406
68,RGS13|CD74|MME|TAGLN3|SOX8|HLA-DQA1|CXCL14|SPINK2|GJB2|TMEM158|LGSN|P2RY12,0.6047138389007313,0.9873321121052897,0.7757757563025803,0.8766655882492949
69,MAMDC4|C2CD4A|SFTA2|C16orf74|ASZ1|EEF1A2|HEPACAM2|FAM111B|DNAJC12|IL12B|FOSB|ZPBP2,0.3585807377427069,0.9834167069866178,0.5738333868903588,0.7795404132130018
70,FCER2|MAGEB1|NLRP11|CRYBA4|NPY1R|BAIAP2L1|MFAP4|ORM1|CCL22|SOST|NOL4|DDX43,0.6457843290155773,0.9980804018415271,0.682614094317576,0.8931539444941359
71,HTR2B|CCL22|C15orf48|SPIC|MAGEA6|PLA2G2D|LGALS2|EPYC|C2orf40|IL13RA2|C4orf22|IYD,0.4730234498998456,0.9936707265189552,0.5333802932344491,0.8109458185707432
72,NMU|CPXM1|HLF|MFAP4|DNAJC12|HTR3A|TPSB2|HOTAIR|RPS4Y1|HSF5|HPDL|LGALS2,0.6895374141927098,0.9955090250849815,0.6101087302646788,0.8347002520375448
73,STAG3|LYPD6B|PLA2G2D|ABCG5|EYA2|STEAP2|BAIAP2L1|COL11A1|CHI3L1|CTCFL|RASSF6|FCRL4,0.7957667117750019,0.9973711243201798,0.7091806151241453,0.9138756029707606
74,NLRP11|MARCO|SMC3|C2CD4A|TPSB2|IL13RA2|LIPI|MGST1|MLC1|MFAP4|LIN28B|MSTN,0.35550959104731356,0.9974904414261025,0.6969892654282993,0.7617639093205282
75,STXBP6|MAGEB18|DAPL1|MATN3|KCNK12|PSMA8|EYA2|MGST1|HK3|PCSK1|MMP12|LYPD6B,0.7667621722692536,0.9978423442805375,0.5811453299728757,0.8157384917579288
76,PLA2G2D|CYS1|C1QB|IL13RA2|SH3GL2|ICOS|SMPX|FOSB|MMP1|ZBTB32|MYOT|EYA2,0.5233093401656546,0.9920326990240351,0.633403175840996,0.8353451125782694
77,PSMA8|C2orf40|C1QA|SPIC|HEPACAM2|TFPI2|CCL21|BIK|EPHB1|COL9A3|PRAME|FAM129C,0.4272103443944277,0.9941778315174057,0.611711753968161,0.777195983923162
78,MATN3|BIK|STAG3|MYOCD|MMP3|COL10A1|S100A9|CENPV|CPXM1|TNFRSF17|HTR3A|ASMT,0.7976996329104303,0.9971244649445572,0.7134323905612152,0.8856690601504134
79,STAG3|VSIG4|KCNH8|INHBA|SPINK2|TUBB2B|CCL21|MAL2|HTR3A|ZNF385B|PPP1R14A|PPBP,0.8082287942683772,0.9973032861486854,0.8769444733730084,0.792109954619393
80,KRT5|FABP4|SYT17|ARL14|WISP2|DHRS9|VPREB3|CETP|LTF|MMP20|C12orf77|FSTL5,0.7531315874511011,0.9968921197461058,0.6662671686227352,0.8530715451693707
