geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
1.0,RANDOM,25043006,2,4.3345307847621915e-32,0.4365042489347122,-4.02298444702005,-4.459488695954763,0.0,0.0,0.0,2.1672653923810957e-32,0
1.0,NULL,25043007,2,0.00507103117217246,1.4929282322514306,-2.966560463703332,-4.459488695954763,0.0,0.0,0.003039161637004867,0.00253551558608623,0
1.0,RANDOM,25043007,2,9.050098975099973e-32,0.42303016279803085,-4.036458533156732,-4.459488695954763,0.0,0.0,0.0,4.5250494875499867e-32,0
1.0,NULL,25043008,2,8.474535043025733e-33,0.43546472291837546,-4.024023973036387,-4.459488695954763,0.0,0.0,0.0,4.237267521512866e-33,0
1.0,RANDOM,25043008,2,1.3765271264930412e-05,2.050135721367535,-2.4093529745872275,-4.459488695954763,0.0,0.0,1.0265902260807558e-05,6.882635632465206e-06,0
1.0,NULL,25043009,2,8.652069888223732e-33,0.420686479848853,-4.03880221610591,-4.459488695954763,0.0,0.0,0.0,4.326034944111866e-33,0
1.0,RANDOM,25043009,2,6.95034887915637e-35,1.7133269136834341,-2.7461617822713285,-4.459488695954763,0.0,0.0,0.0,3.475174439578185e-35,0
1.0,NULL,25043010,2,0.0023630839208999463,0.4365042489347122,-4.02298444702005,-4.459488695954763,0.0,0.0,0.0011128231732482063,0.0011815419604499732,0
1.0,RANDOM,25043010,2,0.0062357654413595,1.484054853542537,-2.9754338424122255,-4.459488695954763,0.0,0.0,0.004658650213615634,0.00311788272067975,0
1.0,NULL,25043011,2,8.426805829983901e-35,1.7643844549034573,-2.6951042410513053,-4.459488695954763,0.0,0.0,0.0,4.2134029149919507e-35,0
1.0,RANDOM,25043011,2,0.0023630839208999455,1.3476388359771097,-3.111849859977653,-4.459488695954763,0.0,0.0,0.0017637829995319294,0.0011815419604499727,0
1.0,REAL,,4,0.9821448717296378,0.028025561352899686,-4.431463134601863,-4.459488695954763,0.5,1.0,0.9992534538095167,0.24553621793240946,
1.0,NULL,25043000,4,4.6932867238877314e-05,0.6496212835634427,-3.80986741239132,-4.459488695954763,0.0,0.0,2.0828867743256334e-05,1.1733216809719328e-05,0
1.0,RANDOM,25043000,4,0.03522672583037588,0.43240622102824133,-4.027082474926521,-4.459488695954763,0.25,0.5,0.016707016906267504,0.00880668145759397,1
1.0,NULL,25043001,4,0.0027273963027081376,0.9553809230714179,-3.5041077728833447,-4.459488695954763,0.0,0.0,0.0010207956737824017,0.0006818490756770344,0
1.0,RANDOM,25043001,4,0.004200676837048127,1.2757484423569139,-3.1837402535978487,-4.459488695954763,0.0,0.0,0.0024806997518129173,0.0010501692092620319,0
1.0,NULL,25043002,4,3.323154587718565e-05,0.9456860898064559,-3.5138026061483068,-4.459488695954763,0.0,0.0,1.4565704381917348e-05,8.307886469296413e-06,0
1.0,RANDOM,25043002,4,1.3765271264930412e-05,0.9956434073917353,-3.4638452885630273,-4.459488695954763,0.0,0.0,6.449121213120726e-06,3.441317816232603e-06,0
