geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max
1.25,REAL,8,1,0.9869880396010996,0.9869880396010996,0.0,0.9869880396010996,0.9869880396010996,0.011916099195193208,0.011916099195193208,0.0,0.011916099195193208,0.011916099195193208,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.9982159708806774,0.9982159708806774,0.0,0.9982159708806774,0.9982159708806774,0.12337350495013745,0.12337350495013745,0.0,0.12337350495013745,0.12337350495013745
1.25,REAL,12,1,0.997115917001076,0.997115917001076,0.0,0.997115917001076,0.997115917001076,0.004980259380391594,0.004980259380391594,0.0,0.004980259380391594,0.004980259380391594,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.9984474727220418,0.9984474727220418,0.0,0.9984474727220418,0.9984474727220418,0.08309299308342301,0.08309299308342301,0.0,0.08309299308342301,0.08309299308342301
1.25,REAL,16,1,0.997143082386706,0.997143082386706,0.0,0.997143082386706,0.997143082386706,0.004947309695175317,0.004947309695175317,0.0,0.004947309695175317,0.004947309695175317,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9983953403415928,0.9983953403415928,0.0,0.9983953403415928,0.9983953403415928,0.062321442649169126,0.062321442649169126,0.0,0.062321442649169126,0.062321442649169126
1.5,NULL,2,12,0.00734574987500837,0.00040437521135521323,0.010803323404353433,2.997950374309079e-30,0.0346302124865384,0.6642334602215408,0.6949495213328827,0.2343193416058388,0.3419505968675929,1.0561941658816414,0.125,0.0,0.21650635094610965,0.0,0.5,0.041666666666666664,0.0,0.07216878364870322,0.0,0.16666666666666666,0.005643502376265474,0.0003397923974176111,0.008539854198487767,0.0,0.026173155119956867,0.003672874937504185,0.00020218760567760661,0.005401661702176716,1.4989751871545396e-30,0.0173151062432692
1.5,NULL,4,12,0.030942649192612772,0.02287610463317554,0.031096806409126307,1.1465060150140169e-29,0.10634905857102996,0.48958238326372966,0.5095192932135508,0.11670273771023151,0.34028574138668066,0.6628132490206546,0.1875,0.25,0.18042195912175807,0.0,0.5,0.12500000000000003,0.16666666666666666,0.12028130608117202,0.0,0.3333333333333333,0.015793171907573993,0.01158333284267361,0.014673778507749858,0.0,0.043951027858753634,0.007735662298153193,0.005719026158293885,0.007774201602281577,2.8662650375350422e-30,0.02658726464275749
1.5,NULL,8,12,0.11144095186453955,0.04163728240856378,0.2002171355634182,2.4789697958258606e-06,0.75908526433856,0.3809783878175316,0.3495515649516707,0.1044369786993712,0.14827156806671393,0.5417976911324613,0.13541666666666666,0.125,0.10775083784154793,0.0,0.375,0.18055555555555555,0.16666666666666666,0.14366778378873052,0.0,0.5,0.04744417314489571,0.017927009320602837,0.08473824524633637,7.89248908868119e-07,0.3217153978452078,0.013930118983067443,0.005204660301070472,0.025027141945427274,3.098712244782326e-07,0.09488565804232
1.5,NULL,12,12,0.40363051995396765,0.15828504116491,0.3671087945953714,0.00029972833568508956,0.9014675969178307,0.251458024742047,0.25541209987725133,0.13959001943643015,0.08118477051789652,0.45313233854803636,0.19444444444444442,0.20833333333333331,0.0856168611523469,0.0,0.3333333333333333,0.38888888888888884,0.41666666666666663,0.1712337223046938,0.0,0.6666666666666666,0.14166905428237878,0.05407549373489493,0.13303712585939212,7.557967221991161e-05,0.332911687661574,0.03363587666283064,0.013190420097075835,0.030592399549614284,2.4977361307090798e-05,0.07512229974315256
1.5,NULL,16,12,0.8603055676994636,0.8399673306792456,0.05146106287886624,0.7695364797723322,0.9489039817824119,0.09205827573037377,0.08723721793091666,0.031969125818003145,0.027062259031553904,0.15442117514379472,0.203125,0.1875,0.05182226234930312,0.125,0.3125,0.5416666666666666,0.5,0.13819269959814165,0.3333333333333333,0.8333333333333334,0.2727019844588161,0.2686624206446825,0.034074795171871654,0.22130520771199738,0.34005944839476,0.05376909798121648,0.05249795816745285,0.00321631642992914,0.04809602998577076,0.05930649886140074
1.5,RANDOM,2,12,0.01679008057542394,0.00030207349841282537,0.029398265550139174,7.71866149076551e-31,0.10632710311915973,0.6759439342719391,0.6803124068044788,0.22502117706157243,0.34129965438223353,1.0561941658816414,0.125,0.0,0.21650635094610965,0.0,0.5,0.041666666666666664,0.0,0.07216878364870322,0.0,0.16666666666666666,0.012103959913012172,0.00023404936332071383,0.018942630928351554,0.0,0.06614106920971918,0.00839504028771197,0.00015103674920641268,0.014699132775069587,3.859330745382755e-31,0.053163551559579865
1.5,RANDOM,4,12,0.02202700784356215,0.0034202506431735523,0.031286831960730434,7.682638911623379e-30,0.10632710311915973,0.4838232656795711,0.4863718946030975,0.12838491074654876,0.33941420767657915,0.6736115897644863,0.10416666666666667,0.0,0.16002386974726265,0.0,0.5,0.06944444444444443,0.0,0.10668257983150843,0.0,0.3333333333333333,0.013918307200116982,0.0016541330156719138,0.019109735328475538,0.0,0.06437222181958922,0.005506751960890537,0.0008550626607933881,0.007821707990182608,1.9206597279058447e-30,0.026581775779789932
