geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max,chemical_accuracy_fraction
2.5,CHEM_EXCITATION,16,1,0.8884458898503407,0.8884458898503407,0.0,0.8884458898503407,0.8884458898503407,0.05285021424579206,0.05285021424579206,0.0,0.05285021424579206,0.05285021424579206,0.0625,0.0625,0.0,0.0625,0.0625,0.25,0.25,0.0,0.25,0.25,0.958600191346995,0.958600191346995,0.0,0.958600191346995,0.958600191346995,0.05552786811564629,0.05552786811564629,0.0,0.05552786811564629,0.05552786811564629,0.0
2.5,EN2,2,1,0.9012530004691627,0.9012530004691627,0.0,0.9012530004691627,0.9012530004691627,0.022567295090786033,0.022567295090786033,0.0,0.022567295090786033,0.022567295090786033,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.45062650023458134,0.45062650023458134,0.0,0.45062650023458134,0.45062650023458134,0.0
2.5,EN2,4,1,0.9550495932370935,0.9550495932370935,0.0,0.9550495932370935,0.9550495932370935,0.007835956168689151,0.007835956168689151,0.0,0.007835956168689151,0.007835956168689151,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.23876239830927337,0.23876239830927337,0.0,0.23876239830927337,0.23876239830927337,0.0
2.5,EN2,8,1,0.9754262179639345,0.9754262179639345,0.0,0.9754262179639345,0.9754262179639345,0.0026727585695720535,0.0026727585695720535,0.0,0.0026727585695720535,0.0026727585695720535,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.9934462115462374,0.9934462115462374,0.0,0.9934462115462374,0.9934462115462374,0.12192827724549181,0.12192827724549181,0.0,0.12192827724549181,0.12192827724549181,0.0
2.5,EN2,12,1,0.9754729067992275,0.9754729067992275,0.0,0.9754729067992275,0.9754729067992275,0.0025947231363883105,0.0025947231363883105,0.0,0.0025947231363883105,0.0025947231363883105,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.9932662240503837,0.9932662240503837,0.0,0.9932662240503837,0.9932662240503837,0.08128940889993562,0.08128940889993562,0.0,0.08128940889993562,0.08128940889993562,0.0
2.5,EN2,16,1,0.9754847747811326,0.9754847747811326,0.0,0.9754847747811326,0.9754847747811326,0.0025456089295072815,0.0025456089295072815,0.0,0.0025456089295072815,0.0025456089295072815,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9932596777739425,0.9932596777739425,0.0,0.9932596777739425,0.9932596777739425,0.06096779842382079,0.06096779842382079,0.0,0.06096779842382079,0.06096779842382079,0.0
2.5,RANDOM,2,12,0.004506275127190222,8.332416125777207e-36,0.010076400567775836,1.1100873318054438e-40,0.027174627739365464,2.99263344273272,2.557761419929404,2.041376841781744,0.20841489921467193,5.827699622578528,0.08333333333333333,0.0,0.18633899812498245,0.0,0.5,0.041666666666666664,0.0,0.09316949906249122,0.0,0.25,0.0030766796970529073,0.0,0.0070742816478585905,0.0,0.022497276982812946,0.002253137563595111,4.1662080628886035e-36,0.005038200283887918,5.550436659027219e-41,0.013587313869682732,0.0
2.5,RANDOM,4,12,0.004508552293865993,2.8943333026770156e-07,0.010077421776280257,1.1240547703931577e-40,0.02718312029880012,2.0018843910155595,2.364280043411801,1.4110439391836314,0.20841489921467193,5.432641193668202,0.041666666666666664,0.0,0.09316949906249122,0.0,0.25,0.041666666666666664,0.0,0.09316949906249122,0.0,0.25,0.0030144715475524313,1.7611355057250085e-07,0.006929453271749636,0.0,0.022036154594979,0.0011271380734664983,7.235833256692539e-08,0.002519355444070064,2.810136925982894e-41,0.00679578007470003,0.0
2.5,RANDOM,8,12,0.07753043727463572,1.3321094739191252e-05,0.23733368539758265,5.946002835429819e-10,0.863975237201608,1.1192839756375559,0.49659583751203407,0.9913619463102255,0.052846139208055476,2.3317291984560606,0.03125,0.0,0.05412658773652741,0.0,0.125,0.0625,0.0,0.10825317547305482,0.0,0.25,0.029620780372339523,4.666575142287746e-06,0.0865844868164727,2.381722315204125e-10,0.3159265828714715,0.009691304659329466,1.6651368423989065e-06,0.02966671067469783,7.432503544287273e-11,0.107996904650201,0.0
2.5,RANDOM,12,12,0.15052589484731244,1.3985180669427971e-05,0.32189859987594716,5.961563732845209e-07,0.8759307759220469,0.6310302954096574,0.38500137893489716,0.757061480096827,0.0528461392080537,2.331729198456057,0.027777777777777776,0.0,0.039283710065919304,0.0,0.08333333333333333,0.08333333333333333,0.0,0.11785113019775792,0.0,0.25,0.05117165122517644,4.819437570784239e-06,0.10666077399035102,1.3822212453319224e-07,0.31586595786907234,0.012543824570609367,1.1654317224523308e-06,0.0268248833229956,4.967969777371008e-08,0.07299423132683724,0.0
2.5,RANDOM,16,12,0.151523877210147,0.005998403942986796,0.32144869154077177,5.961563732845209e-07,0.8759309008303556,0.44263740439060756,0.254715455944341,0.566436509736445,0.052846139198727826,2.2294143264816064,0.020833333333333332,0.0,0.02946278254943948,0.0,0.0625,0.08333333333333333,0.0,0.11785113019775792,0.0,0.25,0.05137662788130596,0.0012365151071957515,0.10656339823764915,1.3822087929218639e-07,0.3158631258838594,0.009470242325634188,0.00037490024643667473,0.020090543221298236,3.725977333028256e-08,0.05474568130189723,0.0
2.5,REAL,2,1,0.9012530004691627,0.9012530004691627,0.0,0.9012530004691627,0.9012530004691627,0.022567295090786033,0.022567295090786033,0.0,0.022567295090786033,0.022567295090786033,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.45062650023458134,0.45062650023458134,0.0,0.45062650023458134,0.45062650023458134,0.0
