geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.2,RANDOM,25043003,2,1.192758828033814e-42,6.39355145192013,-2.78182242857579,-9.17537388049592,0.0,0.0,0.0,5.96379414016907e-43,False,0
1.2,RANDOM,25043004,2,0.002078568158115339,0.8354234974377075,-8.339950383058213,-9.17537388049592,0.0,0.0,0.0014722644272140086,0.0010392840790576694,False,0
1.2,RANDOM,25043005,2,5.071033152071297e-39,2.8116385813858136,-6.363735299110107,-9.17537388049592,0.0,0.0,0.0,2.5355165760356487e-39,False,0
1.2,RANDOM,25043006,2,4.6270534934564993e-32,0.2266549076680242,-8.948718972827896,-9.17537388049592,0.0,0.0,0.0,2.3135267467282496e-32,False,0
1.2,RANDOM,25043007,2,2.526381206494794e-41,3.0336437742716793,-6.141730106224241,-9.17537388049592,0.0,0.0,0.0,1.263190603247397e-41,False,0
1.2,RANDOM,25043008,2,0.0020792632180750724,0.6081069641088259,-8.567266916387094,-9.17537388049592,0.0,0.0,0.0009295385526975702,0.0010396316090375362,False,0
1.2,RANDOM,25043009,2,4.5508609801744573e-38,2.770354402301848,-6.405019478194072,-9.17537388049592,0.0,0.0,0.0,2.2754304900872286e-38,False,0
1.2,RANDOM,25043010,2,4.442480899713567e-09,5.34087278182152,-3.8345010986744006,-9.17537388049592,0.0,0.0,3.144572814150231e-09,2.2212404498567834e-09,False,0
1.2,RANDOM,25043011,2,2.2633598430540555e-40,2.8256458693278885,-6.349728011168032,-9.17537388049592,0.0,0.0,0.0,1.1316799215270278e-40,False,0
1.2,REAL,,4,0.993268843908301,0.003244915842168794,-9.172128964653751,-9.17537388049592,0.25,1.0,0.9993189884857296,0.24831721097707524,False,
1.2,EN2,,4,0.9953369566329836,0.0022972999548276363,-9.173076580541093,-9.17537388049592,0.25,1.0,1.0,0.2488342391582459,False,2
1.2,CHEM_EXCITATION,,4,0.9839416790458977,0.016815027638987345,-9.158558852856933,-9.17537388049592,0.25,1.0,0.9953013211803119,0.24598541976147442,False,1
