seed,pair_rank,group,partner_group,sign,energy,partner_energy,dim_p,family,basis,pvp_fro,pvq_fro,pvq_fro_sq,gap_pq,sigma_fro,sigma_trace_abs,discovery_prominence
25042002,4,6,57,-,-2.552457966072332,2.552457966072332,4,dephasing,REAL,0.2239523218935737,3.1807112743267365,10.116924210629213,1.4433500765242968e-05,9.205822993775433,18.411645985455728,0.14328955539778412
25042002,4,6,57,-,-2.552457966072332,2.552457966072332,4,dephasing,NULL,0.30910232721948333,3.1222825636157294,9.74864840705881,1.4433500765242968e-05,4.770490227703581,4.241730378172576,0.14328955539778412
25042002,4,6,57,-,-2.552457966072332,2.552457966072332,4,transverse,REAL,0.3473924997874442,2.074012853649846,4.301529317104778,1.4433500765242968e-05,0.8453356541020615,1.6865794663426672,0.14328955539778412
25042002,4,6,57,-,-2.552457966072332,2.552457966072332,4,transverse,NULL,0.2989416641048435,2.049653084280757,4.201077765901621,1.4433500765242968e-05,1.708353635502789,1.6439421638301932,0.14328955539778412
25042002,4,57,6,+,2.552457966072332,-2.552457966072332,4,dephasing,REAL,0.22395232189701417,3.1807112743190746,10.116924210580471,1.4433500765242968e-05,9.205822993679403,18.411645985263675,0.1790638430531717
25042002,4,57,6,+,2.552457966072332,-2.552457966072332,4,dephasing,NULL,0.3202392077266129,3.113928275936597,9.696549307677468,1.4433500765242968e-05,3.9828872870357666,3.7180575537193734,0.1790638430531717
25042002,4,57,6,+,2.552457966072332,-2.552457966072332,4,transverse,REAL,0.3473924997868112,2.074012853636658,4.301529317050074,1.4433500765242968e-05,0.8453356540934481,1.6865794663278963,0.1790638430531717
25042002,4,57,6,+,2.552457966072332,-2.552457966072332,4,transverse,NULL,0.18093183308553182,2.114872892227371,4.472687350278166,1.4433500765242968e-05,1.7558665706248038,0.8278097700414146,0.1790638430531717
25042002,5,16,47,-,-1.881661992139005,1.8816619921390059,4,dephasing,REAL,0.2929056632569639,3.175103955047163,10.081285125356137,1.5986337495998981e-06,12.74124101825945,25.482480569954784,0.17041253391595496
25042002,5,16,47,-,-1.881661992139005,1.8816619921390059,4,dephasing,NULL,0.4042102185281876,3.110168258434602,9.673146595774124,1.5986337495998981e-06,14.760390068285705,13.05102098209898,0.17041253391595496
25042002,5,16,47,-,-1.881661992139005,1.8816619921390059,4,transverse,REAL,0.3397329746377714,2.0743827555418433,4.303063816489371,1.5986337495998981e-06,1.535991612810039,1.409018260654817,0.17041253391595496
25042002,5,16,47,-,-1.881661992139005,1.8816619921390059,4,transverse,NULL,0.3429894675036362,2.1743217236157437,4.727674957787339,1.5986337495998981e-06,7.631220813009822,7.843381976096289,0.17041253391595496
25042002,5,47,16,+,1.8816619921390059,-1.881661992139005,4,dephasing,REAL,0.29290566328184336,3.175103955094896,10.081285125659251,1.5986337500439873e-06,12.741241017356897,25.482480568144325,0.14803798600069656
25042002,5,47,16,+,1.8816619921390059,-1.881661992139005,4,dephasing,NULL,0.2563804422442364,3.128163947027712,9.785409679483994,1.5986337500439873e-06,19.678609924327297,25.244754376725574,0.14803798600069656
25042002,5,47,16,+,1.8816619921390059,-1.881661992139005,4,transverse,REAL,0.339732974639199,2.0743827554898475,4.303063816273652,1.5986337500439873e-06,1.5359916129529423,1.4090182609397015,0.14803798600069656
25042002,5,47,16,+,1.8816619921390059,-1.881661992139005,4,transverse,NULL,0.2532773417013785,2.1607722717826507,4.668936810504757,1.5986337500439873e-06,6.823199129081761,10.260782869032552,0.14803798600069656
