version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K3_over_K2,K4_over_K2,slope_abs_K2,slope_abs_K2K3,slope_abs_K2K3K4,slope_rel_K2,slope_rel_K2K3,slope_rel_K2K3K4,smallest_lambda_rel_K2,smallest_lambda_rel_K2K3,smallest_lambda_rel_K2K3K4
v32.24,25042000,dephasing,54,1.6886100349699211,4,2.3337666526378897,0.15882496313262898,230.32106812481913,0.06805520292832484,98.69070151657363,3.7464739257504363,3.998195167523369,5.354506204432672,1.7490932716977996,2.000814513470734,3.357125550380038,2.2265621009295177e-05,8.882187634160354e-06,5.275326604178247e-10
v32.24,25042000,dephasing,55,1.6921458564839147,4,3.6067441032132166,0.09761051679179057,227.46071063735394,0.027063333022387205,63.06538643390619,3.8514064315100374,4.001838490441798,5.372380334747212,1.8497241706660177,2.0001562295977786,3.37069807390319,9.906476529851032e-06,5.675887816236503e-06,3.241823980674123e-10
v32.24,25042000,dephasing,56,1.9644309918628977,4,1.2494623744344013,0.11234615533421304,118.3309891899457,0.08991559700632776,94.70552424078477,3.666240646642434,3.9987806198523197,5.151779852609871,1.6687572896964953,2.0012972629063808,3.154296495663931,2.8290282554774254e-05,8.523534720546439e-06,8.115842776862315e-10
v32.24,25042000,dephasing,57,1.966744402461953,4,2.172679659819757,0.1302485556853871,116.1487166226893,0.05994834769898493,53.45873980903603,3.6237181866385373,4.001207861541254,5.155895251967968,1.6222975307716758,1.9997872056743913,3.154474596101106,1.8617299580380646e-05,4.811283239030082e-06,4.4851207479738963e-10
v32.24,25042000,dephasing,58,1.9761806190048739,4,1.0066378678326293,0.07212644602848882,98.06135710799691,0.07165083724078723,97.41473099867656,3.7313625591189714,3.998686267847368,5.166933687443863,1.733951574257377,2.0012752829857727,3.16952270258227,2.321543101974736e-05,8.767363667339375e-06,8.308562155764765e-10
v32.24,25042000,dephasing,59,1.9787294107422513,4,1.9240120148201758,0.15748140488644446,96.2103820460759,0.081850530908022,50.00508380664558,3.5175567803345844,4.001325796585691,5.172195629475076,1.5162263231706565,1.9999953394217604,3.1708651723111476,2.4964480806148696e-05,4.500457541521725e-06,4.2325592423721425e-10
v32.24,25042000,dephasing,60,2.8428147436945483,4,0.3963116777509529,0.10892399801916074,8.821269780503787,0.2748442807370665,22.258414969157638,3.0768865402443883,4.022465410810266,5.942453260060412,1.0762434448436866,2.0218223154095636,3.9418101646597106,8.24775623199352e-05,2.0034178178075145e-06,1.9682092239166614e-10
v32.24,25042000,dephasing,61,2.8439494108712084,4,0.8797503615963473,0.10910320070916102,8.540402562074476,0.12401609078192166,9.70775680793984,3.054532560787191,3.9726007337144336,5.9695004717916,1.0542990953590963,1.9723672682863398,3.969267006363506,3.721509426904426e-05,8.736229947804247e-07,8.643888879081971e-11
v32.24,25042000,dephasing,62,2.87344508633917,4,0.4069452174799437,0.10325975253178919,6.999913142539474,0.25374361977083154,17.20111907417726,3.0603772715335986,4.029050615740654,5.962586600189961,1.0598679308896468,2.0285412750967033,3.962077259546009,7.613879164665899e-05,1.5482645556138045e-06,1.8470411284621506e-10
v32.24,25042000,dephasing,63,2.874552422746733,4,0.8671059923641661,0.10370700745451389,6.723624637359672,0.11960130407097816,7.754097764943011,3.0373469677102642,3.9633203575785596,5.987075796915471,1.0371667160907263,1.9631401059590228,3.986895545295935,3.58871840972714e-05,6.977900506082305e-07,8.511711462365166e-11
v32.24,25042000,transverse,0,-2.8745524227467336,4,1.629020563513946,1.3431438879058204e-13,10.56805785045506,8.245100878337204e-14,6.487369212613741,3.915193695544852,3.9151936955446347,6.022158577450004,1.915067485215042,1.9150674852148244,4.022032367120197,5.837303546490437e-07,5.83730354649059e-07,1.3254312605504184e-10
v32.24,25042000,transverse,1,-2.87344508633917,4,1.365361188958686,1.3696194998892896e-13,10.923125271492514,1.0031188164458162e-13,8.00017267212876,4.054058530524554,4.054058530524441,5.977954382384356,2.05379935101507,2.0537993510149555,3.9776952028748735,7.201729405689552e-07,7.201729405688815e-07,1.579384050866142e-10
v32.24,25042000,transverse,2,-2.8439494108712084,4,1.56532278431329,2.630368030874844e-13,13.592544467106004,1.680399759867286e-13,8.6835409305494,3.940956453319002,3.9409564533189,6.021549147103537,1.9407707482055114,1.9407707482054084,4.021363441990045,7.813884954140131e-07,7.813884954140775e-07,1.2959195967461993e-10
v32.24,25042000,transverse,3,-2.8428147436945483,4,1.2636725165564384,2.5549013451276993e-13,13.47000541562751,2.0218065295033198e-13,10.659411547806586,4.042098021839464,4.042098021839434,5.978648571152491,2.0417676160701808,2.04176761607015,3.9783181653832043,9.595059297246287e-07,9.595059297250554e-07,1.598315440498154e-10
