version,seed,family,target_group,partner_target_group,g,k,bar_g,bar_k,X_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,dephasing,32,31,0,63,63,0,9.681168721012111e-06,9.681168721118756e-06,6.249535179334581e-05,1.999999999012567,6.050280449970525e-10
v32.26,25042000,dephasing,32,31,1,0,62,63,2.225208234918472e-06,2.2252082349160216e-06,0.006938256350170179,1.999987965112394,1.5439065166374064e-08
v32.26,25042000,dephasing,32,31,1,1,62,62,1.2844360378928483e-17,2.3353416002640877e-17,1.0603015438656602,1.2168643723070443,2.4761663042137136e-17
v32.26,25042000,dephasing,32,31,1,2,62,61,1.6439922502691368e-09,1.6439922478456682e-09,0.006806309459165959,1.9999884170302087,1.1189520003802355e-11
v32.26,25042000,dephasing,32,31,1,3,62,60,7.662879454525646e-07,7.662879454541535e-07,0.00603131841343122,1.999990905776799,4.621726595408014e-09
v32.26,25042000,dephasing,32,31,1,4,62,59,9.003166386368716e-05,9.00316638636653e-05,9.390737353949958e-05,1.9999999977951086,8.454637088829935e-09
v32.26,25042000,dephasing,32,31,1,5,62,58,9.52723907778915e-05,9.52723907779046e-05,0.007056983057596836,1.9999875497086417,6.723356475764178e-07
v32.26,25042000,dephasing,32,31,1,6,62,57,4.403717168203245e-05,4.403717168201232e-05,0.0013484391464896662,1.9999995454274584,5.938144619673873e-08
v32.26,25042000,dephasing,32,31,1,7,62,56,0.0006350991712101717,0.000635099171210143,0.00026179242533301024,1.9999999828661363,1.6626415235809555e-07
v32.26,25042000,dephasing,32,31,1,8,62,55,0.00018552342111258409,0.0001855234211125847,0.0001905278696792894,1.9999999909247792,3.5347382200194465e-08
v32.26,25042000,dephasing,32,31,1,9,62,54,1.4089068676520791e-05,1.4089068676516819e-05,0.0012797344850882183,1.999999590569588,1.803026704811988e-08
v32.26,25042000,dephasing,32,31,1,10,62,53,5.217129810453489e-05,5.217129810454892e-05,0.004082019687241106,1.9999958342742112,2.129642659716933e-07
v32.26,25042000,dephasing,32,31,1,11,62,52,8.60046550808842e-05,8.600465508087583e-05,0.00028414594806395565,1.9999999798151726,2.4437874255871342e-08
v32.26,25042000,dephasing,32,31,1,12,62,51,4.588760028007042e-08,4.588760028098849e-08,0.002654853590082434,1.9999982379173205,1.2182486034624998e-10
v32.26,25042000,dephasing,32,31,1,13,62,50,5.5985776422254785e-06,5.598577642225304e-06,0.0011131739805256868,1.999999690210867,6.2321909592782505e-09
v32.26,25042000,dephasing,32,31,1,14,62,49,3.469186653422177e-08,3.4691866534236327e-08,0.014490576072539714,1.9999475051119235,5.027051311127461e-10
v32.26,25042000,dephasing,32,31,1,15,62,48,1.68329675612955e-08,1.68329675615291e-08,0.0007193580854525411,1.9999998706171045,1.2108931317546303e-11
v32.26,25042000,dephasing,32,31,1,16,62,47,6.000924260979427e-05,6.000924260979307e-05,0.0009229678584305554,1.9999997870325517,5.5386602137601446e-08
v32.26,25042000,dephasing,32,31,1,17,62,46,6.10763084057717e-06,6.107630840581149e-06,0.013250490369090095,1.9999561056439146,8.092910363107816e-08
v32.26,25042000,dephasing,32,31,1,18,62,45,1.616718838399966e-05,1.616718838399907e-05,0.00832811583463987,1.9999826605464603,1.3464221758239335e-07
v32.26,25042000,dephasing,32,31,1,19,62,44,6.771669752240615e-05,6.771669752240643e-05,0.00040471425422601006,1.9999999590515887,2.740591273642902e-08
v32.26,25042000,dephasing,32,31,1,20,62,43,3.119884338360446e-06,3.1198843383625213e-06,0.001508623236100688,1.9999994310132367,4.706730006800321e-09
v32.26,25042000,dephasing,32,31,1,21,62,42,3.2703000249259945e-05,3.2703000249256814e-05,0.001090013828743186,1.9999997029673455,3.56467225130852e-08
v32.26,25042000,dephasing,32,31,1,22,62,41,7.715851325606225e-07,7.715851325607672e-07,0.004321297215128689,1.9999953315919585,3.334248684569544e-09
v32.26,25042000,dephasing,32,31,1,23,62,40,4.422345298636078e-08,4.422345298678579e-08,0.01214916440014033,1.9999630991010648,5.372780006783374e-10
v32.26,25042000,dephasing,32,31,1,24,62,39,1.6998913409150445e-07,1.6998913409623272e-07,0.06380660571981062,1.998981920117152,1.0846429655930336e-08
v32.26,25042000,dephasing,32,31,1,25,62,38,5.138580082852529e-06,5.138580082857917e-06,0.03484985714777882,1.999696348812135,1.7907878183001988e-07
