version,seed,family,order,g_minus,g_plus,E_abs,prominence,A_group,C_group,R_response,D_response,response_label_R,response_label_D,h2
v32.19,25042002,transverse,2,17,46,1.8816603935052552,0.15940932373412742,-0.06596509025569727,0.39663481004300294,3406.6760862846177,62315.72129728671,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,18,45,1.8536658855515613,-0.012992121501998077,-0.14015531679251653,0.45398786553938464,60857.44837935646,222375.09832043294,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,19,44,1.8534485655789308,-0.06364922320881533,-0.030892286820070523,0.6066452623420788,76748.49486437446,167177.40117844334,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,20,43,1.6826947865747437,0.020226786036897537,-0.015512404376302705,0.7844012279564554,4305430.253344433,6188526.85416908,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,21,42,1.6822936043979437,-0.3017109032200756,0.01912664507982851,0.8033448959436866,4327048.517881326,4614583.170406302,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,22,41,1.6430403508955786,-0.14118709187653455,-0.05502041905910567,0.6377161510758638,2280413.6047324715,15494931.5245518,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,23,40,1.6427552943541874,0.11922736358202396,0.037691471072225605,0.7137170771754868,2308911.9299529125,16432068.717117831,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,24,39,1.3727717991377637,0.12639676623392745,-0.06881858995969294,0.6456524804834215,2351875.4051288357,64913335.61861713,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,25,38,1.3725831083805113,-0.34701477452132634,0.07256089562742578,0.7438702346634445,2355759.32246284,62184786.10259092,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,26,37,1.3200229054206054,0.3175018011961466,-0.07891370031716755,0.7618717252581684,4984390.193805949,141219441.09143823,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,27,36,1.3198085068535732,0.1264561985185128,0.0786073297692028,0.8563166511764906,5016528.81037898,139434225.88139367,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,28,35,1.0687490912341788,-0.028766953976702037,-0.07954581033209793,0.25139305175995985,642849.608358412,15423857.46125416,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,29,34,1.0686654956126873,-0.10021879565394456,0.05023191143785428,0.44087350477548254,636351.5007818686,14747060.068126999,R2_E,D2_E,0.001
v32.19,25042002,transverse,2,30,33,1.0106867570449074,0.18037575092928343,-0.055533048001519536,0.15483225735308048,111993.56560767634,1874009.069212837,R2_E,D2_E,0.001
