version,seed,family,g_minus,g_plus,E_abs,lambda,paired_gamma_response_residual,same_target_evenness_residual
v32.25,25042000,dephasing,27,36,0.2619864687735263,0.01,1.2476577652991403e-13,0.0034303021062528933
v32.25,25042000,dephasing,27,36,0.2619864687735263,0.003,1.2066386158965287e-13,0.0009959214445596236
v32.25,25042000,dephasing,27,36,0.2619864687735263,0.001,1.1957159634587924e-13,0.00033093451517384305
v32.25,25042000,dephasing,27,36,0.2619864687735263,0.0003,1.1957585477603487e-13,9.924467525936592e-05
v32.25,25042000,dephasing,28,35,0.07278294475567904,0.01,8.199661988255997e-15,0.00021923071337635362
v32.25,25042000,dephasing,28,35,0.07278294475567904,0.003,8.102531153317176e-15,5.682417109742772e-05
v32.25,25042000,dephasing,28,35,0.07278294475567904,0.001,8.210778761238744e-15,1.868203574960017e-05
v32.25,25042000,dephasing,28,35,0.07278294475567904,0.0003,8.130552537432542e-15,5.595804760136517e-06
v32.25,25042000,dephasing,29,34,0.07081255002358793,0.01,6.805550508642056e-15,0.00016049661071849877
v32.25,25042000,dephasing,29,34,0.07081255002358793,0.003,7.071348754796241e-15,5.6797613108288475e-05
v32.25,25042000,dephasing,29,34,0.07081255002358793,0.001,7.249681597583215e-15,1.921117506797299e-05
v32.25,25042000,dephasing,29,34,0.07081255002358793,0.0003,7.0846147965875294e-15,5.772925656779584e-06
v32.25,25042000,dephasing,30,33,0.048600388009180644,0.01,1.06231344014249e-14,0.00017139097788222124
v32.25,25042000,dephasing,30,33,0.048600388009180644,0.003,1.0763307779171443e-14,3.9754653057464835e-05
v32.25,25042000,dephasing,30,33,0.048600388009180644,0.001,1.07263452655288e-14,1.2894845400720187e-05
v32.25,25042000,dephasing,30,33,0.048600388009180644,0.0003,1.0803883233944302e-14,3.85639157021653e-06
v32.25,25042000,dephasing,31,32,0.04659378773055864,0.01,1.205602908644222e-14,0.00012620945926556062
v32.25,25042000,dephasing,31,32,0.04659378773055864,0.003,1.2081401306584667e-14,4.88534089508833e-05
v32.25,25042000,dephasing,31,32,0.04659378773055864,0.001,1.2076439204783206e-14,1.66692958217737e-05
v32.25,25042000,dephasing,31,32,0.04659378773055864,0.0003,1.2078244713943605e-14,5.014094183261942e-06
v32.25,25042000,transverse,0,63,2.874552422746733,0.01,1.2111502649158682e-14,2.188056188292367e-15
v32.25,25042000,transverse,0,63,2.874552422746733,0.003,1.248881979625455e-14,8.253553193004573e-16
v32.25,25042000,transverse,0,63,2.874552422746733,0.001,1.2468485314766262e-14,3.9258347476423923e-16
v32.25,25042000,transverse,0,63,2.874552422746733,0.0003,1.2439604072314028e-14,3.3275046947938937e-16
v32.25,25042000,transverse,1,62,2.87344508633917,0.01,1.9408699690640143e-14,3.711995015959823e-15
v32.25,25042000,transverse,1,62,2.87344508633917,0.003,1.5539935951660192e-14,9.843712715271026e-16
v32.25,25042000,transverse,1,62,2.87344508633917,0.001,1.524186482198062e-14,6.242673970387653e-16
v32.25,25042000,transverse,1,62,2.87344508633917,0.0003,1.4987019027322473e-14,2.1180805963191185e-16
v32.25,25042000,transverse,2,61,2.8439494108712084,0.01,1.4110792346189392e-14,4.54357389897984e-15
v32.25,25042000,transverse,2,61,2.8439494108712084,0.003,1.8290231294065172e-14,1.737794240976289e-15
v32.25,25042000,transverse,2,61,2.8439494108712084,0.001,1.8896159175274298e-14,6.381687542814965e-16
v32.25,25042000,transverse,2,61,2.8439494108712084,0.0003,1.9200038716984853e-14,2.648651409314557e-16
v32.25,25042000,transverse,3,60,2.8428147436945483,0.01,3.457516357232909e-14,8.128403970107628e-15
v32.25,25042000,transverse,3,60,2.8428147436945483,0.003,2.7918365699170642e-14,2.1677348486745442e-15
v32.25,25042000,transverse,3,60,2.8428147436945483,0.001,2.7357494344587062e-14,6.566754038754441e-16
v32.25,25042000,transverse,3,60,2.8428147436945483,0.0003,2.719891805778538e-14,1.5493246496447297e-16
v32.25,25042000,transverse,4,59,1.9787294107422513,0.01,2.533555495878716e-13,9.135916279894583e-14
v32.25,25042000,transverse,4,59,1.9787294107422513,0.003,2.41577768286926e-13,2.65144635400066e-14
