version,label,H_parity,V_transverse_parity,V_dephasing_parity,candidate_same_target_transverse
v32.27,IIIYIIYY,0,0,0,0
v32.27,IIIYIIYZ,0,0,0,0
v32.27,IIIYIIZI,0,0,0,0
v32.27,IIIYIIZX,0,0,0,0
v32.27,IIIYIIZY,0,0,0,0
v32.27,IIIYIIZZ,0,0,0,0
v32.27,IIIYIXII,0,1,0,0
v32.27,IIIYIXIX,0,1,0,0
v32.27,IIIYIXIY,0,1,0,0
v32.27,IIIYIXIZ,0,1,0,0
v32.27,IIIYIXXI,0,1,0,0
v32.27,IIIYIXXX,0,1,0,0
v32.27,IIIYIXXY,0,1,0,0
v32.27,IIIYIXXZ,0,1,0,0
v32.27,IIIYIXYI,0,0,0,0
v32.27,IIIYIXYX,0,0,0,0
v32.27,IIIYIXYY,0,0,0,0
v32.27,IIIYIXYZ,0,0,0,0
v32.27,IIIYIXZI,0,0,0,0
v32.27,IIIYIXZX,0,0,0,0
v32.27,IIIYIXZY,0,0,0,0
v32.27,IIIYIXZZ,0,0,0,0
v32.27,IIIYIYII,0,0,0,0
v32.27,IIIYIYIX,0,0,0,0
v32.27,IIIYIYIY,0,0,0,0
v32.27,IIIYIYIZ,0,0,0,0
v32.27,IIIYIYXI,0,0,0,0
v32.27,IIIYIYXX,0,0,0,0
v32.27,IIIYIYXY,0,0,0,0
v32.27,IIIYIYXZ,0,0,0,0
v32.27,IIIYIYYI,0,0,0,0
v32.27,IIIYIYYX,0,0,0,0
v32.27,IIIYIYYY,0,0,0,0
v32.27,IIIYIYYZ,0,0,0,0
v32.27,IIIYIYZI,0,0,0,0
v32.27,IIIYIYZX,0,0,0,0
v32.27,IIIYIYZY,0,0,0,0
v32.27,IIIYIYZZ,0,0,0,0
v32.27,IIIYIZII,0,0,0,0
v32.27,IIIYIZIX,0,0,0,0
v32.27,IIIYIZIY,0,0,0,0
v32.27,IIIYIZIZ,0,0,0,0
v32.27,IIIYIZXI,0,0,0,0
v32.27,IIIYIZXX,0,0,0,0
v32.27,IIIYIZXY,0,0,0,0
v32.27,IIIYIZXZ,0,0,0,0
v32.27,IIIYIZYI,0,0,0,0
v32.27,IIIYIZYX,0,0,0,0
v32.27,IIIYIZYY,0,0,0,0
v32.27,IIIYIZYZ,0,0,0,0
v32.27,IIIYIZZI,0,0,0,0
v32.27,IIIYIZZX,0,0,0,0
v32.27,IIIYIZZY,0,0,0,0
v32.27,IIIYIZZZ,0,0,0,0
v32.27,IIIYXIII,0,1,1,0
v32.27,IIIYXIIX,0,1,0,0
v32.27,IIIYXIIY,0,1,0,0
v32.27,IIIYXIIZ,0,1,1,0
v32.27,IIIYXIXI,0,1,0,0
v32.27,IIIYXIXX,0,1,0,0
v32.27,IIIYXIXY,0,1,0,0
v32.27,IIIYXIXZ,0,1,0,0
v32.27,IIIYXIYI,0,0,0,0
v32.27,IIIYXIYX,0,0,0,0
v32.27,IIIYXIYY,0,0,0,0
v32.27,IIIYXIYZ,0,0,0,0
v32.27,IIIYXIZI,0,0,1,0
v32.27,IIIYXIZX,0,0,0,0
v32.27,IIIYXIZY,0,0,0,0
v32.27,IIIYXIZZ,0,0,1,0
v32.27,IIIYXXII,0,1,0,0
v32.27,IIIYXXIX,0,1,0,0
v32.27,IIIYXXIY,0,1,0,0
v32.27,IIIYXXIZ,0,1,0,0
v32.27,IIIYXXXI,0,1,1,0
v32.27,IIIYXXXX,0,1,0,0
v32.27,IIIYXXXY,0,1,0,0
v32.27,IIIYXXXZ,0,1,1,0
v32.27,IIIYXXYI,0,0,1,0
v32.27,IIIYXXYX,0,0,0,0
v32.27,IIIYXXYY,0,0,0,0
v32.27,IIIYXXYZ,0,0,1,0
v32.27,IIIYXXZI,0,0,0,0
v32.27,IIIYXXZX,0,0,0,0
v32.27,IIIYXXZY,0,0,0,0
v32.27,IIIYXXZZ,0,0,0,0
v32.27,IIIYXYII,0,0,0,0
v32.27,IIIYXYIX,0,0,0,0
v32.27,IIIYXYIY,0,0,0,0
v32.27,IIIYXYIZ,0,0,0,0
v32.27,IIIYXYXI,0,0,1,0
v32.27,IIIYXYXX,0,0,0,0
v32.27,IIIYXYXY,0,0,0,0
v32.27,IIIYXYXZ,0,0,1,0
v32.27,IIIYXYYI,0,0,1,0
v32.27,IIIYXYYX,0,0,0,0
v32.27,IIIYXYYY,0,0,0,0
v32.27,IIIYXYYZ,0,0,1,0
v32.27,IIIYXYZI,0,0,0,0
v32.27,IIIYXYZX,0,0,0,0
v32.27,IIIYXYZY,0,0,0,0
