version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,7,128,25042006,transverse,13,18,0.5370721885310284,0.267340427217747,0.23739698443899718,-0.10450797646958804,0.13288900796940914,0.36453944638325375,31.0,2.7755575615628914e-17,32,16
v32.22,7,128,25042006,transverse,14,17,0.4512532592343908,0.2191613992413569,0.3174098468251332,-0.1809820759732208,0.1364277708519124,0.369361301237572,31.0,2.7755575615628914e-17,32,16
v32.22,7,128,25042006,transverse,15,16,0.30378308976541624,-0.046623007480397355,0.3884510936428888,0.05667257031731576,0.44512366396020453,0.6671758868246098,31.0,5.551115123125783e-17,32,16
v32.22,7,128,25042007,dephasing,0,63,3.562681311223291,-0.0878482534472999,0.07829229463345759,0.7509092738854216,0.8292015685188792,0.910605056277901,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,1,62,3.4782058707632064,0.11844698539885706,0.09734447345588015,0.6689434282806823,0.7662879017365625,0.8753787190334035,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,2,61,3.3767037924921017,0.10589971726401365,0.06734203661432672,0.32005180060350286,0.3873938372178296,0.6224097020595274,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042007,dephasing,3,60,3.295829393112479,0.2934254356192646,0.09734504438248442,0.5374153756689113,0.6347604200513957,0.796718532514084,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,4,59,2.9737941922141586,0.09638651738813764,0.07234861255672737,0.4051331486831214,0.47748176123984876,0.6910005508245625,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,5,58,2.875501605371344,0.004206552671266822,0.13270775911000665,0.556160678778058,0.6888684378880646,0.8299809864617771,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,6,57,2.811757336455175,0.24328489595557934,0.12575625459942896,0.27985550968916295,0.4056117642885919,0.6368765691157054,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,7,56,2.7574529030817168,-0.3370344695608335,0.12135591674580905,-0.011333582463191615,0.11002233428261743,0.331696147524534,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042007,dephasing,8,55,2.7220686072416598,0.3124739107004714,0.2680348178518726,0.04767183932354305,0.3157066571754157,0.5618777955885209,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,9,54,2.680329933562743,-0.19056347735318896,0.13454278598020103,-0.12391608710301016,0.010626698877190852,0.10308588107588183,63.0,1.0408340855860843e-17,64,32
v32.22,7,128,25042007,dephasing,10,53,2.6614209254146797,-0.09203217272675568,0.20896521557847506,-0.2039427619604136,0.005022453618061419,0.07086927132447052,63.0,2.862293735361732e-17,64,32
v32.22,7,128,25042007,dephasing,11,52,2.6326297503664513,0.036121474424399974,0.2673808564218,0.43609718998222524,0.7034780464040252,0.8387359813457542,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,12,51,2.512119394755678,0.1579736094847168,0.105233651650744,-0.0691458873273133,0.03608776432343069,0.18996779812228884,63.0,6.938893903907228e-18,64,32
v32.22,7,128,25042007,dephasing,13,50,2.471271010500203,0.04755358028779669,0.27116927722618267,-0.17369419442619932,0.09747508279998336,0.31220999791804127,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042007,dephasing,14,49,2.43644647669292,0.18056793716380984,0.3363148022893983,0.17168811350067412,0.5080029157900725,0.7127432327213443,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,15,48,2.4050351505892653,-0.12479806364782223,0.06912152718878439,0.07884789954330443,0.1479694267320888,0.38466794346824484,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042007,dephasing,16,47,1.6269984419917036,-0.03656530340554606,0.520032307108095,0.15927223466974808,0.6793045417778432,0.8241993337644984,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,17,46,1.547344580796995,0.15582559892857048,0.5153009428303452,-0.17097293777935044,0.3443280050509948,0.5867946873063821,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,18,45,1.4827840388609697,0.2550080797513734,0.06605700769840088,0.09347726469543326,0.1595342723938341,0.3994174162374923,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042007,dephasing,19,44,1.4241408101935946,-0.009624303670368456,0.0660919208684447,-0.05457382262278589,0.011518098245658808,0.10732240327936571,63.0,8.673617379884035e-18,64,32
v32.22,7,128,25042007,dephasing,20,43,1.0768831735510072,0.12372312608925717,0.10736343774391645,0.4714643541114239,0.5788277918553404,0.7608073289968627,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,21,42,1.0148068954073963,-0.040520239138744696,0.8777051047276603,0.045465511522512464,0.9231706162501728,0.9608176810665865,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,22,41,1.0142575933632765,-0.12226250595229607,0.8887715059632038,-0.011512259557800124,0.8772592464054035,0.9366211861822278,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,23,40,0.9711603160389939,-0.016922251607611266,0.09862739041200522,0.21406161559651304,0.31268900600851823,0.5591860209344635,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,24,39,0.8743378407815539,0.13666972890245233,0.3710894711087475,0.012197477107835478,0.383286948216583,0.6191017268725576,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,25,38,0.8696434793414882,0.03235354883200375,0.37933669065311776,-0.3580240212063767,0.02131266944674102,0.14598859355011617,63.0,3.469446951953614e-17,64,32
v32.22,7,128,25042007,dephasing,26,37,0.8551326887696349,-0.011315982408627578,0.5341875618542306,-0.06776796194526949,0.4664195999089611,0.6829491927727576,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,27,36,0.8135803308210463,-0.03667712791389041,0.15246571372677264,0.2831579594904492,0.43562367321722184,0.660017934011813,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,dephasing,28,35,0.6026272030169486,0.34033597877973415,0.06675234265329885,-0.03931762610866756,0.02743471654463129,0.16563428553482304,63.0,6.938893903907228e-18,64,32
v32.22,7,128,25042007,dephasing,29,34,0.5027122408548748,0.003876454229426979,0.0680887765153104,-0.021044114641827857,0.047044661873482524,0.21689781435847277,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042007,dephasing,30,33,0.48628181495039635,-0.1932061472957296,0.055679422105659286,0.016141247727824826,0.07182066983348412,0.26799378693074977,63.0,0.0,64,32
v32.22,7,128,25042007,dephasing,31,32,0.3238968556264258,0.2002839624708652,0.03783811539638365,0.007365812583116343,0.045203927979499986,0.21261215388472032,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,0,63,3.562681311223291,-0.0878482534472999,0.8105488608210453,0.16769683632120094,0.9782456971422462,0.9890630400243688,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,1,62,3.4782058707632064,0.11844698539885706,0.8004277443488172,-0.15041498957340668,0.6500127547754104,0.8062336849669645,63.0,1.1102230246251565e-16,64,32
