version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K5_norm,K6_norm,K3_over_K2,K5_over_K2
v32.25,25042000,dephasing,35,0.07278294475567904,4,7.542886475801152,0.07033659115127801,12.78443127616578,122.97559578172698,10308.496525213184,0.009324890594194892,16.30351937235876
v32.25,25042000,dephasing,36,0.2619864687735263,4,1.4374558802109365,0.23775794373169554,134.12716243193918,116.38897842774401,32399.771194213776,0.16540190694187165,80.96873095726927
v32.25,25042000,dephasing,37,0.26482062964046393,4,2.455821420040909,0.31571349334697646,147.93404925999232,90.73728901537316,34795.68746501148,0.12855718692351714,36.947836790942915
v32.25,25042000,dephasing,38,0.2812054412565679,4,1.213368930527385,0.22075216665745373,135.44039266915715,86.08807271537647,29314.697099280293,0.181933261272402,70.94962673715298
v32.25,25042000,dephasing,39,0.2843715887463743,4,2.3713177441735294,0.32222848676962085,144.03040457497562,65.62470283025513,30789.176514800693,0.1358858329135164,27.674360802764195
v32.25,25042000,dephasing,40,0.6293356210701317,4,1.9968541372169815,0.008300156620894797,116.60641238616454,4.33198808720704,5264.502287697247,0.004156616382838427,2.169406370985383
v32.25,25042000,dephasing,41,0.6353883011550365,4,2.970742373117034,0.3093928249747749,65.49786898848022,8.892481916254956,2558.193283380261,0.10414663613194645,2.993353444824154
v32.25,25042000,dephasing,42,0.6523641195267388,4,1.9634699758593208,0.03521778892520793,176.89138990310764,19.34952275444162,7489.7025079359255,0.017936504941866868,9.854758663153593
v32.25,25042000,dephasing,43,0.6587625915442124,4,3.343847142231574,0.2696191718671313,121.72724313040769,3.7651846535341176,6133.715620047149,0.08063142853090956,1.1260038193675794
v32.25,25042000,dephasing,44,1.0687765868124621,4,2.299450341950258,0.16042997148237967,190.7690419508952,20.113377922931274,11524.065338971131,0.06976883499311076,8.74703730539025
v32.25,25042000,dephasing,45,1.0741101228597905,4,3.70469616148372,0.27458361993806896,175.83073650271527,18.75896206007432,10405.919983618895,0.07411771653308784,5.063562905671976
v32.25,25042000,dephasing,46,1.0881648225246672,4,2.4210925556857728,0.09037848316625034,203.78254464026517,18.127833606056992,10970.55303041895,0.037329627466741226,7.48745997483037
v32.25,25042000,dephasing,47,1.0939615772545648,4,3.8981997514381184,0.1899678518519141,183.85030815108914,14.64427161166355,10583.659533100692,0.04873220049378727,3.7566755285593065
v32.25,25042000,dephasing,48,1.4275616977982164,4,1.924279006160843,0.08470886303157568,138.5942391602264,19.975955970029826,7069.602509818715,0.044021091931247314,10.381008110608734
v32.25,25042000,dephasing,49,1.4334527954745644,4,3.211423181358416,0.10567725417706714,124.71369151686922,24.694234348611406,6196.5361042881,0.03290667352421806,7.689498690784771
v32.25,25042000,dephasing,50,1.4584129115423414,4,1.7083425418461946,0.3007977897987753,147.4308249063973,61.503660066021936,7892.254488460414,0.17607580589411834,36.00194841460503
v32.25,25042000,dephasing,51,1.4639107662982664,4,3.0673797250911963,0.6109025978441206,133.4682973457088,53.73763625653853,7318.357851891605,0.19916106012142265,17.51906874032065
v32.25,25042000,dephasing,52,1.6720595812293473,4,1.9107528466316412,0.7512181574705971,164.7704751778823,3.2045687109108307,9947.907320023238,0.39315297046129083,1.677123609450581
v32.25,25042000,dephasing,53,1.6764420039565993,4,3.175273016924428,0.4592156159819103,167.59542431260527,3.0441184168303903,10372.99801375373,0.14462240365923146,0.9586950163356114
v32.25,25042000,dephasing,54,1.6886100349699211,4,2.3337666526378897,0.15882496313262898,230.32106812481913,45.354672884865074,15676.810764426278,0.06805520292832484,19.434107876038095
v32.25,25042000,dephasing,55,1.6921458564839147,4,3.6067441032132166,0.09761051679179057,227.46071063735394,43.04841275272758,15690.464404979177,0.027063333022387205,11.935532857564285
v32.25,25042000,dephasing,56,1.9644309918628977,4,1.2494623744344013,0.11234615533421304,118.3309891899457,37.521936648675315,5421.589751226783,0.08991559700632776,30.030465435712305
