version,seed,family,target_group,partner_target_group,target_energy,K3_norm,K3_reconstruction_residual,K3_pair_cancel_sum_norm,median_K3_anti_pair_residual,median_K3_same_pair_residual,median_K3_pair_sum_norm,median_K5_anti_pair_residual,median_K5_same_pair_residual,median_K5_pair_sum_norm,n_K3_pairs,n_K5_samples
v32.26,25042000,transverse,37,26,0.26482062964046393,1.0307035676522526e-12,0.0,6.157214502675784e-13,1.1652647187630119e-09,1.9999999998204296,6.329657630079797e-16,1.1655248351909146e-09,1.9999999998396594,4.9288379152926755e-18,2047,200
v32.26,25042000,transverse,38,25,0.2812054412565679,5.239051798935879e-13,0.0,7.082776113049323e-13,1.206746024445421e-09,1.9999999998838476,5.432671299695772e-16,1.1291214647729504e-09,1.9999999999012172,5.003898537558156e-18,2047,200
v32.26,25042000,transverse,39,24,0.2843715887463743,4.4839916903100257e-13,0.0,6.806416767248837e-13,1.2833448575535318e-09,1.9999999998680944,5.234538831955845e-16,8.326363551119347e-10,1.9999999998909312,7.867717221001427e-18,2047,200
v32.26,25042000,transverse,40,23,0.6293356210701317,1.277751324325912e-10,0.0,2.892082713473467e-13,9.463045219522637e-10,1.999999999839876,2.268962938254055e-16,1.8184125888494996e-09,1.9999999997543139,1.8713233004324955e-18,2047,200
v32.26,25042000,transverse,41,22,0.6353883011550365,1.303941783435892e-10,0.0,3.8496669550233107e-13,9.45682144415025e-10,1.999999999841938,3.0148443290706594e-16,1.4059424099664487e-09,1.9999999997802724,2.7013088121697385e-18,2047,200
v32.26,25042000,transverse,42,21,0.6523641195267388,1.3742858422352705e-10,0.0,3.402142619625701e-13,9.97534160306251e-10,1.999999999854317,2.42759642925413e-16,1.4812242845387376e-09,1.9999999997737574,2.3905608068315924e-18,2047,200
v32.26,25042000,transverse,43,20,0.6587625915442124,1.2683003488758374e-10,0.0,2.026023012436073e-13,1.090990698441911e-09,1.999999999818696,2.231272110422783e-16,1.4179690374995086e-09,1.9999999998024216,1.717738610544417e-18,2047,200
v32.26,25042000,transverse,44,19,1.0687765868124621,1.865791060641883e-13,0.0,3.248990323440459e-14,1.5127716675047935e-09,1.999999999817621,2.1753782978205016e-16,1.9872844707337113e-09,1.999999999791029,2.494707922498532e-18,2047,200
v32.26,25042000,transverse,45,18,1.0741101228597905,2.1239144760003953e-13,0.0,4.413356658909728e-14,1.4431378144210068e-09,1.9999999998431919,2.9602379537286254e-16,1.7425097342977917e-09,1.9999999998775089,3.4588631726899214e-18,2047,200
v32.26,25042000,transverse,46,17,1.0881648225246672,2.2998208388768297e-13,0.0,9.576267081733376e-14,1.3999026520333331e-09,1.9999999998320663,3.056253903653162e-16,1.8088647784701118e-09,1.9999999997663287,2.501970880746303e-18,2047,200
v32.26,25042000,transverse,47,16,1.0939615772545648,1.9426578311219985e-13,0.0,7.791061294010535e-14,1.3377373052858737e-09,1.9999999998521807,2.2639396967088417e-16,1.2559385834030254e-09,1.9999999998319722,2.5208789412120196e-18,2047,200
v32.26,25042000,transverse,48,15,1.4275616977982164,6.296772113173305e-12,0.0,2.999210789439819e-13,1.0379399567163836e-09,1.9999999998558757,1.5858686481326854e-16,1.2366256796581973e-09,1.9999999998348794,1.6848816642132095e-18,2047,200
v32.26,25042000,transverse,49,14,1.4334527954745644,6.377613517641379e-12,0.0,3.2121883550693366e-13,9.757109820728308e-10,1.9999999998634206,1.9289013385843223e-16,1.2100603596915524e-09,1.9999999998436837,1.4839493492547532e-18,2047,200
v32.26,25042000,transverse,50,13,1.4584129115423414,8.735230054817068e-12,0.0,3.0408946862812714e-13,8.980091236712183e-10,1.9999999998743234,2.0464163337344192e-16,1.0292651524888328e-09,1.999999999875093,1.91635682006639e-18,2047,200
v32.26,25042000,transverse,51,12,1.4639107662982664,9.879594823698887e-12,0.0,2.881591931834934e-13,9.679536314951809e-10,1.9999999998775262,1.5453757868319022e-16,9.235043210826961e-10,1.9999999998696176,1.7351199220751923e-18,2047,200
v32.26,25042000,transverse,52,11,1.6720595812293473,1.7294107295747915e-11,0.0,3.373877468632452e-13,1.5420570794854955e-09,1.9999999998469904,1.5552128595492655e-16,9.82835292996581e-10,1.9999999999044156,1.034520036264819e-18,2047,200
v32.26,25042000,transverse,53,10,1.6764420039565993,1.721495163210728e-11,0.0,3.424369814572804e-13,1.238405473601093e-09,1.9999999998463933,1.6621344136572438e-16,6.788445876473628e-10,1.9999999999062985,1.485843669415675e-18,2047,200
