version,seed,family,validation_pair_rank,pair_prominence,sign,group,delta,rel_fro_error_dSigma,analytic_R_E,fd_R_E,analytic_D_signed,fd_D_signed,abs_error_D_signed,sigma0_fro
v32.17,25042000,transverse,2,0.023834044377988334,plus,55,0.0001,142.89286490838197,3.912059117167406e-11,5.587110110835434e-09,2.6256620857264373e-10,-4.163780431554187e-08,4.190037052411452e-08,8.3705369488942
v32.17,25042000,transverse,2,0.023834044377988334,plus,55,0.0003,94.32340838376814,3.912059117167406e-11,3.692217155394038e-09,2.6256620857264373e-10,-3.315866100213801e-09,3.5784323087864447e-09,8.3705369488942
v32.17,25042000,transverse,2,0.023834044377988334,plus,55,0.001,17.156436450954043,3.912059117167406e-11,6.784380590024115e-10,2.6256620857264373e-10,6.679101716144942e-09,6.416535507572298e-09,8.3705369488942
v32.17,25042000,transverse,2,0.023834044377988334,plus,55,0.003,6.5380323164413285,3.912059117167406e-11,2.722690824838022e-10,2.6256620857264373e-10,1.5489831639570184e-09,1.2864169553843747e-09,8.3705369488942
v32.17,25042000,transverse,3,0.6326899225480247,minus,22,0.0001,315.27082061669523,1.5113672119657394e-10,4.766118441673603e-08,2.616502552953117e-09,1.4426859706873074e-06,1.4400694681343542e-06,37.59858210199096
v32.17,25042000,transverse,3,0.6326899225480247,minus,22,0.0003,28.661020531216025,1.5113672119657394e-10,4.356696757244203e-09,2.616502552953117e-09,-7.465435677052787e-08,7.727085932348099e-08,37.59858210199096
v32.17,25042000,transverse,3,0.6326899225480247,minus,22,0.001,19.851654443116217,1.5113672119657394e-10,3.015266068050872e-09,2.616502552953117e-09,1.538182914373465e-07,1.5120178888439338e-07,37.59858210199096
v32.17,25042000,transverse,3,0.6326899225480247,minus,22,0.003,10.784669006188688,1.5113672119657394e-10,1.6508855237328376e-09,2.616502552953117e-09,2.2282620193436742e-08,1.9666117640483625e-08,37.59858210199096
v32.17,25042000,transverse,3,0.6326899225480247,plus,41,0.0001,141.56102083345772,1.3763143272538585e-10,1.953911589167966e-08,3.837293847915142e-09,1.7280399333685637e-07,1.6896669948894122e-07,37.598582101990075
v32.17,25042000,transverse,3,0.6326899225480247,plus,41,0.0003,118.3903043722937,1.3763143272538585e-10,1.6286711736567863e-08,3.837293847915142e-09,-4.115463525522501e-07,4.153836464001652e-07,37.598582101990075
v32.17,25042000,transverse,3,0.6326899225480247,plus,41,0.001,33.13839572045137,1.3763143272538585e-10,4.589163269530836e-09,3.837293847915142e-09,-5.60476109967567e-08,5.988490484467185e-08,37.598582101990075
v32.17,25042000,transverse,3,0.6326899225480247,plus,41,0.003,12.587674708803963,1.3763143272538585e-10,1.6958829083229011e-09,3.837293847915142e-09,-8.234716612302388e-08,8.618445997093903e-08,37.598582101990075
