version,seed,family,g_minus,g_plus,E_abs,prominence,gamma_map_unitarity_residual,projector_map_residual,K2_pair_symmetry_residual,K3_pair_symmetry_residual,K4_pair_symmetry_residual,K5_pair_symmetry_residual,K6_pair_symmetry_residual,K3_over_K2_pair,K5_over_K2_pair
v32.25,25042000,transverse,15,48,1.4275616977982164,0.00545299082877565,1.6978397210531682e-15,2.0674851379936572e-13,2.687640159236722e-13,0.9924922186349403,4.5275501706501864e-13,1.0197405848009298,6.895356382713013e-13,9.980572972923488e-13,7.93260015963517e-11
v32.25,25042000,transverse,16,47,1.0939615772545648,-0.12727287836418105,1.7403504663060433e-15,2.181406444468827e-13,2.6323490146489862e-14,1.1374344121545328,2.5155303959649003e-13,1.2173912280267045,4.20104456523704e-13,1.8174839436911815e-13,1.6605177888712668e-11
v32.25,25042000,transverse,17,46,1.0881648225246672,-0.0019399843253508076,9.433833935899771e-16,2.336184993330641e-13,4.079558890914653e-14,1.2246205432936244,1.226193675512715e-13,1.1212920643339508,2.5674556160222086e-13,2.6512539186838617e-13,4.841596068126726e-11
v32.25,25042000,transverse,18,45,1.0741101228597905,-0.025214000864455688,1.3292968786339287e-15,2.840554399910002e-13,4.459836907118715e-14,1.3599640167628484,1.6695934916593338e-13,1.1931550554576318,5.41498579020595e-12,2.1874704268651855e-13,6.889340815775014e-12
v32.25,25042000,transverse,19,44,1.0687765868124621,-0.2796673059394926,2.407287461998473e-15,2.749074499133273e-13,3.6871965283524616e-14,1.4714413509313153,2.300176411260862e-13,1.4545086058359946,4.627109952558816e-13,2.0892339811034823e-13,2.2767984511384974e-11
v32.25,25042000,transverse,20,43,0.6587625915442124,0.271925888444691,2.3859505498054672e-15,2.0935419504631108e-13,4.960443451451605e-14,1.3139449954238016,2.6839806133962185e-13,1.2350358502731904,2.2769992515565317e-13,3.2669740750650396e-12,2.333488118852539e-10
v32.25,25042000,transverse,21,42,0.6523641195267388,0.34473424651455187,2.112274983439583e-15,2.1164359158346317e-13,9.347079417302871e-14,1.3230531977181164,1.4942101984722112e-13,1.3442260107913355,1.5200622583475496e-13,3.8526897111404435e-12,1.8237237977555744e-09
v32.25,25042000,transverse,22,41,0.6353883011550365,0.6326899225480247,1.5722862010100528e-15,2.2697814080118028e-13,1.221796379188873e-13,1.08982427744975,1.7096758615422175e-13,1.1063914492153644,3.381472240800616e-13,3.703018571970458e-12,2.1589664992492874e-09
v32.25,25042000,transverse,23,40,0.6293356210701317,0.16502413161883028,2.0582462973858255e-15,2.2015557899407164e-13,6.689132194647886e-14,1.0784569596265483,2.1922527050620098e-13,1.0492087633228613,2.684672305658992e-13,3.231173036173756e-12,4.745465795239234e-10
v32.25,25042000,transverse,24,39,0.2843715887463743,-0.5475178260577758,3.5075596070576062e-15,7.370053254910627e-13,1.164165744707551e-13,1.4677063756840043,1.8727199165251837e-13,1.3328183092206707,2.5206267894668915e-13,8.9153657338508e-13,1.370716884050205e-10
v32.25,25042000,transverse,25,38,0.2812054412565679,-0.46029967445888076,1.674609274764027e-15,7.507611157621597e-13,2.298344792499628e-13,1.4763578056902176,2.989164520213705e-13,1.1019420795093047,2.256579841308058e-13,2.0160091667620953e-12,7.517500280898698e-11
v32.25,25042000,transverse,26,37,0.26482062964046393,-0.585737424372401,2.8018399526812942e-15,1.2922957529263934e-12,1.4410443619241216e-13,1.3004342073391757,3.656790440861684e-13,1.1881467886402077,5.041709789621766e-13,1.5030618661729908e-12,2.05674353860142e-11
v32.25,25042000,transverse,27,36,0.2619864687735263,-0.751304197451854,2.093689786966272e-15,1.2868786808498777e-12,1.8346293720725835e-13,1.338763179371852,3.335392536969178e-13,1.4984857840775088,6.261145837510619e-13,1.5598991442968263e-12,9.390899015071925e-11
v32.25,25042000,transverse,28,35,0.07278294475567904,0.1666843876215432,1.3223645839958022e-15,8.819217419391118e-13,1.0097893064634498e-13,0.8953815675336209,9.149609723595278e-14,0.8968254552509255,1.1004536463594454e-12,3.6053782908565614e-11,1.0619781388991295e-08
v32.25,25042000,transverse,29,34,0.07081255002358793,0.12307328643041221,2.076016866393372e-15,8.837232105233947e-13,7.605363247764363e-14,0.8988461487727427,8.00012685822469e-14,0.893567616389485,5.299015275853921e-13,3.865579281143259e-11,1.553535066130224e-08
v32.25,25042000,transverse,30,33,0.048600388009180644,0.1783224940845633,1.7438518595520495e-15,5.829020839344378e-13,7.398120426227844e-14,1.1954041449757642,7.889815919722534e-14,1.202470791490462,5.702688348282324e-13,1.9293281627585746e-11,6.155298963557203e-09
v32.25,25042000,transverse,31,32,0.04659378773055864,0.07724022316920248,1.7655087987584548e-15,5.814947726407373e-13,8.899697888083925e-14,1.1939051059649417,1.0208617911307762e-13,1.1959149787379626,3.7283937145904785e-13,2.101615397002454e-11,6.9965267141101265e-09
