version,seed,family,group,lambda,exact_norm,k2_term_norm,k3_term_norm,k4_term_norm,abs_err_K2,abs_err_K2K3,abs_err_K2K3K4,rel_err_K2,rel_err_K2K3,rel_err_K2K3K4
v32.24,25042000,dephasing,16,0.01,0.0003916634227323853,0.0003898199751438385,1.8996785185391375e-07,1.8385030815111745e-06,1.859007725457604e-06,1.8491243976032116e-06,1.0745684333389064e-08,0.0047464420151580545,0.004721207777593968,2.7436017023043138e-05
v32.24,25042000,dephasing,16,0.003,3.509865180543739e-05,3.508379776294546e-05,5.12913200005567e-09,1.4891874960240513e-08,1.575886910132114e-08,1.4899578154485167e-08,8.501238289534072e-12,0.00044898787533713234,0.0004245057114181509,2.42209824373285e-07
v32.24,25042000,dephasing,16,0.001,3.898383050620623e-06,3.898199751438384e-06,1.8996785185391372e-10,1.8385030815111748e-10,2.643826179037377e-10,1.8386087017972954e-10,1.8069746123367888e-14,6.781853257381878e-05,4.716336691194542e-05,4.635189997681522e-09
v32.24,25042000,dephasing,16,0.0003,3.508394622754202e-07,3.508379776294546e-07,5.129132000055669e-12,1.4891874960240508e-12,5.340979540494635e-12,1.4891951953331502e-12,3.641258648483995e-17,1.5223428703985971e-05,4.2446627459601e-06,1.037870319623706e-10
v32.24,25042000,dephasing,17,0.01,0.00024008330844114276,0.00024210925556859323,9.037848316803665e-08,2.037825446402827e-06,2.0288928800448425e-06,2.026957714072308e-06,1.1050304425672006e-08,0.008450786909004266,0.008442726515363827,4.6026958298023565e-05
v32.24,25042000,dephasing,17,0.003,2.1773342942971462e-05,2.178983300117339e-05,2.4402190455369894e-09,1.6506386115862897e-08,1.6677271279699585e-08,1.649841889738165e-08,9.12501626528698e-12,0.0007659490471160327,0.0007577347649643949,4.1909119280338064e-07
v32.24,25042000,dephasing,17,0.001,2.4208888874857412e-06,2.421092555685932e-06,9.037848316803664e-11,2.037825446402827e-10,2.2290787023344356e-10,2.03771610262205e-10,2.118734859526483e-14,9.20768695274357e-05,8.417222752996143e-05,8.751888079121773e-09
v32.24,25042000,dephasing,17,0.0003,2.1789668021889207e-07,2.1789833001173386e-07,2.4402190455369887e-12,1.650638611586289e-12,2.9460209046441265e-12,1.65063064001282e-12,4.4770419513156615e-17,1.3520265208651402e-05,7.575290446621991e-06,2.054662763479539e-10
v32.24,25042000,dephasing,18,0.01,0.0003722311976238504,0.00037046961614830014,2.7458361993987825e-07,1.758307365026366e-06,1.7902218683134697e-06,1.7687473502208674e-06,1.0634528997220729e-08,0.004809435317999693,0.004751743973938031,2.8569687509017463e-05
v32.24,25042000,dephasing,18,0.003,3.335645782492396e-05,3.334226545334701e-05,7.413757738376712e-09,1.4242289656713565e-08,1.606516485846967e-08,1.4249861275814551e-08,8.855111631800675e-12,0.00048162082865003047,0.0004271994751543148,2.6546918375679965e-07
