seed,family,candidate,pearson,spearman,n_pairs
25042007,transverse,delta_sigma,0.24914148031137057,0.24705882352941175,16
25042007,transverse,delta_sigma_over_gap,0.013248939608794601,0.09999999999999999,16
25042007,transverse,local_real_sigma,0.28684255004469955,0.31764705882352945,16
25042007,transverse,local_delta_sigma,0.2761316075435162,0.27058823529411763,16
25042007,transverse,real_pvq2,0.3743944746338181,0.27941176470588236,16
25042007,transverse,real_pvq2_over_gap,-0.12910830966806383,-0.1264705882352941,16
25042007,transverse,real_gap,0.08543841040230894,0.08823529411764705,16
25042008,dephasing,real_sigma,-0.14465501938390668,-0.0689149560117302,32
25042008,dephasing,real_sigma_over_gap,-0.20075220546545294,-0.09677419354838708,32
25042008,dephasing,delta_sigma,-0.03342652968233019,0.08944281524926685,32
25042008,dephasing,delta_sigma_over_gap,0.05005295063995784,0.17705278592375365,32
25042008,dephasing,local_real_sigma,-0.23959068058447078,-0.16202346041055718,32
25042008,dephasing,local_delta_sigma,0.08127991006577745,0.11217008797653959,32
25042008,dephasing,real_pvq2,0.15013622914213595,0.14846041055718476,32
25042008,dephasing,real_pvq2_over_gap,-0.2131201518296785,-0.23057184750733137,32
25042008,dephasing,real_gap,0.1237278747296119,0.22346471502888338,32
25042008,transverse,real_sigma,0.2655730140516294,0.4560117302052785,32
25042008,transverse,real_sigma_over_gap,0.23868648051795996,0.32074780058651026,32
25042008,transverse,delta_sigma,0.3458773152042649,0.34934017595307915,32
25042008,transverse,delta_sigma_over_gap,0.024636860420319942,0.19281524926686217,32
25042008,transverse,local_real_sigma,0.21192654324568588,0.5025659824046921,32
25042008,transverse,local_delta_sigma,0.38668441169746015,0.38563049853372433,32
25042008,transverse,real_pvq2,-0.3539663444418248,-0.35926180734794233,32
25042008,transverse,real_pvq2_over_gap,-0.21303336818515706,-0.2225073313782991,32
25042008,transverse,real_gap,0.1237278747296119,0.22346471502888338,32
25042009,dephasing,real_sigma,0.1952060424501983,0.5941176470588235,16
25042009,dephasing,real_sigma_over_gap,0.17557526409948143,0.5794117647058823,16
25042009,dephasing,delta_sigma,0.15826649729959422,0.014705882352941175,16
25042009,dephasing,delta_sigma_over_gap,0.25745353852330627,0.1264705882352941,16
25042009,dephasing,local_real_sigma,0.42794822477837896,0.5411764705882353,16
25042009,dephasing,local_delta_sigma,0.31317196239067724,0.1323529411764706,16
25042009,dephasing,real_pvq2,0.1513435241743831,0.0,16
25042009,dephasing,real_pvq2_over_gap,0.1944358162994437,0.1323529411764706,16
25042009,dephasing,real_gap,-0.15070213030744575,-0.09131085013144127,16
25042009,transverse,real_sigma,0.2020631476739787,0.07941176470588236,16
25042009,transverse,real_sigma_over_gap,0.2988203474681382,0.17352941176470588,16
25042009,transverse,delta_sigma,0.08474945447668102,-0.01764705882352941,16
25042009,transverse,delta_sigma_over_gap,0.24735948535934918,0.055882352941176466,16
25042009,transverse,local_real_sigma,0.17374580562522327,0.15882352941176472,16
25042009,transverse,local_delta_sigma,-0.03166210090289537,-0.15588235294117647,16
25042009,transverse,real_pvq2,-0.06844499522056681,-0.008823529411764706,16
25042009,transverse,real_pvq2_over_gap,0.1797932269930176,0.13529411764705881,16
25042009,transverse,real_gap,-0.15070213030744575,-0.09131085013144127,16
25042010,dephasing,real_sigma,0.0868358650537426,0.12941176470588234,16
25042010,dephasing,real_sigma_over_gap,0.06103641065421809,0.044117647058823525,16
25042010,dephasing,delta_sigma,0.26303552295081445,0.38235294117647056,16
25042010,dephasing,delta_sigma_over_gap,-0.16608168283049837,0.049999999999999996,16
25042010,dephasing,local_real_sigma,-0.04757147004339537,-0.02058823529411765,16
25042010,dephasing,local_delta_sigma,0.05530123554188172,0.10882352941176471,16
25042010,dephasing,real_pvq2,0.1439802256127374,0.19117647058823528,16
25042010,dephasing,real_pvq2_over_gap,-0.10863262220782575,-0.17941176470588235,16
25042010,dephasing,real_gap,0.1958190996044829,0.2088235294117647,16
25042010,transverse,real_sigma,0.7266162879473924,0.7176470588235294,16
