version,seed,family,group,lambda,leading_norm,exact_norm,abs_error,rel_error
v32.23,25042000,dephasing,30,0.001,1.139161415965055e-05,1.1391655427607556e-05,8.486420568552416e-11,7.4497085747615826e-06
v32.23,25042000,dephasing,30,0.0003,1.0252452743685494e-06,1.025245608075902e-06,2.006542540968055e-12,1.9571341523167603e-06
v32.23,25042000,dephasing,31,0.01,0.0011389448135618327,0.0011385109300890033,4.4379366758781227e-07,0.0003896533548451151
v32.23,25042000,dephasing,31,0.003,0.00010250503322056494,0.0001025010039015868,4.790174459765272e-09,4.673111465129743e-05
v32.23,25042000,dephasing,31,0.001,1.1389448135618326e-05,1.1389397753657053e-05,1.0779940716836648e-10,9.46484903260979e-06
v32.23,25042000,dephasing,31,0.0003,1.0250503322056492e-06,1.0250499235181566e-06,2.6030473925419167e-12,2.5394337338936486e-06
v32.23,25042000,dephasing,32,0.01,0.001138944813561829,0.0011385109300889992,4.43793667588383e-07,0.00038965335484561747
v32.23,25042000,dephasing,32,0.003,0.00010250503322056461,0.00010250100390158649,4.790174459787407e-09,4.673111465151352e-05
v32.23,25042000,dephasing,32,0.001,1.138944813561829e-05,1.1389397753657021e-05,1.0779940717688242e-10,9.464849033357523e-06
v32.23,25042000,dephasing,32,0.0003,1.025050332205646e-06,1.0250499235181534e-06,2.603047393321732e-12,2.5394337346544147e-06
v32.23,25042000,dephasing,33,0.01,0.0011391614159650594,0.0011396457810816504,5.097871536220179e-07,0.0004475109027372941
v32.23,25042000,dephasing,33,0.003,0.00010252452743685536,0.0001025279197795888,4.046715107198413e-09,3.947070236135227e-05
v32.23,25042000,dephasing,33,0.001,1.1391614159650594e-05,1.1391655427607594e-05,8.486420569852095e-11,7.449708575902462e-06
v32.23,25042000,dephasing,33,0.0003,1.0252452743685534e-06,1.0252456080759056e-06,2.0065425423292015e-12,1.9571341536443824e-06
v32.23,25042000,dephasing,34,0.01,0.0007523518075247097,0.0007523916068537485,8.587877293223266e-08,0.00011414709458169557
v32.23,25042000,dephasing,34,0.003,6.771166267722388e-05,6.771199837607814e-05,1.9928806142357664e-09,2.9431866467903323e-05
v32.23,25042000,dephasing,34,0.001,7.523518075247096e-06,7.523522222982485e-06,7.255787719643227e-11,9.644142071666285e-06
v32.23,25042000,dephasing,34,0.0003,6.771166267722386e-07,6.771166603706758e-07,1.9551774113881217e-12,2.887504654417213e-06
v32.23,25042000,dephasing,35,0.01,0.0007542886475801151,0.0007544169538836838,1.5830806450741446e-07,0.00020987729964555796
v32.23,25042000,dephasing,35,0.003,6.788597828221037e-05,6.788696652079026e-05,2.1926973118657405e-09,3.229970853112594e-05
v32.23,25042000,dephasing,35,0.001,7.542886475801151e-06,7.542898599372042e-06,7.161063254501985e-11,9.493796940303795e-06
v32.23,25042000,dephasing,35,0.0003,6.788597828221035e-07,6.788598809510789e-07,1.9022048545597734e-12,2.8020585438896886e-06
v32.23,25042000,dephasing,36,0.01,0.00014374558802109414,0.0001448529361471192,1.3334408754949505e-06,0.009276395149597725
v32.23,25042000,dephasing,36,0.003,1.2937102921898472e-05,1.2946227503489991e-05,1.2613194941137612e-08,0.0009749628658969247
v32.23,25042000,dephasing,36,0.001,1.4374558802109411e-06,1.4375686990530286e-06,2.730640970118936e-10,0.00018996346306769603
v32.23,25042000,dephasing,36,0.0003,1.2937102921898467e-07,1.293719432080586e-07,6.511015217021151e-12,5.0328232343270915e-05
v32.23,25042000,dephasing,37,0.01,0.0002455821420040909,0.0002469648044126663,1.5446754103355205e-06,0.006289852339140317
v32.23,25042000,dephasing,37,0.003,2.2102392780368173e-05,2.2113371424263145e-05,1.4712877582728257e-08,0.0006656689947070598
v32.23,25042000,dephasing,37,0.001,2.455821420040908e-06,2.4559567224704936e-06,3.485861386535936e-10,0.00014194278778128217
v32.23,25042000,dephasing,37,0.0003,2.210239278036817e-07,2.2102502353584907e-07,8.607858251299726e-12,3.894536820893625e-05
v32.23,25042000,dephasing,38,0.01,0.00012133689305273832,0.00012246509395548476,1.3456834033968444e-06,0.011090471904632925
v32.23,25042000,dephasing,38,0.003,1.0920320374746449e-05,1.0929598351272551e-05,1.2476051522848494e-08,0.0011424620427528589
v32.23,25042000,dephasing,38,0.001,1.213368930527383e-06,1.2134836263420836e-06,2.590422065836135e-10,0.00021349006066194762
v32.23,25042000,dephasing,38,0.0003,1.0920320374746447e-07,1.0920413292455324e-07,6.060617662330161e-12,5.549853350773035e-05
