version,seed,family,group,lambda,leading_norm,exact_norm,abs_error,rel_error
v32.23,25042000,dephasing,23,0.003,1.7971687234953167e-05,1.7962349487068698e-05,9.44399786968225e-09,0.0005254931129290188
v32.23,25042000,dephasing,23,0.001,1.9968541372170186e-06,1.9967388160450067e-06,1.168961360227112e-10,5.854014764725246e-05
v32.23,25042000,dephasing,23,0.0003,1.7971687234953165e-07,1.7971593821086012e-07,9.707296567127299e-13,5.401438629672768e-06
v32.23,25042000,dephasing,24,0.01,0.00023713177441735367,0.0002384924833452394,1.5045282807667565e-06,0.006344692879996654
v32.23,25042000,dephasing,24,0.003,2.1341859697561828e-05,2.1352681449351542e-05,1.4561606839770632e-08,0.0006823026224576954
v32.23,25042000,dephasing,24,0.001,2.3713177441735364e-06,2.3714511324865284e-06,3.5290631743312297e-10,0.00014882287213522272
v32.23,25042000,dephasing,24,0.0003,2.1341859697561827e-07,2.1341967722447176e-07,8.777887900301312e-12,4.1129911004447896e-05
v32.23,25042000,dephasing,25,0.01,0.00012133689305273721,0.00012246509395548268,1.3456834033962678e-06,0.011090471904628276
v32.23,25042000,dephasing,25,0.003,1.0920320374746349e-05,1.0929598351272402e-05,1.247605152278216e-08,0.0011424620427467952
v32.23,25042000,dephasing,25,0.001,1.213368930527372e-06,1.213483626342067e-06,2.5904220657378134e-10,0.00021349006065384636
v32.23,25042000,dephasing,25,0.0003,1.0920320374746348e-07,1.0920413292455186e-07,6.0606176615016434e-12,5.549853350014391e-05
v32.23,25042000,dephasing,26,0.01,0.00024558214200409527,0.00024696480441267245,1.544675410335864e-06,0.006289852339141603
v32.23,25042000,dephasing,26,0.003,2.2102392780368573e-05,2.2113371424263575e-05,1.4712877582705286e-08,0.0006656689947060084
v32.23,25042000,dephasing,26,0.001,2.4558214200409524e-06,2.455956722470538e-06,3.485861386560951e-10,0.0001419427877822982
v32.23,25042000,dephasing,26,0.0003,2.210239278036857e-07,2.210250235358531e-07,8.607858251751469e-12,3.894536821097941e-05
v32.23,25042000,dephasing,27,0.01,0.000143745588021092,0.00014485293614711724,1.3334408754940652e-06,0.009276395149591703
v32.23,25042000,dephasing,27,0.003,1.293710292189828e-05,1.2946227503489877e-05,1.2613194941225495e-08,0.0009749628659037322
v32.23,25042000,dephasing,27,0.001,1.4374558802109197e-06,1.4375686990530182e-06,2.7306409703188985e-10,0.0001899634630816097
v32.23,25042000,dephasing,27,0.0003,1.2937102921898277e-07,1.2937194320805756e-07,6.511015218970629e-12,5.0328232358340546e-05
v32.23,25042000,dephasing,28,0.01,0.0007542886475801148,0.0007544169538836834,1.5830806450709892e-07,0.00020987729964513967
v32.23,25042000,dephasing,28,0.003,6.788597828221033e-05,6.788696652079023e-05,2.192697311848221e-09,3.2299708530867885e-05
v32.23,25042000,dephasing,28,0.001,7.542886475801149e-06,7.54289859937204e-06,7.161063254207538e-11,9.493796939913435e-06
v32.23,25042000,dephasing,28,0.0003,6.788597828221033e-07,6.788598809510786e-07,1.9022048542905815e-12,2.802058543493154e-06
v32.23,25042000,dephasing,29,0.01,0.00075235180752471,0.0007523916068537486,8.587877293152991e-08,0.00011414709458076145
v32.23,25042000,dephasing,29,0.003,6.771166267722389e-05,6.77119983760782e-05,1.992880614221719e-09,2.943186646769586e-05
v32.23,25042000,dephasing,29,0.001,7.523518075247099e-06,7.523522222982486e-06,7.255787719418471e-11,9.644142071367543e-06
v32.23,25042000,dephasing,29,0.0003,6.771166267722388e-07,6.771166603706764e-07,1.9551774111890717e-12,2.887504654123245e-06
v32.23,25042000,dephasing,30,0.01,0.0011391614159650552,0.0011396457810816465,5.097871536223045e-07,0.0004475109027375473
v32.23,25042000,dephasing,30,0.003,0.00010252452743685496,0.00010252791977958845,4.046715107177876e-09,3.947070236115212e-05
