version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,mean_cosine,positive_fraction,mode_excess,weighted_mode_fraction,n_channels_mean,gram_trace_mean
v32.20,25042001,dephasing,15,16,0.12546180795999268,-0.22935768173456367,8,8,-0.03961900586090781,0.31670593655253587,-0.030776416502577182,0.4838709677419355,0.8187488584059603,0.8029859691228001,31.0,22.308885604116114
v32.20,25042001,transverse,0,31,3.3993954056915845,0.03692250294628535,8,8,0.16885043242007097,0.9837454652371318,0.6794489591643191,1.0,0.6882488284602237,0.9996332814207496,31.0,1199.6938326186196
v32.20,25042001,transverse,1,30,3.3842297996904556,0.17102702157231045,8,8,-0.16002752956724406,0.7944160966112876,0.5831849940108524,0.9354838709677419,0.6967773922671536,0.9995485681735344,31.0,1200.1204096641973
v32.20,25042001,transverse,2,29,3.217664522712653,0.1396026882935279,8,8,-0.019880408968704397,0.44510083919421484,0.49563184977763175,0.875268817204301,0.6892204515489055,0.9637451851209173,31.0,16.1040928605672
v32.20,25042001,transverse,3,28,3.1069474185291,-0.1010418180254361,8,8,-0.1316883973695876,0.30401389915283056,0.40221514862869523,0.8193548387096774,0.6790736284878285,0.9641933145881152,31.0,14.797570669489211
v32.20,25042001,transverse,4,27,2.7582925100189017,0.18670224093779636,8,8,0.15731675066191436,0.5234700785566335,0.35486145238435823,0.7677419354838709,0.6978285127787531,0.8730747730481085,31.0,5.555786601168305
v32.20,25042001,transverse,5,26,2.621648000452833,0.09815454230735261,8,8,-0.06929601698297977,0.2324372729329115,0.3181403214652402,0.7204301075268817,0.7103127004188411,0.8749102271699626,31.0,5.760476534984997
v32.20,25042001,transverse,6,25,2.3756855671346444,0.03257729411914041,8,8,0.12393033623092602,0.5185664859563265,0.2559422512718763,0.6774193548387096,0.6738564646218371,0.8627842074762502,31.0,9.115510771692863
v32.20,25042001,transverse,7,24,2.350476373238079,-0.32984845362466475,8,8,-0.10115998888813231,0.22711923120830735,0.1928454325597571,0.6387096774193548,0.6493487608967337,0.8994275401558238,31.0,8.4576876344852
v32.20,25042001,transverse,8,23,1.2782390014763387,-0.047850687335421166,8,8,0.13029165162476242,0.545335186407889,0.13407810948325513,0.6043010752688172,0.6833646539881855,0.9141465333519055,31.0,14.246919763756289
v32.20,25042001,transverse,9,22,1.2355234268531243,-0.0604661646192671,8,8,-0.08777363507078537,0.27929298693881777,0.0849892314503343,0.5741935483870968,0.6720447376645081,0.9038027245786067,31.0,14.817004448406095
v32.20,25042001,transverse,10,21,0.872898255051432,-0.14583268827042656,8,8,-0.0314037520124445,0.21358717989343465,0.05800156405911158,0.5483870967741935,0.6470116837158078,0.7830942604643505,31.0,5.290640754516802
v32.20,25042001,transverse,11,20,0.8225578717503814,0.11670889053341629,8,8,-0.053091529516062844,0.18899532450642603,0.031097947870128734,0.5268817204301075,0.670846486182489,0.7779388983947255,31.0,6.806365645409885
v32.20,25042001,transverse,12,19,0.520032371270511,0.29329177725396566,8,8,-0.00868560191561085,0.3106469972428375,0.015120565537286298,0.5096774193548387,0.6917175455743702,0.768743604875521,31.0,7.913277013521421
v32.20,25042001,transverse,13,18,0.4401136996169611,0.18396790902393384,8,8,-0.05713910483574239,0.21082936607250974,0.009849423600261378,0.4967741935483871,0.6777202209013112,0.7968290710768112,31.0,7.053834999435784
v32.20,25042001,transverse,14,17,0.15448291171778558,-0.1615932953471894,8,8,-0.02445668543500339,0.2173464987156899,-0.014826520994415546,0.4881720430107527,0.699077278580841,0.7836336504667978,31.0,4.913964209692558
v32.20,25042001,transverse,15,16,0.12546180795999268,-0.22935768173456367,8,8,-0.041806776923980875,0.16821533244394196,-0.0212383707955098,0.4838709677419355,0.6959530040618628,0.7869026808084765,31.0,5.288814619440878
v32.20,25042002,dephasing,0,63,2.8086271322578424,-0.02448535306527211,4,4,0.678974628556272,0.9999995993722592,0.9999808004066852,1.0,0.9999808013346061,0.9999999954340154,63.0,59.433117514372675
v32.20,25042002,dephasing,1,62,2.808624788819107,0.004825865361237053,4,4,0.6886533209324477,0.9981497010122575,0.9364877005566787,0.9682539682539683,0.9999790806954719,0.999999995256949,63.0,55.45185062461174
v32.20,25042002,dephasing,2,61,2.762512443577755,0.06806648475971927,4,4,-0.10406160385801956,0.43771331542060293,0.8750519638896894,0.937532002048131,0.9999871063194897,0.9999999943612721,63.0,56.45924917008013
v32.20,25042002,dephasing,3,60,2.7625074275378037,0.09402773487580929,4,4,-0.08520317353001056,0.47272664425067196,0.8156556303408338,0.9078341013824884,0.9999860394056119,0.9999999948511027,63.0,60.22493637323552
v32.20,25042002,dephasing,4,59,2.6005246121962595,-0.006225473753893929,4,4,0.1586092532848781,0.6684664809768213,0.7582999655179827,0.8791602662570405,0.9999763411126803,0.999999994171416,63.0,56.04525453545068
v32.20,25042002,dephasing,5,58,2.600508788201716,0.021577668837121367,4,4,0.1122234664438456,0.6131362827912209,0.7030061147978308,0.851510496671787,0.9999822255442323,0.9999999928410593,63.0,46.520492669195804
v32.20,25042002,dephasing,6,57,2.552457966072332,0.1790638430531717,4,4,0.2462225349891925,0.7252762690919359,0.6497579773575254,0.8248847926267281,0.999985603273917,0.9999999916886646,63.0,45.07864733504768
v32.20,25042002,dephasing,7,56,2.5524435325715658,0.010336050883219705,4,4,0.27774687064370474,0.764334881850157,0.5985561349718607,0.7992831541218638,0.9999868609634057,0.9999999931768362,63.0,55.42994019240792
v32.20,25042002,dephasing,8,55,2.160985826193258,-0.3367155757894618,4,4,0.6019181863622312,0.9334025247517861,0.5493936629127889,0.774705581157194,0.9999668511286639,0.9999999793164797,63.0,40.89279867877693
v32.20,25042002,dephasing,9,54,2.1608931127576194,0.06736562028457443,4,4,0.3704084423934468,0.8169425198097394,0.5022861865018311,0.7511520737327189,0.9999645665056279,0.9999999849188177,63.0,51.04391425508399
v32.20,25042002,dephasing,10,53,2.1348743799688936,-0.2565858217291097,4,4,-0.22143935431605832,0.20320619957667616,0.4572197519797756,0.7286226318484383,0.9999533565676162,0.9999999780658946,63.0,54.33948041878828
v32.20,25042002,dephasing,11,52,2.134741476920111,-0.36313251941490354,4,4,-0.02758727919628557,0.45690696266979614,0.4142138846110219,0.7071172555043522,0.9999582694690201,0.9999999736115559,63.0,44.139040459012364
v32.20,25042002,dephasing,12,51,1.9351215129294321,-0.08892200420392812,4,4,0.42424585210389665,0.770746032935403,0.37328453557743774,0.6866359447004609,0.9999430114953181,0.9999997186965157,63.0,37.69484117151316
v32.20,25042002,dephasing,13,50,1.9348470216724338,-0.2799836884730702,4,4,0.398705381243325,0.751305696994568,0.3343755380267005,0.667178699436764,0.9999444076664594,0.9999997043326017,63.0,41.79770192733254
v32.20,25042002,dephasing,14,49,1.9007559054745453,0.16030325868275902,4,4,0.1843733576326149,0.630719034745929,0.2966900037715699,0.6487455197132617,0.9985243307872942,0.9999999960935485,63.0,256.0338414853079
v32.20,25042002,dephasing,15,48,1.9006317320412505,0.26080477643311095,4,4,0.0824276770619458,0.5475163465439956,0.2626518980482917,0.631336405529954,0.9999170357020064,0.9999999927872818,63.0,229.2794282224858
v32.20,25042002,dephasing,16,47,1.8816619921390059,0.17041253391595496,4,4,-0.08281785115055154,0.3934099345728823,0.2298208862336967,0.6149513568868408,0.9998191782975585,0.9999999495319136,63.0,249.20661296823687
v32.20,25042002,dephasing,17,46,1.8816603935052552,0.15940932373412742,4,4,-0.0852962773649831,0.3614736688388469,0.19844172684545341,0.5995903737839222,0.9984077244293907,0.9999999568488533,63.0,250.7981827380305
v32.20,25042002,dephasing,18,45,1.8536658855515613,-0.012992121501998077,4,4,0.07045606847250921,0.500363155746966,0.17050407708222332,0.5852534562211982,0.9999728660452696,0.9999999788679041,63.0,60.77119808125834
