geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
1.0,NULL,25043004,2,2.1837072834611565e-50,0.26953936770098963,-4.189949328253776,-4.459488695954765,0.0,0.0,0.0,1.0918536417305783e-50,0
1.0,RANDOM,25043004,2,1.9259299443872577e-32,0.9517308732502929,-3.5077578227044723,-4.459488695954765,0.0,0.0,0.0,9.629649721936289e-33,0
1.0,NULL,25043005,2,8.259224086567204e-35,1.185174358041742,-3.2743143379130233,-4.459488695954765,0.0,0.0,0.0,4.129612043283602e-35,0
1.0,RANDOM,25043005,2,1.8315653374629713e-47,0.8693578552995991,-3.590130840655166,-4.459488695954765,0.0,0.0,0.0,9.157826687314857e-48,0
1.0,NULL,25043006,2,1.4001471992009764e-30,0.5417891624793696,-3.9176995334753957,-4.459488695954765,0.0,0.0,0.0,7.000735996004882e-31,0
1.0,RANDOM,25043006,2,3.301111166678423e-35,2.0501357213675373,-2.409352974587228,-4.459488695954765,0.0,0.0,0.0,1.6505555833392114e-35,0
1.0,NULL,25043007,2,4.719295205284463e-32,1.1290105286832244,-3.330478167271541,-4.459488695954765,0.0,0.0,0.0,2.3596476026422315e-32,0
1.0,RANDOM,25043007,2,7.15394626129324e-49,0.29922153821257247,-4.160267157742193,-4.459488695954765,0.0,0.0,0.0,3.57697313064662e-49,0
1.0,NULL,25043008,2,0.006228874194138717,1.4840548535425397,-2.9754338424122255,-4.459488695954765,0.0,0.0,0.00465540763768185,0.0031144370970693585,0
1.0,RANDOM,25043008,2,1.3907467951884762e-47,0.8704815160396278,-3.5890071799151375,-4.459488695954765,0.0,0.0,0.0,6.953733975942381e-48,0
1.0,NULL,25043009,2,0.002707947251272514,2.2266962707474875,-2.2327924252072777,-4.459488695954765,0.0,0.0,0.0012753786374729392,0.001353973625636257,0
1.0,RANDOM,25043009,2,1.925929944387425e-34,1.3159101752161568,-3.1435785207386084,-4.459488695954765,0.0,0.0,0.0,9.629649721937124e-35,0
1.0,NULL,25043010,2,3.4881593216238325e-35,1.8927536671259073,-2.566735028828858,-4.459488695954765,0.0,0.0,0.0,1.7440796608119163e-35,0
1.0,RANDOM,25043010,2,1.9259299443872577e-32,1.0339862537306703,-3.425502442224095,-4.459488695954765,0.0,0.0,0.0,9.629649721936289e-33,0
1.0,NULL,25043011,2,9.731849960068537e-32,1.3593101829918801,-3.100178512962885,-4.459488695954765,0.0,0.0,0.0,4.8659249800342687e-32,0
1.0,RANDOM,25043011,2,3.316759597394675e-05,0.6496212835634454,-3.80986741239132,-4.459488695954765,0.0,0.0,2.4735988238835043e-05,1.6583797986973375e-05,0
1.0,REAL,,4,0.9821448717296378,0.02802556135290235,-4.431463134601863,-4.459488695954765,0.5,1.0,0.9992534538095167,0.24553621793240946,
1.0,NULL,25043000,4,3.97738704256581e-35,1.002665054069908,-3.4568236418848572,-4.459488695954765,0.0,0.0,0.0,9.943467606414525e-36,0
1.0,RANDOM,25043000,4,2.1067037183592473e-34,0.9517308732502916,-3.5077578227044737,-4.459488695954765,0.0,0.0,0.0,5.266759295898118e-35,0
1.0,NULL,25043001,4,0.0036267437093466083,0.5417891624793687,-3.9176995334753966,-4.459488695954765,0.0,0.0,0.002353947191718793,0.0009066859273366521,0
1.0,RANDOM,25043001,4,3.316759597394675e-05,0.5417891624793696,-3.9176995334753957,-4.459488695954765,0.0,0.0,2.4629277491455772e-05,8.291898993486688e-06,0
1.0,NULL,25043002,4,0.0042254153198438985,1.1310557507299936,-3.3284329452247716,-4.459488695954765,0.0,0.0,0.0013532856132166932,0.0010563538299609746,1
1.0,RANDOM,25043002,4,1.8704815494562788e-36,1.351040965245236,-3.1084477307095293,-4.459488695954765,0.0,0.0,0.0,4.676203873640697e-37,0
1.0,NULL,25043003,4,0.0032818803789740406,1.0278635702812582,-3.431625125673507,-4.459488695954765,0.0,0.0,0.0013086843343198902,0.0008204700947435101,0
1.0,RANDOM,25043003,4,5.590476716427104e-32,0.42188363099967674,-4.0376050649550885,-4.459488695954765,0.0,0.0,0.0,1.397619179106776e-32,0
1.0,NULL,25043004,4,3.321432270054937e-05,0.26953936770098963,-4.189949328253776,-4.459488695954765,0.0,0.0,1.1330734403441962e-05,8.303580675137343e-06,0
1.0,RANDOM,25043004,4,1.9449051435618812e-05,0.5417891624793687,-3.9176995334753966,-4.459488695954765,0.0,0.0,6.2199267607411174e-06,4.862262858904703e-06,0
1.0,NULL,25043005,4,0.006228874194138717,1.185174358041742,-3.2743143379130233,-4.459488695954765,0.0,0.0,0.002317662133350627,0.0015572185485346792,1
1.0,RANDOM,25043005,4,5.125694663307365e-35,0.8693578552995991,-3.590130840655166,-4.459488695954765,0.0,0.0,0.0,1.281423665826841e-35,0
1.0,NULL,25043006,4,1.4001471992009764e-30,0.5417891624793696,-3.9176995334753957,-4.459488695954765,0.0,0.0,0.0,3.500367998002441e-31,0
